step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9,takagi_r10,takagi_r11,takagi_r12,takagi_r13
0,0.32482404297485495,0.32257802249737466,0.3103732409064791,0.3035320854358039,0.2969566490728,0.23869063578883015,0.2143058792630659,0.20695164753553139,0.17694679466445887,0.1348275964513869,0.11641008556094463,0.09127953931509974,1.6335737825453963e-09
1,0.3248240429748416,0.32257802249738154,0.3103732409064725,0.30353208543580407,0.29695664907280367,0.23869063578884328,0.21430587926307346,0.2069516475355427,0.17694679466446106,0.13482759645137096,0.11641008556097361,0.09127953931508637,1.4730935815376667e-09
2,0.3248240429748279,0.32257802249738804,0.31037324090646595,0.30353208543580423,0.2969566490728069,0.23869063578885627,0.214305879263081,0.2069516475355534,0.1769467946644627,0.1348275964513545,0.11641008556100232,0.09127953931507214,2.5781067054909768e-09
3,0.32482404297481404,0.3225780224973941,0.31037324090645957,0.3035320854358042,0.29695664907280994,0.23869063578886915,0.21430587926308833,0.2069516475355637,0.17694679466446345,0.13482759645133816,0.11641008556103076,0.09127953931505722,2.121455896179801e-09
4,0.32482404297480055,0.32257802249740064,0.3103732409064536,0.3035320854358046,0.29695664907281305,0.2386906357888823,0.21430587926309624,0.2069516475355738,0.17694679466446364,0.13482759645132175,0.11641008556105945,0.09127953931504167,1.6547989680641239e-09
5,0.32482404297478673,0.3225780224974068,0.3103732409064475,0.30353208543580473,0.29695664907281577,0.23869063578889524,0.21430587926310396,0.20695164753558334,0.1769467946644631,0.13482759645130524,0.11641008556108771,0.09127953931502526,2.1646397761622074e-09
6,0.3248240429747732,0.3225780224974129,0.31037324090644197,0.30353208543580507,0.2969566490728186,0.23869063578890837,0.214305879263112,0.2069516475355927,0.17694679466446203,0.13482759645128853,0.11641008556111576,0.09127953931500807,3.1871648774651193e-09
7,0.3248240429747596,0.3225780224974189,0.31037324090643664,0.30353208543580545,0.2969566490728212,0.2386906357889214,0.21430587926312,0.20695164753560147,0.17694679466446064,0.1348275964512716,0.11641008556114378,0.0912795393149901,3.163954000619287e-09
8,0.32482404297474593,0.3225780224974246,0.3103732409064313,0.303532085435806,0.29695664907282354,0.2386906357889344,0.21430587926312805,0.2069516475356098,0.17694679466445845,0.13482759645125464,0.11641008556117147,0.09127953931497125,3.0858430182963094e-09
9,0.324824042974733,0.32257802249743106,0.31037324090642704,0.3035320854358072,0.2969566490728263,0.23869063578894786,0.21430587926313663,0.2069516475356181,0.1769467946644559,0.13482759645123796,0.11641008556119925,0.09127953931495197,2.1186583689325323e-09
10,0.32482404297472056,0.32257802249743783,0.31037324090642354,0.3035320854358089,0.2969566490728293,0.23869063578896169,0.2143058792631458,0.20695164753562634,0.17694679466445312,0.13482759645122125,0.11641008556122687,0.09127953931493203,2.4822964658478104e-09
11,0.324824042974707,0.3225780224974434,0.3103732409064191,0.30353208543580945,0.2969566490728312,0.23869063578897473,0.21430587926315414,0.20695164753563358,0.17694679466444904,0.13482759645120418,0.1164100855612541,0.09127953931491108,2.516544956532975e-09
12,0.3248240429746938,0.32257802249744916,0.31037324090641516,0.30353208543581056,0.296956649072833,0.23869063578898786,0.21430587926316277,0.20695164753564058,0.17694679466444457,0.134827596451187,0.11641008556128117,0.09127953931488966,2.975653124073381e-09
