R_err,R_pass,case,first_return,invariant_pass,m_n_pass,max_residual,measured_R,period_pass,predicted_R,predicted_m_n,predicted_period,readout,reconstructed_m_n,support_size,wind_per_period
3.885780586188048e-16,True,A_anchor_R12_odds5_63,8,,True,1.9999999999999996,0.4999999999999996,True,1/2,"[1, 4]",8,canonical,"[1, 4]",30,0.9999999999999994
0.0,True,P1a_R14_mixed_2_5,12,,True,2.0,0.25,True,1/4,"[1, 3]",12,canonical,"[1, 3]",2,1.0000000000000004
3.3306690738754696e-16,True,P1b_R14_mixed_2_4_5_7,12,,True,2.0,0.24999999999999967,True,1/4,"[1, 3]",12,canonical,"[1, 3]",4,0.9999999999999991
2.220446049250313e-16,True,P1c_R14_mixed_6elem,12,,True,2.000000000000001,0.24999999999999978,True,1/4,"[1, 3]",12,canonical,"[1, 3]",6,0.9999999999999993
3.3306690738754696e-16,True,P2_R34_M2_odds5_63,6,,True,2.000000000000001,0.7499999999999997,True,3/4,"[1, 6]",6,m2,"[1, 6]",30,0.9999999999999997
0.0,True,P3_R0_fundamental,1,True,,0.0,0.0,,0,,,canonical,"[1, 2]",1,0.0
