edge_index,i,j,color,theta_deg,a_Re,b_Im,abs_z
0,0,1,4,102.85714285714286,-0.054739239524968265,0.23982827842604293,0.24599590947121747
1,0,2,1,25.714285714285715,0.22163465606490879,0.10673362500899616,0.24599590947121747
2,0,3,5,128.57142857142858,-0.1533759408542683,0.19232734658295322,0.24599590947121747
3,0,4,2,51.42857142857143,0.15337594085426834,0.1923273465829532,0.24599590947121747
4,0,5,6,154.28571428571428,-0.22163465606490876,0.10673362500899619,0.24599590947121747
5,0,6,3,77.14285714285714,0.05473923952496829,0.23982827842604293,0.24599590947121747
6,0,7,0,0.0,0.24599590947121747,0.0,0.24599590947121747
7,1,2,5,128.57142857142858,-0.1533759408542683,0.19232734658295322,0.24599590947121747
8,1,3,2,51.42857142857143,0.15337594085426834,0.1923273465829532,0.24599590947121747
9,1,4,6,154.28571428571428,-0.22163465606490876,0.10673362500899619,0.24599590947121747
10,1,5,3,77.14285714285714,0.05473923952496829,0.23982827842604293,0.24599590947121747
11,1,6,0,0.0,0.24599590947121747,0.0,0.24599590947121747
12,1,7,1,25.714285714285715,0.22163465606490879,0.10673362500899616,0.24599590947121747
13,2,3,6,154.28571428571428,-0.22163465606490876,0.10673362500899619,0.24599590947121747
14,2,4,3,77.14285714285714,0.05473923952496829,0.23982827842604293,0.24599590947121747
15,2,5,0,0.0,0.24599590947121747,0.0,0.24599590947121747
16,2,6,4,102.85714285714286,-0.054739239524968265,0.23982827842604293,0.24599590947121747
17,2,7,2,51.42857142857143,0.15337594085426834,0.1923273465829532,0.24599590947121747
18,3,4,0,0.0,0.24599590947121747,0.0,0.24599590947121747
19,3,5,4,102.85714285714286,-0.054739239524968265,0.23982827842604293,0.24599590947121747
20,3,6,1,25.714285714285715,0.22163465606490879,0.10673362500899616,0.24599590947121747
21,3,7,3,77.14285714285714,0.05473923952496829,0.23982827842604293,0.24599590947121747
22,4,5,1,25.714285714285715,0.22163465606490879,0.10673362500899616,0.24599590947121747
23,4,6,5,128.57142857142858,-0.1533759408542683,0.19232734658295322,0.24599590947121747
24,4,7,4,102.85714285714286,-0.054739239524968265,0.23982827842604293,0.24599590947121747
25,5,6,2,51.42857142857143,0.15337594085426834,0.1923273465829532,0.24599590947121747
26,5,7,5,128.57142857142858,-0.1533759408542683,0.19232734658295322,0.24599590947121747
27,6,7,6,154.28571428571428,-0.22163465606490876,0.10673362500899619,0.24599590947121747
