step,r1_full,r2_full,r3_full,r4_full,r5_full,r6_full,r7_full,r8_full,r1_perp,r2_perp,r3_perp,r4_perp,r5_perp,r6_perp,r7_perp,r8_perp
520,0.42607741365824814,0.29254008580472585,0.2925400858047187,0.1739453757312928,0.17394537573125007,0.17394537573123128,0.17394537573120855,2.6973341744221076e-09,6.264012469048094e-14,5.866037373058168e-14,4.4736831239024517e-14,3.37815573004568e-14,2.417552346558474e-14,1.3537339346904544e-14,7.779394248562359e-15,3.419498886829734e-22
560,0.42607741365824736,0.2925400858047244,0.29254008580471713,0.17394537573130123,0.1739453757312514,0.17394537573122607,0.17394537573119995,1.5822739646882378e-09,8.285287522209277e-14,7.787600180637607e-14,6.029279465634745e-14,4.462685331160274e-14,3.802848415718384e-14,2.794025668271173e-14,1.3391665208047415e-14,5.827690105571678e-22
600,0.42607741365824514,0.2925400858047235,0.2925400858047126,0.17394537573131139,0.17394537573125987,0.17394537573121188,0.17394537573118804,1.9605898905580813e-09,1.1047925050438458e-13,1.040272339186744e-13,7.846267616655874e-14,6.719642433650734e-14,5.388360118909298e-14,4.571409316334092e-14,3.094383601007555e-14,7.707505179512042e-22
640,0.4260774136582436,0.2925400858047223,0.2925400858047103,0.17394537573132623,0.17394537573127436,0.17394537573119864,0.17394537573116553,2.3503234552771005e-09,1.5142624202598026e-13,1.3554960466197444e-13,1.133727709770836e-13,1.0779108120790365e-13,7.840799980224755e-14,7.107100733463994e-14,4.215308373156761e-14,7.721658178473395e-22
680,0.4260774136582397,0.29254008580471885,0.29254008580470725,0.17394537573135171,0.17394537573128607,0.1739453757311888,0.17394537573112953,1.6002473737787908e-09,2.1343770392648887e-13,1.8594697472756405e-13,1.7683224246371044e-13,1.363053709348606e-13,1.176395239301457e-13,1.025562601468813e-13,5.268800461323654e-14,1.5690436068635317e-21
720,0.4260774136582352,0.29254008580471624,0.2925400858047036,0.17394537573139793,0.1739453757312874,0.17394537573118102,0.17394537573108051,1.7674412275999592e-09,3.0550280446988805e-13,2.6713936660990907e-13,2.528250339532387e-13,2.0221767465057212e-13,1.4343850945091494e-13,1.1617325269186622e-13,4.075887231273482e-14,1.97566576956272e-21
760,0.42607741365823426,0.29254008580471735,0.29254008580470225,0.1739453757314717,0.17394537573129737,0.17394537573116112,0.17394537573101787,2.5859889938950292e-09,4.3530143466284804e-13,3.698230677828091e-13,3.632594124564708e-13,3.0050234027926927e-13,2.1434811662170895e-13,1.7654742343231035e-13,5.68041213208904e-14,2.845646015418929e-21
800,0.42607741365822976,0.2925400858047142,0.29254008580470026,0.17394537573157334,0.1739453757313371,0.1739453757311069,0.1739453757309276,2.6206224828119263e-09,6.231571140952336e-13,5.390084545355755e-13,5.022729590072076e-13,4.2087350821527936e-13,3.3625387488639855e-13,2.676685667382738e-13,5.637023158221895e-14,4.665457086765428e-21
840,0.4260774136582295,0.29254008580471325,0.29254008580470114,0.17394537573171792,0.173945375731407,0.1739453757310324,0.1739453757307908,2.816575930688367e-09,8.959481200834639e-13,7.682889396382121e-13,7.297321266471216e-13,6.082036522651226e-13,4.560111634136201e-13,4.128617508385922e-13,1.294902870029542e-13,6.175195601053077e-21
880,0.42607741365822993,0.29254008580471474,0.2925400858047011,0.17394537573192784,0.17394537573149885,0.17394537573094976,0.17394537573057525,2.001025378708183e-09,1.2891483110628687e-12,1.1167155535195525e-12,1.0129823599596754e-12,9.207014895652898e-13,6.815309882510645e-13,5.802507841996035e-13,1.6637915805073626e-13,8.879262979537592e-21
920,0.4260774136582308,0.2925400858047167,0.29254008580469987,0.17394537573223265,0.17394537573161445,0.17394537573084703,0.17394537573025817,1.8745741291123844e-09,1.8599508875508168e-12,1.580301057146439e-12,1.5475740268783056e-12,1.2458431381347659e-12,1.004594428132161e-12,8.098844577220995e-13,2.40176230144955e-13,1.373045774637691e-20
960,0.4260774136582309,0.29254008580471735,0.2925400858046991,0.1739453757326714,0.17394537573177687,0.17394537573069455,0.17394537572980778,1.8954676419095623e-09,2.683270818789809e-12,2.3344217212926127e-12,2.167830001029199e-12,1.8309799076834003e-12,1.388562298635057e-12,1.1429272929325102e-12,4.677749584249599e-13,1.755829438537235e-20
1000,0.4260774136582311,0.2925400858047176,0.29254008580469826,0.17394537573330165,0.1739453757320194,0.17394537573045338,0.17394537572917257,3.1234215549168443e-09,3.865185080713039e-12,3.3236559850611663e-12,3.1722969163334938e-12,2.6408081338516683e-12,1.9546468798996506e-12,1.6836812832725528e-12,3.448302354253913e-13,3.0323835624023694e-20
1040,0.426077413658228,0.2925400858047164,0.2925400858046938,0.17394537573420962,0.17394537573237445,0.17394537573009142,0.17394537572826504,2.1275601871265886e-09,5.5629225880194765e-12,4.769458731600816e-12,4.535917923653193e-12,3.873197692702484e-12,2.801019937475385e-12,2.490834290880362e-12,6.71953289917311e-13,2.211911275146035e-20
1080,0.4260774136582282,0.2925400858047165,0.29254008580469265,0.1739453757355228,0.1739453757328829,0.17394537572957736,0.17394537572695964,2.6726275005117362e-09,8.011250717421252e-12,6.8777077871005325e-12,6.545596798500354e-12,5.50983999577555e-12,4.146984631907405e-12,3.567116566948299e-12,9.67720399615781e-13,5.241003119580764e-20
1120,0.42607741365822616,0.2925400858047145,0.2925400858046925,0.17394537573741792,0.17394537573359714,0.17394537572884908,0.17394537572507474,2.2668245952779676e-09,1.1544360572671377e-11,9.902825944169413e-12,9.480188007146709e-12,7.89269367091507e-12,6.04203835868173e-12,4.967374454168394e-12,1.5861061522558245e-12,1.8673519666099174e-20
1160,0.4260774136582299,0.2925400858047164,0.2925400858046953,0.17394537574014732,0.1739453757346184,0.1739453757278223,0.17394537572235888,3.3589923110223683e-09,1.663033122650792e-11,1.4233566396894586e-11,1.3705949596787605e-11,1.1369076658469423e-11,8.71210139877238e-12,7.151153635981344e-12,2.2822079530689037e-12,7.623869805358192e-20
1200,0.426077413658232,0.29254008580471896,0.292540085804695,0.17394537574406477,0.17394537573609856,0.1739453757263432,0.1739453757184464,1.449205520853658e-09,2.395796726574445e-11,2.0576568161860257e-11,1.963924609840561e-11,1.645924628311933e-11,1.2290608370898222e-11,1.0527253743967308e-11,2.9756795107720744e-12,9.758731914510536e-20
1240,0.42607741365822877,0.29254008580471846,0.29254008580469165,0.17394537574969013,0.17394537573825083,0.17394537572419733,0.17394537571281082,2.4238063412371503e-09,3.450991057173191e-11,2.968809418847431e-11,2.8182768358555125e-11,2.3847479656453267e-11,1.726223020287921e-11,1.5507883942341705e-11,3.918820881759597e-12,2.542962053199767e-19
1280,0.42607741365823215,0.2925400858047215,0.2925400858046934,0.17394537575779273,0.17394537574136812,0.17394537572109356,0.17394537570469742,9.351138407459267e-10,4.970384356399936e-11,4.2713076345216053e-11,4.0623052413545356e-11,3.428977974011398e-11,2.5386803879005376e-11,2.1931588006025808e-11,5.830367629662816e-12,3.4445971569996743e-19
1320,0.4260774136582313,0.29254008580472224,0.29254008580469104,0.1739453757694733,0.17394537574584532,0.17394537571662105,0.1739453756930067,1.605348519306815e-09,7.159589821652189e-11,6.128909725496403e-11,5.891868063521123e-11,4.8923521573409505e-11,3.752775597636076e-11,3.090791928894791e-11,9.487861653737347e-12,2.9047227204469723e-19
1360,0.4260774136582297,0.29254008580472335,0.29254008580468727,0.17394537578631405,0.17394537575227473,0.17394537571019208,0.1739453756761625,1.7309548048779134e-09,1.0313678979553085e-10,8.838440238840863e-11,8.48045273360678e-11,7.038059073400765e-11,5.4229880307455775e-11,4.433741142039605e-11,1.4462221751839969e-11,3.285529725710926e-19
1400,0.42607741365822865,0.29254008580472396,0.2925400858046858,0.17394537581057848,0.17394537576152788,0.17394537570093796,0.17394537565189774,1.5710696745470664e-09,1.4857546575312205e-10,1.2752373233127418e-10,1.2178242362917738e-10,1.020617996596525e-10,7.644035706788323e-11,6.517597590231036e-11,1.8821276348875174e-11,1.0790664145792347e-18
1440,0.4260774136582248,0.29254008580472085,0.2925400858046835,0.17394537584553113,0.17394537577486063,0.17394537568759627,0.17394537561694795,2.5781409639330896e-09,2.1402501833965495e-10,1.8399925749653785e-10,1.7471372489098215e-10,1.480898467358791e-10,1.0757370347661244e-10,9.60597383520182e-11,2.3862441478913224e-11,1.928519256318502e-18
1480,0.42607741365822543,0.29254008580472163,0.2925400858046833,0.17394537589588083,0.17394537579408925,0.17394537566835572,0.1739453755666097,2.5975157408262765e-09,3.0830522279718476e-10,2.648841459500559e-10,2.520558743299832e-10,2.1266414329314623e-10,1.5690680578600986e-10,1.36774139090125e-10,3.5580724832383946e-11,2.953436030385083e-18
1520,0.4260774136582228,0.2925400858047209,0.292540085804681,0.17394537596840864,0.17394537582180575,0.17394537564062787,0.1739453754940897,3.023421134867777e-09,4.441208894735208e-10,3.8070255134772933e-10,3.648700471965779e-10,3.0376963579700357e-10,2.3198847748407763e-10,1.9188318374844643e-10,5.890014522734908e-11,3.823217636998029e-18
1560,0.4260774136582186,0.29254008580471824,0.29254008580467855,0.1739453760728891,0.1739453758617275,0.17394537560070317,0.17394537538960822,1.3221928671005768e-09,6.39763263579453e-10,5.478658278557153e-10,5.265741898805632e-10,4.3630271014902616e-10,3.367044792047443e-10,2.7456698178598624e-10,8.888295746950394e-11,7.365531530446036e-18
1600,0.4260774136582175,0.29254008580471724,0.29254008580467816,0.17394537622340184,0.17394537591922032,0.17394537554321876,0.1739453752390899,2.951194629839087e-09,9.216034529516174e-10,7.907186960627497e-10,7.55703741507343e-10,6.326253011601004e-10,4.761190018071659e-10,4.029868091192121e-10,1.194875788028161e-10,7.270199258387082e-18
1640,0.42607741365821805,0.2925400858047189,0.2925400858046775,0.1739453764402186,0.173945376002031,0.17394537546042152,0.17394537502226357,1.8994227316168267e-09,1.3276059953380306e-09,1.1413056265085275e-09,1.0839504195241436e-09,9.180175063254453e-10,6.685301702340771e-10,5.952817921524565e-10,1.5003743887327578e-10,6.20413042591916e-18
1680,0.4260774136582161,0.29254008580471863,0.2925400858046747,0.17394537675254357,0.17394537612132593,0.1739453753411336,0.17394537470992627,2.244551736821734e-09,1.912455288785717e-09,1.6435118374205115e-09,1.5626954822541295e-09,1.3205905019307852e-09,9.69726303959375e-10,8.511525808794428e-10,2.1698012148642903e-10,6.582224349660875e-18
1720,0.4260774136582147,0.29254008580471647,0.2925400858046737,0.17394537720245457,0.17394537629318538,0.17394537516927439,0.1739453742600078,1.7292516951877036e-09,2.7549417766534734e-09,2.3621056939807205e-09,2.262205045953409e-09,1.8863597824502636e-09,1.4350789411743862e-09,1.1936184668031532e-09,3.597384916386399e-10,1.6039488011240653e-17
1760,0.42607741365821533,0.2925400858047174,0.2925400858046735,0.17394537785056827,0.17394537654075584,0.17394537492169582,0.1739453736118981,1.6908429855826847e-09,3.968559681917521e-09,3.398416975634118e-09,3.26693960088145e-09,2.705509253397559e-09,2.0898677604412122e-09,1.7018469469739313e-09,5.518445096264598e-10,1.3923012524962838e-17
1800,0.42607741365821733,0.29254008580471996,0.29254008580467206,0.17394537878419983,0.17394537689737144,0.17394537456507148,0.17394537267827712,2.0112518356316885e-09,5.716816807890123e-09,4.903571763376829e-09,4.690770330146545e-09,3.919645443096618e-09,2.9632700378144424e-09,2.490902424269502e-09,7.530233853615201e-10,3.9620166928348473e-17
1840,0.4260774136582183,0.2925400858047216,0.2925400858046717,0.173945380129123,0.1739453774110659,0.1739453740513651,0.17394537133336754,1.7849540024931385e-09,8.235237787377305e-09,7.078428717138105e-09,6.726116070558132e-09,5.69154718270166e-09,4.156649952364949e-09,3.6842635877113045e-09,9.444155787780544e-10,1.9888518002853354e-17
1880,0.4260774136582192,0.29254008580472196,0.29254008580467367,0.17394538206651225,0.1739453781510589,0.1739453733113671,0.1739453693959852,2.0400186322496674e-09,1.1863105260134906e-08,1.0196495967867302e-08,9.689502547712896e-09,8.197855510075254e-09,5.99727147619504e-09,5.296675214402845e-09,1.3264768983823344e-09,1.0326836277162415e-16
1920,0.4260774136582209,0.292540085804723,0.2925400858046745,0.1739453848573604,0.17394537921706374,0.17394537224537154,0.1739453666051364,2.9762950575067648e-09,1.708913498365973e-08,1.4657483051078024e-08,1.4022943566065719e-08,1.1714583490530336e-08,8.874026743282875e-09,7.426892986118185e-09,2.196966260503638e-09,1.2305245749277073e-16
1960,0.4260774136582265,0.29254008580472823,0.2925400858046772,0.17394538887764438,0.17394538075269492,0.17394537070975888,0.17394536258484747,9.639540347363613e-10,2.4617325251389147e-08,2.1080345547110067e-08,2.0265786091719512e-08,1.67819917654774e-08,1.2965071402551533e-08,1.0554316106981239e-08,3.4168024327140357e-09,1.8130687843124838e-16
2000,0.4260774136582297,0.29254008580472945,0.29254008580467994,0.17394539466897682,0.17394538296480877,0.17394536849765768,0.17394535679350934,7.850159507197184e-10,3.546188353961272e-08,3.040750710053373e-08,2.9116418479287887e-08,2.4286285099453167e-08,1.8441753981606334e-08,1.540061787428963e-08,4.734258131369064e-09,2.604702326117526e-16
2040,0.42607741365822543,0.29254008580472646,0.2925400858046786,0.17394540301155578,0.17394538615139435,0.1739453653110696,0.17394534845092174,1.963353250152714e-09,5.1083827101004984e-08,4.390026445976889e-08,4.174022427050831e-08,3.5279065024157246e-08,2.585614410287146e-08,2.2791121189777035e-08,5.966890387768975e-09,4.2997347358111743e-16
2080,0.42607741365822227,0.2925400858047251,0.29254008580467705,0.17394541502928157,0.17394539074174142,0.17394536072071146,0.17394533643319662,2.4524979354031037e-09,7.358774624802148e-08,6.325890093723942e-08,6.008384701305864e-08,5.088267783731694e-08,3.710598657673976e-08,3.294212912600027e-08,8.13384144824778e-09,3.403734604636731e-16
2120,0.42607741365822643,0.2925400858047332,0.29254008580467966,0.1739454323411463,0.1739453973542641,0.17394535410817474,0.17394531912133893,5.979747359043414e-10,1.0600522478262597e-07,9.095077987663912e-08,8.692600493194289e-08,7.275259149874503e-08,5.486138186552619e-08,4.62242605037991e-08,1.3392129374325373e-08,6.541559481667099e-16
2160,0.4260774136582252,0.29254008580474045,0.2925400858046818,0.17394545727935504,0.17394540687978974,0.17394534458261202,0.1739452941831372,2.6755751475733673e-09,1.5270327432892892e-07,1.3077031435845778e-07,1.2569670406472092e-07,1.0411862906524313e-07,8.039432883572585e-08,6.548888026271047e-08,2.1118734933772698e-08,9.417999751088536e-16
2200,0.42607741365822643,0.29254008580475627,0.29254008580469365,0.17394549320352706,0.17394542060158216,0.1739453308607599,0.1739452582589815,2.4234343992316434e-09,2.1997296033065204e-07,1.8856318880746514e-07,1.8072291595709845e-07,1.504883997219609e-07,1.1473875415288704e-07,9.524502444591268e-08,2.9709398632893376e-08,1.5795397330698667e-15
2240,0.42607741365822377,0.29254008580478263,0.29254008580471824,0.1739455449532775,0.17394544036818937,0.17394531109404707,0.17394520650924652,2.2106808766671767e-09,3.168770684593249e-07,2.7225753194563147e-07,2.590488228657053e-07,2.1864934346441714e-07,1.609028313445742e-07,1.409261146477742e-07,3.773530786821607e-08,1.908058829858883e-15
2280,0.4260774136582119,0.29254008580483454,0.2925400858047673,0.1739456195002126,0.17394546884248047,0.17394528261954714,0.17394513196233113,1.1030135724293518e-09,4.5647064052580656e-07,3.9244128540754714e-07,3.726120647053207e-07,3.1576662372549177e-07,2.2971592029139304e-07,2.047614484730546e-07,5.00852316403349e-08,4.066519777932398e-15
2320,0.4260774136581879,0.2925400858049685,0.2925400858048392,0.17394572688711749,0.17394550986038815,0.1739452416011996,0.17394502457547276,2.256102190543474e-09,6.575589385862946e-07,5.643571536148494e-07,5.38837218682196e-07,4.5182922908081716e-07,3.390989028302953e-07,2.8775268686819847e-07,8.154367354534675e-08,7.002714478019057e-15
2360,0.42607741365813506,0.29254008580527624,0.292540085804952,0.1739458815808951,0.17394556894765728,0.17394518251300026,0.17394486988179544,2.6219767495386382e-09,9.472308993081171e-07,8.112717950404418e-07,7.795336402094598e-07,6.460983956355561e-07,4.982684180739694e-07,4.0654818720260836e-07,1.3027098324486982e-07,6.2846297222933715e-15
2400,0.42607741365802654,0.2925400858059229,0.2925400858051796,0.173946104421527,0.17394565406419152,0.17394509739451897,0.17394464704137266,3.2843594680548723e-09,1.364510174544934e-06,1.1693435071385425e-06,1.1216682926395695e-06,9.325855383141573e-07,7.136313256734845e-07,5.892386696199992e-07,1.8608137293644406e-07,7.43284475292331e-15
2440,0.4260774136578025,0.2925400858072559,0.2925400858056628,0.1739464254295981,0.1739457766762666,0.17394497477839488,0.17394432603373394,2.580311661986468e-09,1.965613932339227e-06,1.6884142475387694e-06,1.6078183903881405e-06,1.3549653350545761e-06,1.001592234756102e-06,8.711431785368095e-07,2.387272019611438e-07,6.283173981800469e-15
2480,0.426077413657334,0.2925400858100029,0.2925400858066819,0.17394688785062268,0.17394595330101179,0.17394479814523534,0.17394386361361722,2.3882779636977885e-09,2.8315237193983957e-06,2.434496120411921e-06,2.3110027499553254e-06,1.959234356369502e-06,1.4231163749331604e-06,1.2718642095445125e-06,3.098659323093112e-07,1.6648832360980853e-14
2520,0.4260774136563592,0.2925400858156842,0.2925400858088146,0.17394755398101308,0.17394620773108624,0.17394454369769471,0.17394319748511278,2.3164483049682917e-09,4.078891084436976e-06,3.5018471486447797e-06,3.3401809633795333e-06,2.806036455348849e-06,2.095718243887173e-06,1.7915478492845494e-06,4.961124374444712e-07,3.6226562876264776e-14
2560,0.4260774136543355,0.2925400858274609,0.29254008581325297,0.17394851356060595,0.1739465742389985,0.17394417715355373,0.1739422379094274,3.067585323739316e-09,5.8757508455267165e-06,5.033236440839621e-06,4.833921356793531e-06,4.010031200876676e-06,3.0867134347970824e-06,2.5249968315691024e-06,8.019819468861642e-07,2.4499543430152933e-14
2600,0.4260774136501314,0.29254008585189023,0.2925400858224671,0.17394989586240694,0.17394710219216672,0.1739436491252345,0.17394085561571676,2.6153851083845303e-09,8.464167138423914e-06,7.251716712052378e-06,6.961206626212208e-06,5.780029199827064e-06,4.436827398250673e-06,3.646703920525938e-06,1.163267599572515e-06,4.0826154157480043e-14
2640,0.4260774136414105,0.29254008590259567,0.29254008584158375,0.17395188710840703,0.17394786269929083,0.1739428884621849,0.17393886438649545,1.2734473097988735e-09,1.2192862409637072e-05,1.047048997715161e-05,9.979644290257107e-06,8.395865810080448e-06,6.235828313587324e-06,5.384089066017334e-06,1.5098073669795946e-06,8.035337759706317e-14
2680,0.42607741362330387,0.29254008600782533,0.2925400858812293,0.17395475555789333,0.17394895818107312,0.17394179265683102,0.17393599597181594,3.484970868859521e-09,1.7564164793531204e-05,1.5101612271903999e-05,1.4334734997398517e-05,1.2154317279382221e-05,8.823247081783952e-06,7.893900571422469e-06,1.9264864133395796e-06,1.5209586496958375e-13
2720,0.4260774135857306,0.2925400862262089,0.29254008596347786,0.17395888764865555,0.173950536149753,0.17394021401668155,0.17393186395329838,1.9613443859951568e-09,2.530169023423516e-05,2.172867167217635e-05,2.070592298277195e-05,1.7425714065700415e-05,1.2951499648023908e-05,1.1154853641842618e-05,3.01759218362371e-06,1.6512323794145356e-13
2760,0.42607741350775996,0.2925400866793924,0.29254008613413973,0.17396484006097288,0.17395280904352864,0.17393793972949673,0.17392591169090743,2.4383512098359364e-09,3.6447768141361145e-05,3.122846910911019e-05,2.997233608675145e-05,2.4892483519636908e-05,1.911321769167909e-05,1.5689494231704555e-05,4.927207631865978e-06,2.8924420865898425e-13
2800,0.4260774133459632,0.2925400876198037,0.2925400864882809,0.17397341472064823,0.17395608276668226,0.1739346631148395,0.17391733734236087,2.662364107373137e-09,5.250389434319168e-05,4.497309815194891e-05,4.319865266980231e-05,3.582972158906912e-05,2.7573375677852184e-05,2.2577562577408484e-05,7.258270276616345e-06,3.7708431255584086e-13
2840,0.4260774130102102,0.2925400895712544,0.29254008722317126,0.173985766849887,0.1739607977361453,0.1739299421451473,0.17390498585874903,2.4433460815234034e-09,7.563336285877661e-05,6.493094636113173e-05,6.194521998412916e-05,5.2018610869150723e-05,3.882610168678302e-05,3.327529482461526e-05,9.541174622139875e-06,4.457094147808704e-13
2880,0.4260774123134895,0.2925400936207348,0.2925400887481756,0.1740035606319485,0.17396758787272446,0.17392313955739788,0.17388719341643452,3.0345576015561505e-09,0.00010895181957124371,9.367252344263127e-05,8.892492904487488e-05,7.53902435805287e-05,5.474951524953277e-05,4.8951098740725766e-05,1.2030730529642152e-05,7.763587236978852e-13
2920,0.42607741086770334,0.2925401020238638,0.29254009191275065,0.17402919347981835,0.17397736529385438,0.1739133362986368,0.1738615633486672,1.103448194679785e-09,0.00015694846250969953,0.00013482207922449807,0.00012836401435476448,0.00010820294947348836,8.004263644598179e-05,6.945375502654984e-05,1.8370257196405346e-05,1.398695997876359e-12
2960,0.4260774078675395,0.2925401194613501,0.29254009847963514,0.17406611916163883,0.17399144172217515,0.17389920625422442,0.17382464343587165,1.8590925819637898e-09,0.0002260886547333896,0.0001937674161463752,0.00018582008627446246,0.00015454337306680126,0.00011830122043098598,9.753530556014328e-05,3.019778420005804e-05,1.2383475756247416e-12
3000,0.42607740164187025,0.2925401556462005,0.2925401121066858,0.17411931339370332,0.17401170214306022,0.17387883457374123,0.1737714611751838,2.2731821921527026e-09,0.0003256849685377142,0.0002789060293142694,0.00026806059648930676,0.00022216273037222855,0.0001712827647280951,0.00013982407814680075,4.521970901879026e-05,1.641906598050785e-12
3040,0.42607738872299805,0.2925402307340638,0.29254014038437326,0.17419594478400133,0.17404085239277528,0.17384945344778907,0.17369485462678186,3.4267116516348705e-09,0.00046916189888827816,0.00040268886071470844,0.0003845001299731525,0.0003222136726849588,0.00024172446282654108,0.0002057107826546735,6.0218809823877e-05,3.562777013206717e-12
3080,0.4260773619153497,0.2925403865502405,0.2925401990636758,0.17430634182434007,0.1740827704577055,0.17380705629003113,0.17358450913570966,3.4156946386898264e-09,0.0006758325464205634,0.0005809540493631094,0.0005516886417716385,0.00046768147644324083,0.0003400580843849314,0.00030318840510579193,7.532669148273896e-05,3.616559968104935e-12
3120,0.42607730628868495,0.2925407098868892,0.2925403208293094,0.1744653867846901,0.1741430013357432,0.1737458312496203,0.17342557114344753,2.5034030795527376e-09,0.0009735650461673644,0.0008365536551263867,0.0007958860960816888,0.0006716189221839935,0.0004946960106202718,0.0004324718107621496,0.00011238242500784924,7.809792157404399e-12
3160,0.42607719086703755,0.29254138084802606,0.29254057350258045,0.17469452530199636,0.17422944648511002,0.17365732314773877,0.1731966545856453,2.555908958002296e-09,0.0014024473952122586,0.0012024615437241316,0.001151746850417692,0.0009596133560340148,0.0007319551429083169,0.0006067141551301349,0.00018406523184824014,1.1382877570908319e-11
3200,0.42607695139771895,0.29254277316315563,0.2925410978139774,0.1750246639980906,0.17435330762116336,0.17352918136484938,0.17286697643179016,2.80796050292306e-09,0.0020202019855535018,0.0017290788872245484,0.0016636899817386985,0.0013784824098198756,0.0010634975123799794,0.0008655993227834228,0.0002820594987124049,1.6903369442752356e-11
3240,0.42607645466128535,0.29254566235696905,0.29254218574202734,0.17550034789948665,0.1745303425036535,0.17334326461299807,0.17239224798094457,3.31275420694406e-09,0.0029102900564126205,0.002498787289249192,0.0023860533687925893,0.0019932691231051972,0.0015043685734883257,0.0012739006337448124,0.00037906384219164364,2.623597107013093e-11
