step,plane0_sigma0.160105,plane1_sigma0.160105,plane2_sigma0.179003,plane3_sigma0.179003,plane4_sigma0.179003,plane5_sigma0.179003,plane6_sigma0.423598
0,2.9557122040240505e-32,8.466950244417633e-34,2.3089311201698585e-32,1.6710840249345274e-32,1.2638611810094403e-32,2.1116125464922563e-33,0.9999999999999987
20,3.530245522031608e-30,1.3236448593551271e-31,3.969088811262851e-30,8.726145208783084e-31,1.927708051909301e-30,1.586984217101078e-31,0.9999999999999986
40,1.3146971418803282e-29,7.086474004933778e-31,9.043489801625447e-30,1.7179511993185776e-30,7.081021824199814e-30,1.407639177421135e-31,0.9999999999999986
60,2.2895388315419913e-29,1.3910777587440074e-30,1.5126243668102606e-29,6.302421489015874e-30,1.4366852187093254e-29,1.2673135586166653e-30,0.9999999999999987
80,1.841300230762007e-29,2.8457386390381962e-30,1.0478131954697263e-29,3.6721441303268694e-30,1.8013362737750863e-29,1.2982274651658922e-30,0.9999999999999987
100,2.085498352197935e-29,6.091938615857165e-30,1.272455762675987e-29,6.681041359311713e-30,1.765032163458812e-29,1.951575174245423e-30,0.9999999999999987
120,2.750517768722498e-29,9.578533873926173e-30,1.4734213352672033e-29,6.54401695725579e-30,2.2276118182171933e-29,4.2176497090508776e-30,0.9999999999999984
140,2.9590277589752366e-29,1.4107777599642955e-29,2.2216326102286776e-29,1.062309412440785e-29,2.821425743899064e-29,7.057455256473442e-30,0.9999999999999986
160,3.171064016930505e-29,1.8253967903943464e-29,1.7419874280855023e-29,6.1558115565604075e-30,3.3261213632756945e-29,5.7362663256046296e-30,0.9999999999999984
180,3.9732609546775725e-29,2.648527132494744e-29,2.2607196271639184e-29,8.83136878310923e-30,4.236888451472216e-29,5.332834540133693e-30,0.9999999999999986
200,4.220102122832406e-29,3.7068559139793754e-29,2.4206967651658286e-29,1.1451432883390833e-29,4.689531995528782e-29,8.070620003169586e-30,0.9999999999999984
220,4.934001898209703e-29,4.813757832312136e-29,1.8996629386512354e-29,1.480003853797392e-29,5.599950288158749e-29,1.4753914592404262e-29,0.9999999999999984
240,4.629484199899366e-29,6.201664161862529e-29,3.044743131358348e-29,1.1554180159742227e-29,7.193590991529758e-29,1.8382309584698087e-29,0.9999999999999984
260,3.528398633959148e-29,7.894611348705631e-29,3.6365738881429693e-29,1.1920839697983814e-29,9.41868127383726e-29,2.2869890986147012e-29,0.9999999999999984
280,3.8426957949266727e-29,1.0976032593528383e-28,5.335886960788757e-29,1.5506641299973962e-29,1.2398116031340408e-28,2.956334894012921e-29,0.999999999999998
300,2.768443909660892e-29,1.3928468709932986e-28,6.404271162088908e-29,2.0082057573039153e-29,1.7213493421557463e-28,4.273547799900635e-29,0.9999999999999988
