step,R_v0,R_v1,R_v2,R_v3,R_v4,R_v5,R_v6,R_v7,nulldev_v0,nulldev_v1,nulldev_v2,nulldev_v3,nulldev_v4,nulldev_v5,nulldev_v6,nulldev_v7
920,0.23870097908350288,0.2387009790851234,0.23870097908377919,0.23870097908457724,0.2387009790844713,0.238700979083865,0.23870097908508248,0.2736461932446672,6.97972510344107e-12,6.6013257049673816e-12,6.683988272161308e-12,7.003699387965785e-12,7.479726649715007e-12,7.609570794039422e-12,7.408490480754592e-12,5.776309005508604e-14
960,0.23870097908318255,0.2387009790852334,0.23870097908389756,0.23870097908425084,0.23870097908494106,0.23870097908334797,0.2387009790855471,0.2736461932446673,9.60660626157971e-12,9.474085264133505e-12,1.0042638467017018e-11,1.0648721651349844e-11,1.097774241515357e-11,1.082977907008276e-11,1.0120932538544222e-11,3.4263185537495406e-14
1000,0.23870097908295992,0.23870097908512553,0.2387009790843153,0.23870097908360435,0.23870097908568552,0.23870097908265073,0.23870097908605617,0.27364619324466705,1.3621042400748718e-11,1.420120114134886e-11,1.5198025524992872e-11,1.583382383707725e-11,1.5637526722264452e-11,1.492119146798654e-11,1.3885231580837297e-11,4.5750106744764036e-14
1040,0.23870097908302176,0.2387009790846015,0.23870097908519197,0.2387009790825392,0.23870097908671636,0.2387009790818473,0.23870097908646512,0.2736461932446643,2.0172459187979735e-11,2.1598193151272524e-11,2.268573835336112e-11,2.2717056328845326e-11,2.1689108820797047e-11,2.0346736010655452e-11,1.9591379910089027e-11,8.199176367053618e-14
1080,0.23870097908365337,0.23870097908341842,0.23870097908669283,0.23870097908101715,0.23870097908795715,0.2387009790811338,0.23870097908651194,0.2736461932446638,3.064298700833624e-11,3.242415194997027e-11,3.287912973518479e-11,3.1595572464187544e-11,2.964469471297647e-11,2.8357460682966575e-11,2.8791907401617556e-11,7.881864013955043e-14
1120,0.238700979085222,0.23870097908131235,0.2387009790889132,0.23870097907911908,0.23870097908915494,0.23870097908087118,0.23870097908578383,0.27364619324466277,4.631450357183377e-11,4.732406711941728e-11,4.608451220343724e-11,4.3199770350891554e-11,4.100089073531618e-11,4.1242229795382774e-11,4.3575877360467376e-11,3.905358619428852e-14
1160,0.2387009790881504,0.23870097907809956,0.23870097909178623,0.23870097907716414,0.2387009790898108,0.2387009790816501,0.23870097908373109,0.2736461932446651,6.819358502144097e-11,6.688618911991403e-11,6.310789611914564e-11,5.945082299929411e-11,5.89385436266301e-11,6.211725014475634e-11,6.605365204778861e-11,2.3294250744988642e-14
1200,0.23870097909277566,0.23870097907379825,0.2387009790949145,0.2387009790758306,0.23870097908908955,0.23870097908428956,0.23870097907970447,0.27364619324466616,9.708800086449127e-11,9.209807566682795e-11,8.637959262032374e-11,8.460597130483888e-11,8.820989728649049e-11,9.427547655093761e-11,9.800076060742014e-11,5.5923733317823444e-14
1240,0.23870097909916305,0.23870097906887594,0.2387009790973855,0.23870097907629087,0.2387009790857838,0.2387009790897847,0.2387009790731073,0.27364619324466427,1.3430485247739563e-10,1.2584437567859232e-10,1.2169213055206054e-10,1.2557763004350387e-10,1.3410668340884464e-10,1.4063558692041422e-10,1.4074127599584836e-10,4.085124430963795e-14
1280,0.23870097910679128,0.2387009790645454,0.23870097909756327,0.23870097908030669,0.23870097907837806,0.23870097909912344,0.23870097906369495,0.2736461932446667,1.8341517193157094e-10,1.7564285856901293e-10,1.790267306121062e-10,1.9066032247767223e-10,2.0136952981711597e-10,2.0350717687173892e-10,1.958531886725623e-10,3.3266971456227256e-14
1320,0.2387009791140866,0.23870097906307958,0.23870097909290244,0.23870097909016413,0.23870097906527163,0.2387009791128802,0.23870097905201088,0.27364619324466566,2.540661249505886e-10,2.5569908172744345e-10,2.711020060335718e-10,2.8772483685300327e-10,2.93754645407007e-10,2.851424152073195e-10,2.6764848988617033e-10,7.547521805351896e-14
1360,0.2387009791179211,0.23870097906812163,0.2387009790799781,0.23870097910840357,0.2387009790453236,0.2387009791305832,0.23870097904005738,0.2736461932446644,3.659503680127924e-10,3.8545389501418054e-10,4.1061602381308335e-10,4.231119589323698e-10,4.1460400779402974e-10,3.9065400085753977e-10,3.684109272918483e-10,1.0220536505343921e-13
1400,0.2387009791131128,0.23870097908474955,0.23870097905482052,0.23870097913710597,0.23870097901876042,0.238700979149746,0.23870097903209034,0.2736461932446641,5.481870272360498e-10,5.852806152411994e-10,6.082303838574308e-10,6.019165194740087e-10,5.702219784947026e-10,5.352660836035842e-10,5.250196460791164e-10,9.553480832264347e-14
1440,0.23870097909219698,0.23870097911909643,0.23870097901383452,0.2387009791766076,0.23870097898856318,0.23870097916465247,0.23870097903542,0.27364619324466183,8.331387225733374e-10,8.728350798998946e-10,8.722841693599049e-10,8.319546491836804e-10,7.792925024059248e-10,7.550058159913769e-10,7.803285314061345e-10,7.15736462078395e-14
1480,0.23870097904581272,0.2387009791771628,0.2387009789555829,0.23870097922350694,0.23870097896230766,0.238700979165067,0.23870097906093155,0.273646193244662,1.2500248818384521e-09,1.2618685374190358e-09,1.2129156445374368e-09,1.1359134118002574e-09,1.0890524769167287e-09,1.1119666846126407e-09,1.1850505876279751e-09,7.465602407811092e-14
1520,0.23870097896420261,0.2387009792623738,0.23870097888363956,0.23870097926792777,0.2387009789542055,0.2387009791352453,0.23870097912276797,0.2736461932446606,1.8218151683214055e-09,1.7663886603644857e-09,1.6573255063389935e-09,1.5748009792809975e-09,1.5876802573588433e-09,1.6846540960893918e-09,1.787058566119354e-09,8.131626081290221e-14
1560,0.23870097884051505,0.23870097937152562,0.23870097881063368,0.23870097929032166,0.2387009789868547,0.23870097905401594,0.2387009792364822,0.27364619324465816,2.5689105881994473e-09,2.4191514787383955e-09,2.282842713807081e-09,2.2715190330522944e-09,2.394965579297963e-09,2.5506687012701956e-09,2.6249884767162045e-09,5.5851067898227856e-14
1600,0.23870097867652737,0.2387009794888699,0.23870097876317362,0.23870097925849765,0.2387009790916596,0.23870097889698694,0.23870097941463245,0.2736461932446575,3.5311052967414328e-09,3.3165073233255008e-09,3.257649682318556e-09,3.4058704489085196e-09,3.63568446088613e-09,3.774672655632343e-09,3.730323732075563e-09,8.429930924224246e-15
1640,0.23870097849123573,0.23870097957860872,0.23870097878675964,0.23870097912625837,0.23870097930636308,0.23870097864234896,0.23870097965877746,0.2736461932446579,4.826855031733623e-09,4.6840776448800265e-09,4.847273512621131e-09,5.1761578660887954e-09,5.417504004236661e-09,5.407356278287877e-09,5.152388954411155e-09,4.035245388755722e-14
1680,0.23870097833216056,0.23870097957695216,0.23870097894880782,0.2387009788359087,0.23870097966750703,0.23870097828193984,0.23870097994706557,0.27364619324465633,6.7532624699672105e-09,6.9071095633673475e-09,7.363111720684657e-09,7.760516972107697e-09,7.823981174580525e-09,7.512518378311503e-09,7.034956571030198e-09,4.895308916788768e-14
1720,0.23870097828795758,0.23870097938627832,0.23870097933659096,0.23870097832782025,0.238700980195265,0.2387009778390351,0.23870098021738545,0.273646193244655,9.858881714622242e-09,1.0468489712951235e-08,1.109716692154282e-08,1.1298731463145048e-08,1.094216225436311e-08,1.0263155099242793e-08,9.762244466218063e-09,3.249830906832502e-14
1760,0.2387009784989247,0.23870097887583608,0.23870098004540577,0.23870097756102046,0.23870098086817523,0.23870097739329332,0.23870098034767553,0.2736461932446554,1.4881693969580869e-08,1.5842641174766147e-08,1.628422061337803e-08,1.59168039234462e-08,1.4980023069877667e-08,1.4147298793096349e-08,1.4100971796471404e-08,7.937168459193115e-14
1800,0.23870097915921384,0.2387009778958545,0.23870098115098468,0.23870097654881975,0.2387009815865231,0.23870097711108165,0.23870098013785893,0.2736461932446557,2.258513165981165e-08,2.3422894564324614e-08,2.311747723195176e-08,2.1866551438431495e-08,2.0547386599735616e-08,2.0216231177447504e-08,2.116154896193204e-08,1.267193033382939e-13
1840,0.23870098050092442,0.2387009763140011,0.23870098265967626,0.23870097541211158,0.23870098212611818,0.23870097727547998,0.23870097930202952,0.2736461932446565,3.3624988500517295e-08,3.3518452104083284e-08,3.190845072163512e-08,2.989870906469505e-08,2.9058311005331587e-08,3.0113428045294283e-08,3.215907930146089e-08,1.1670935473125444e-13
1880,0.23870098274669724,0.23870097408444518,0.23870098443142992,0.23870097444908436,0.23870098208968324,0.238700978304161,0.2387009774848442,0.27364619324465733,4.851013370078641e-08,4.652961910450143e-08,4.3569456912793506e-08,4.188005243382437e-08,4.2902535793355025e-08,4.575052708404346e-08,4.8179069500466693e-08,7.896497502557354e-14
1920,0.23870098601490453,0.23870097135826152,0.2387009860756388,0.2387009742125106,0.23870098087177274,0.23870098073534193,0.2387009743219252,0.2736461932446584,6.77822758902464e-08,6.355547446730522e-08,6.051994177290958e-08,6.12222359182148e-08,6.504909695064262e-08,6.890933869767746e-08,7.007176177378174e-08,7.372320207539331e-14
1960,0.23870099016256419,0.2387009686377221,0.23870098683023258,0.2387009755733349,0.23870097766507717,0.23870098515280205,0.23870096956864872,0.2736461932446621,9.276188614421542e-08,8.767648787394443e-08,8.753984493262485e-08,9.247157434880597e-08,9.839685407099212e-08,1.0101716458731215e-07,9.861578202081268e-08,8.993901425127352e-14
2000,0.23870099455869923,0.23870096696294735,0.23870098545194682,0.23870097973170396,0.2387009715502497,0.23870099201297898,0.2387009633218688,0.27364619324466377,1.2730620571000455e-07,1.2546282512499566e-07,1.3148470146331965e-07,1.4029835223354563e-07,1.4533876637325306e-07,1.432593611968912e-07,1.3540754589113034e-07,6.957534896018462e-14
2040,0.23870099779950807,0.23870096809482272,0.23870098017155889,0.23870098811475063,0.23870096172490135,0.23870100133458852,0.2387009563502463,0.27364619324466133,1.8027532294060277e-07,1.87082957153237e-07,1.997993160011394e-07,2.086952021586806e-07,2.077629055876411e-07,1.9760392168956307e-07,1.8520361870452692e-07,2.2885415106214946e-14
2080,0.23870099741108358,0.23870097462062545,0.23870096880088545,0.2387010020781854,0.23870094793432772,0.23870101222090157,0.2387009505243522,0.27364619324465933,2.664898973924226e-07,2.842679251121049e-07,2.9909883282485527e-07,3.007614189108831e-07,2.881824580228317e-07,2.698404887142675e-07,2.597286901248654e-07,4.5951066053212984e-14
2120,0.2387009896392029,0.23870098985906418,0.23870094911405523,0.23870102231420387,0.23870093115712987,0.23870102221636008,0.23870094929035612,0.273646193244663,4.0420092642085923e-07,4.2788950593457005e-07,4.3455389270790653e-07,4.1987326447408037e-07,3.9357847436909093e-07,3.752005329041737e-07,3.801932286445787e-07,9.801119933621648e-14
2160,0.2387009694997975,0.2387010173852418,0.23870091965300622,0.2387010478750157,0.2387009145591939,0.23870102656398262,0.23870095805411812,0.27364619324466444,6.11116731253941e-07,6.266258414117662e-07,6.109796127906602e-07,5.744165006692241e-07,5.433886462656186e-07,5.434740815637686e-07,5.745982121680649e-07,1.2578667823899188e-13
2200,0.23870093135114998,0.23870105994746663,0.23870088110720644,0.23870107476994779,0.2387009046419972,0.2387010175391889,0.23870098423339234,0.2736461932446715,9.017933728318213e-07,8.87755671189289e-07,8.384995800279609e-07,7.887811605347654e-07,7.786624519901402e-07,8.169722832374095e-07,8.715104172203015e-07,1.8570112818675774e-13
2240,0.23870087033117934,0.2387011175337051,0.23870083836040568,0.23870109421077845,0.23870091235756932,0.23870098419529268,0.2387010366013903,0.273646193244683,1.2877667566849355e-06,1.2237165490699478e-06,1.1472473254323322e-06,1.1184620992184727e-06,1.1622967159811584e-06,1.2412986261618705e-06,1.2952351653349394e-06,3.324495000685093e-13
2280,0.2387007850436946,0.23870118440847277,0.23870080314372957,0.23870109079414953,0.23870095373061165,0.2387009130601327,0.2387011234094558,0.27364619324470485,1.7848316461546016e-06,1.6712424021535034e-06,1.6108383449975313e-06,1.6553455981751875e-06,1.7662629743926428e-06,1.8567622017969646e-06,1.8646499175055173e-06,6.163551423721985e-13
2320,0.23870068181529883,0.23870124513943505,0.23870079693851254,0.23870104124422167,0.23870104922137667,0.2387007905415443,0.23870124868970174,0.2736461932447483,2.437323857544679e-06,2.3261955484829708e-06,2.361093311563152e-06,2.5115980367670433e-06,2.656883013111857e-06,2.694811165497289e-06,2.6008198043445154e-06,1.1943251884800908e-12
2360,0.23870058059356936,0.23870127003785063,0.238700853294081,0.23870091479581246,0.2387012207176377,0.23870060796458428,0.23870140618621183,0.2736461932448355,3.3678557981083465e-06,3.374175691932292e-06,3.570426089890515e-06,3.795373624543005e-06,3.886921189337085e-06,3.7852486211366585e-06,3.5570048165914565e-06,2.4083771198060366e-12
2400,0.23870052200933445,0.2387012111157799,0.23870101805053717,0.23870067683609766,0.23870148475002306,0.23870037015530876,0.23870157067194425,0.27364619324501704,4.832810893318545e-06,5.076239506702495e-06,5.413538003995745e-06,5.595198783187316e-06,5.501105880447258e-06,5.192287274249296e-06,4.887382337946484e-06,4.968605086864151e-12
2440,0.23870057417028892,0.23870100065226177,0.23870134512942026,0.23870029792391448,0.23870184044910686,0.23870010812144596,0.2387016871410852,0.27364619324539446,7.221119616244118e-06,7.711671251763644e-06,8.0383749750938e-06,7.981592702294293e-06,7.578084742564599e-06,7.1067839160890375e-06,6.939429115512852e-06,1.0326229252929805e-11
2480,0.2387008363150466,0.2387005557183903,0.23870188472697415,0.23869977053990493,0.23870225116837523,0.23869989541489706,0.2387016597008093,0.2736461932461768,1.097422127160508e-05,1.1526020782893294e-05,1.1559927772298998e-05,1.1053882828433303e-05,1.0350859612229467e-05,9.990772837942e-06,1.0282625586244092e-05,2.1533746526658322e-11
2520,0.2387014345633386,0.2386997933475316,0.23870266022916503,0.23869913551231883,0.23870261994828063,0.23869986591558406,0.23870134406168522,0.27364619324779926,1.649663895328214e-05,1.6710555979932355e-05,1.6109743658350616e-05,1.5093613241377625e-05,1.4422565973925182e-05,1.4663219721450481e-05,1.5606121193797195e-05,4.48327615611964e-11
2560,0.23870250287948425,0.23869866202855308,0.2387036304969204,0.23869851847690288,0.2387027615264586,0.23870022780594852,0.23870055035016555,0.2736461932511665,2.410915025541256e-05,2.3449883890279323e-05,2.2026051435301706e-05,2.0873933552366662e-05,2.094911418928325e-05,2.218542386659115e-05,2.3570257750731335e-05,9.313284075332419e-11
2600,0.2387041405855261,0.23869719509964973,0.2387046361280687,0.23869817330203916,0.2387023778210877,0.2387012643294989,0.2386990662706043,0.2736461932581516,3.408667400919505e-05,3.215126531608404e-05,3.028304486974104e-05,2.999539959398174e-05,3.15405295972157e-05,3.3625459878101594e-05,3.4713133786365705e-05,1.932269972348105e-10
2640,0.23870633735804161,0.23869558929370396,0.238705332897065,0.23869852346548068,0.23870104994160204,0.23870330683485141,0.23869671368773354,0.27364619327265033,4.6926753135863764e-05,4.402322938336775e-05,4.3055726272033575e-05,4.486221772073798e-05,4.790661138489001e-05,4.988385043276798e-05,4.9466027574344464e-05,4.0083790370178336e-10
2680,0.23870885925605692,0.23869430562604063,0.23870512389323112,0.23870018345769423,0.23869826753029433,0.23870666054765705,0.23869345304711403,0.27364619330273,6.410606117482333e-05,6.19635912948943e-05,6.38713745111501e-05,6.818053395788957e-05,7.154149957766285e-05,7.166033395904804e-05,6.845317677138695e-05,8.316253167544601e-10
2720,0.23871109721071995,0.23869417831331666,0.2387031147629764,0.2387039306015293,0.2386935244045414,0.23871146044568772,0.23868954736948958,0.2736461933651488,8.941793239042752e-05,9.105786063266174e-05,9.696179931887407e-05,0.0001024173098374013,0.0001036077528084815,9.977674808390297e-05,9.346210415771312e-05,1.7255999333446236e-09
2760,0.23871189523542863,0.2386964989847143,0.23869813391025163,0.23871058466757047,0.2386865153952244,0.23871743685227498,0.2386857875443566,0.27364619349467395,0.00013005687361167104,0.00013783515244872034,0.00014635380436467152,0.00014952117474118794,0.00014524803286186175,0.00013637876905250548,0.00012936403691833918,3.580673202150835e-09
2800,0.23870940190877812,0.23870301763082635,0.2386888797755877,0.23872074184402634,0.2386774683160425,0.23872358278895983,0.23868375924977783,0.273646193763454,0.0001959409806560417,0.00020881953549477491,0.000215308326539512,0.00021117702885289596,0.0001990409441933983,0.00018761474316442064,0.00018613957196434637,7.429771660009923e-09
2840,0.2387010266589661,0.2387157703513016,0.23867427570160413,0.23873430747795907,0.23866763015978412,0.23872774400468189,0.23868609492721302,0.2736461943212,0.0002975258343595998,0.0003094948888390471,0.00030646273344809617,0.0002905324133969287,0.00027263653405515317,0.0002670947076765205,0.0002786430221569979,1.54164845721051e-08
2880,0.23868363005924215,0.23873661289258363,0.23865412042304343,0.23874978878113093,0.23865988870955715,0.2387262046517259,0.2386965991315736,0.27364619547859315,0.0004438444578399202,0.00044408276631736085,0.0004237075511032245,0.00039690552201368604,0.0003841585816220648,0.0003966163461745727,0.00042342618775925375,3.1984890451604936e-08
2920,0.23865412688766272,0.23876632038258222,0.23863010453634625,0.23876335855063166,0.23865943944723722,0.23871342182141442,0.23872006340964558,0.2736461978803155,0.0006419334355596148,0.0006177070247829052,0.0005783856994655515,0.0005541399744302721,0.0005651452303224835,0.0006021102545720717,0.0006355334173421951,6.63578140034359e-08
2960,0.23861071525489888,0.23880312838514708,0.2386072004537835,0.23876780071634823,0.23867429395810205,0.23868216996078562,0.23876150635769253,0.2736462028641834,0.0008987902077591241,0.0008438845754399839,0.000801074396981519,0.0008069115233400395,0.0008556685386887313,0.000907957033521832,0.0009267363819819703,1.3765648479202198e-07
3000,0.23855493597054717,0.23884066953704125,0.2385953012226142,0.2387516137143514,0.2387152667777302,0.23862447938225428,0.23882450708624184,0.27364621320630694,0.0012305641350121993,0.0011612057813403173,0.0011536869825075117,0.0012159712133072013,0.0012954034255228879,0.0013335616769051557,0.0013071375891274715,2.854984405734081e-07
3040,0.23849467186068113,0.23886544420245273,0.23861075782156962,0.23869878427606106,0.23879488247140723,0.2385338606030321,0.2389082865543487,0.27364623466747806,0.0016856393881549948,0.0016548149259130091,0.0017278612535883454,0.0018448649879839426,0.0019178655155324843,0.0018950022920922894,0.001796599626912138,5.921408074826081e-07
3080,0.23844796445872538,0.23885429616847723,0.23867712746708603,0.23859003506610107,0.2389244470136032,0.238409341608728,0.2390032977529523,0.27364627920208867,0.0023755533090079415,0.0024576656979306186,0.002623467020942208,0.002745955527464619,0.002747020917423237,0.0026151377384857227,0.0024523918145611975,1.2272602911674346e-06
3120,0.23844709781459986,0.23877287381999823,0.23882399718787595,0.23840663682259594,0.2391084007001326,0.23826172426799766,0.23908540903054648,0.2736463716172879,0.003494742318311023,0.003726798640660861,0.0039324210025322645,0.003960811149102295,0.0038143474442413018,0.0035658398132749035,0.00342418427722276,2.5432586808630507e-06
3160,0.23854172150187195,0.23857672320148238,0.2390822242062447,0.2381380456445672,0.23933515128431854,0.2381220833166654,0.23910942294497747,0.2736465633923447,0.005285665212580405,0.005603061639930483,0.0057230687766652265,0.005528985913352786,0.005201133179891802,0.00493472155746272,0.004985640376528947,5.266924820738318e-06
3200,0.23879881345658968,0.23821736550507952,0.23947344793160955,0.23779451027693596,0.23956410466897948,0.2380517711125253,0.23900376651652197,0.27364696135930017,0.00798359943979212,0.008189003292336705,0.008047534096643504,0.007545180826635614,0.007142249844050956,0.0070945959436368045,0.007496434498935557,1.0892967375171575e-05
3240,0.23929599883189714,0.23765620639018556,0.2399915370725681,0.23742519910437027,0.23970989441932203,0.2381519311125281,0.2386697081208444,0.2736477872350848,0.01179839379355084,0.011581016197462012,0.011029062820105951,0.010314099495536772,0.010170485898147978,0.010606671462299651,0.011328566629464533,2.2533715514820078e-05
3280,0.24010320682537106,0.23688904427952592,0.24057427904411882,0.23714115338137096,0.23962720999351442,0.23856859575740033,0.23799013079678474,0.2736495012280343,0.01680666948941661,0.015858744756771483,0.014960393501142923,0.014453160067584524,0.015029535580862133,0.01602134613100888,0.016699969982217264,4.640091403763911e-05
3320,0.24124621952335085,0.23598296239168573,0.2410660608441491,0.2371403357391884,0.23910323033638636,0.2394865414393976,0.23685405388852873,0.27365305883885327,0.023187367910997167,0.02147722597471042,0.02077911864308124,0.021124297131066606,0.022605783419761133,0.02391269738180953,0.02382606089263947,9.548387010728721e-05
