case,N,M,rank,final_H_perp,r2_min,r2_max,classes_tol1e-6,classes_tol1e-2,coarse_pattern
N=8,8,28,7,0.0,0.060513995790644634,0.06051399609079229,28,24,3+2+2+2+2 + 17 singles at tol1e-2
N=9,9,36,8,0.0,0.05320478504183057,0.05320478506385879,36,29,2+2 + 32 singles at tol1e-2
