edge_index,i,j,class,theta_deg,a_Re,b_Im,abs_z,abs_z_sq
0,0,1,3,108.0,-0.09352822856646154,0.287850289320163,0.3026637054562073,0.09160531860048181
1,0,2,1,36.0,0.11293416932930321,0.08205147688269744,0.1395943102734906,0.01948657146073156
2,0,3,4,144.0,-0.11293416932930313,0.0820514768826974,0.1395943102734905,0.019486571460731537
3,0,4,2,72.0,0.09352822856646155,0.2878502893201629,0.3026637054562072,0.09160531860048174
4,0,5,0,0.0,0.36902189035192295,0.0,0.36902189035192295,0.13617715555890664
5,1,2,4,144.0,-0.11293416932930313,0.0820514768826974,0.1395943102734905,0.019486571460731537
6,1,3,2,72.0,0.09352822856646155,0.2878502893201629,0.3026637054562072,0.09160531860048174
7,1,4,0,0.0,0.36902189035192295,0.0,0.36902189035192295,0.13617715555890664
8,1,5,1,36.0,0.11293416932930321,0.08205147688269744,0.1395943102734906,0.01948657146073156
9,2,3,0,0.0,0.36902189035192295,0.0,0.36902189035192295,0.13617715555890664
10,2,4,3,108.0,-0.09352822856646154,0.287850289320163,0.3026637054562073,0.09160531860048181
11,2,5,2,72.0,0.09352822856646155,0.2878502893201629,0.3026637054562072,0.09160531860048174
12,3,4,1,36.0,0.11293416932930321,0.08205147688269744,0.1395943102734906,0.01948657146073156
13,3,5,3,108.0,-0.09352822856646154,0.287850289320163,0.3026637054562073,0.09160531860048181
14,4,5,4,144.0,-0.11293416932930313,0.0820514768826974,0.1395943102734905,0.019486571460731537
