step,time,seed,epsilon,baseline_norm,perturbed_norm,total_difference,transverse_difference,normalized_transverse_amplification,local_transverse_growth_rate,renormalization_factor,active_subspace_dimension,projection_closure_error,norm_error,conservation_error
7844,7844,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.0000000000e-08,1.0000000000e-08,1.0000000000e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00
7944,7944,0,1e-08,1.0000000000e+00,1.0000000000e+00,3.0739155609e-08,3.0738915146e-08,3.0738915146e+00,nan,nan,4,0.0000000000e+00,4.4408920985e-16,0.0000000000e+00
8044,8044,0,1e-08,1.0000000000e+00,1.0000000000e+00,5.6437095960e-08,5.6436733512e-08,5.6436733512e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00
8144,8144,0,1e-08,1.0000000000e+00,1.0000000000e+00,8.0231644096e-08,8.0231275963e-08,8.0231275963e+00,nan,nan,4,0.0000000000e+00,4.4408920985e-16,0.0000000000e+00
8244,8244,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.0202740562e-07,1.0202698510e-07,1.0202698510e+01,nan,nan,4,0.0000000000e+00,8.8817841970e-16,0.0000000000e+00
8344,8344,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.2193428158e-07,1.2193372261e-07,1.2193372261e+01,5.0017850936e-03,1.2193372261e+01,4,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00
8344,8344,0,1e-08,1.0000000000e+00,1.0000000000e+00,9.9999999996e-09,9.9999999996e-09,9.9999999996e-01,nan,nan,4,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00
8444,8444,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.1485869990e-08,1.1485802991e-08,1.1485802991e+00,nan,nan,4,0.0000000000e+00,7.7715611724e-16,0.0000000000e+00
8544,8544,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.2834123720e-08,1.2833887887e-08,1.2833887887e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8644,8644,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.4054794267e-08,1.4054347217e-08,1.4054347217e+00,nan,nan,4,0.0000000000e+00,5.5511151231e-16,0.0000000000e+00
8744,8744,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.5158772461e-08,1.5158132679e-08,1.5158132679e+00,nan,nan,4,0.0000000000e+00,8.8817841970e-16,0.0000000000e+00
8844,8844,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.6156738975e-08,1.6155951219e-08,1.6155951219e+00,9.5940677072e-04,1.6155951219e+00,4,0.0000000000e+00,1.1102230246e-16,0.0000000000e+00
8844,8844,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.0000000000e-08,1.0000000000e-08,1.0000000000e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8944,8944,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.0560616405e-08,1.0560201348e-08,1.0560201348e+00,nan,nan,4,0.0000000000e+00,4.4408920985e-16,0.0000000000e+00
9044,9044,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.1071292389e-08,1.1069770519e-08,1.1069770519e+00,nan,nan,4,0.0000000000e+00,6.6613381478e-16,0.0000000000e+00
9144,9144,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.1536707247e-08,1.1533606124e-08,1.1533606124e+00,nan,nan,4,0.0000000000e+00,4.4408920985e-16,0.0000000000e+00
9244,9244,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.1961200992e-08,1.1956100805e-08,1.1956100805e+00,nan,nan,4,0.0000000000e+00,8.8817841970e-16,0.0000000000e+00
9344,9344,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.2348482621e-08,1.2341510866e-08,1.2341510866e+00,4.2076670887e-04,1.2341510866e+00,4,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9344,9344,0,1e-08,1.0000000000e+00,1.0000000000e+00,9.9999999998e-09,9.9999999996e-09,9.9999999996e-01,nan,nan,4,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9444,9444,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.0316493813e-08,1.0301717114e-08,1.0301717114e+00,nan,nan,4,0.0000000000e+00,4.4408920985e-16,0.0000000000e+00
9544,9544,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.0655314739e-08,1.0602114611e-08,1.0602114611e+00,nan,nan,4,0.0000000000e+00,1.3322676296e-15,0.0000000000e+00
9644,9644,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.1001250758e-08,1.0893066356e-08,1.0893066356e+00,nan,nan,4,0.0000000000e+00,4.4408920985e-16,0.0000000000e+00
9744,9744,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.1346362498e-08,1.1172738117e-08,1.1172738117e+00,nan,nan,4,0.0000000000e+00,6.6613381478e-16,0.0000000000e+00
9844,9844,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.1686693877e-08,1.1444736498e-08,1.1444736498e+00,2.6988967369e-04,1.1444736498e+00,4,0.0000000000e+00,8.8817841970e-16,0.0000000000e+00
9844,9844,0,1e-08,1.0000000000e+00,1.0000000000e+00,9.9999999997e-09,9.9999999994e-09,9.9999999994e-01,nan,nan,4,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9944,9944,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.1003647911e-08,1.0720911572e-08,1.0720911572e+00,nan,nan,4,0.0000000000e+00,1.5543122345e-15,0.0000000000e+00
10044,10044,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.3162924268e-08,1.2265674418e-08,1.2265674418e+00,nan,nan,4,0.0000000000e+00,1.1102230246e-15,0.0000000000e+00
10144,10144,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.5734271379e-08,1.4182636211e-08,1.4182636211e+00,nan,nan,4,0.0000000000e+00,6.6613381478e-16,0.0000000000e+00
10244,10244,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.8402655654e-08,1.6266773744e-08,1.6266773744e+00,nan,nan,4,0.0000000000e+00,1.3322676296e-15,0.0000000000e+00
10344,10344,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.1009728446e-08,1.8377523972e-08,1.8377523972e+00,1.2170866034e-03,1.8377523972e+00,4,0.0000000000e+00,1.1102230246e-15,0.0000000000e+00
10344,10344,0,1e-08,1.0000000000e+00,1.0000000000e+00,9.9999999552e-09,9.9999999106e-09,9.9999999106e-01,nan,nan,4,0.0000000000e+00,1.1102230246e-16,0.0000000000e+00
10444,10444,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.8162383785e-08,1.5177749067e-08,1.5177749067e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00
10544,10544,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.9506427594e-08,2.2553825695e-08,2.2553825695e+00,nan,nan,4,0.0000000000e+00,8.8817841970e-16,0.0000000000e+00
10644,10644,0,1e-08,1.0000000000e+00,1.0000000000e+00,4.0587110261e-08,3.0015229886e-08,3.0015229886e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00
10744,10744,0,1e-08,1.0000000000e+00,1.0000000000e+00,5.1105730988e-08,3.7121228505e-08,3.7121228505e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00
10844,10844,0,1e-08,1.0000000000e+00,1.0000000000e+00,6.0974631708e-08,4.3736084924e-08,4.3736084924e+00,2.9511768207e-03,4.3736084924e+00,4,0.0000000000e+00,6.6613381478e-16,0.0000000000e+00
10844,10844,0,1e-08,1.0000000000e+00,1.0000000000e+00,9.9999999802e-09,9.9999999607e-09,9.9999999607e-01,nan,nan,4,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
10944,10944,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.1856546464e-08,1.7276864811e-08,1.7276864811e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00
11044,11044,0,1e-08,1.0000000000e+00,1.0000000000e+00,4.0435103114e-08,3.1299257191e-08,3.1299257191e+00,nan,nan,4,0.0000000000e+00,3.3306690739e-16,0.0000000000e+00
11144,11144,0,1e-08,1.0000000000e+00,1.0000000000e+00,5.7958173878e-08,4.4989051642e-08,4.4989051642e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00
11244,11244,0,1e-08,1.0000000000e+00,1.0000000000e+00,7.4259746559e-08,5.8026604132e-08,5.8026604132e+00,nan,nan,4,0.0000000000e+00,3.3306690739e-16,0.0000000000e+00
11344,11344,0,1e-08,1.0000000000e+00,1.0000000000e+00,8.9378582715e-08,7.0211538621e-08,7.0211538621e+00,3.8978551447e-03,7.0211538621e+00,4,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00
11344,11344,0,1e-08,1.0000000000e+00,1.0000000000e+00,9.9999999580e-09,9.9999999157e-09,9.9999999157e-01,nan,nan,4,0.0000000000e+00,6.6613381478e-16,0.0000000000e+00
11444,11444,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.3674930980e-08,1.9608836547e-08,1.9608836547e+00,nan,nan,4,0.0000000000e+00,6.6613381478e-16,0.0000000000e+00
11544,11544,0,1e-08,1.0000000000e+00,1.0000000000e+00,4.0099356151e-08,3.1227575440e-08,3.1227575440e+00,nan,nan,4,0.0000000000e+00,1.3322676296e-15,0.0000000000e+00
11644,11644,0,1e-08,1.0000000000e+00,1.0000000000e+00,5.5630312662e-08,4.2513093359e-08,4.2513093359e+00,nan,nan,4,0.0000000000e+00,6.6613381478e-16,0.0000000000e+00
11744,11744,0,1e-08,1.0000000000e+00,1.0000000000e+00,7.0256018161e-08,5.3163215004e-08,5.3163215004e+00,nan,nan,4,0.0000000000e+00,1.3322676296e-15,0.0000000000e+00
11844,11844,0,1e-08,1.0000000000e+00,1.0000000000e+00,8.3885434843e-08,6.2838719519e-08,6.2838719519e+00,3.6759726867e-03,6.2838719519e+00,4,0.0000000000e+00,9.9920072216e-16,0.0000000000e+00
11844,11844,0,1e-08,1.0000000000e+00,1.0000000000e+00,9.9999999777e-09,9.9999999548e-09,9.9999999548e-01,nan,nan,4,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00
11944,11944,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.0149114726e-08,1.4824278012e-08,1.4824278012e+00,nan,nan,4,0.0000000000e+00,8.8817841970e-16,0.0000000000e+00
