step,screw_deviation,optimal_phase
0,2.549121723400311e-16,1.2566370614359172
40,1.4523333599221054e-14,1.2566370614359172
80,2.3235901223392134e-14,1.2566370614359172
120,3.11877585625162e-14,1.2566370614359172
160,3.269605400183679e-14,1.2566370614359172
200,2.973522251184852e-14,1.2566370614359172
240,4.0499736266261635e-14,1.2566370614359175
280,4.82292543642517e-14,1.2566370614359172
320,5.830895397436772e-14,1.2566370614359172
360,6.82074112479208e-14,1.2566370614359172
400,7.397857496775151e-14,1.2566370614359172
440,8.175693096325316e-14,1.2566370614359172
480,8.83420648069502e-14,1.2566370614359172
520,8.524276459387099e-14,1.2566370614359172
560,8.393992178911792e-14,1.2566370614359172
600,8.230132855234277e-14,1.2566370614359172
640,8.593594264624138e-14,1.2566370614359172
680,8.539952574070216e-14,1.2566370614359172
720,8.897737400612542e-14,1.2566370614359172
760,1.0017953593927382e-13,1.2566370614359172
800,1.18283112357574e-13,1.2566370614359172
840,1.3990750158902923e-13,1.2566370614359172
880,1.6097482720103257e-13,1.2566370614359172
920,1.8978558116755406e-13,1.2566370614359172
960,2.2289692058704735e-13,1.2566370614359172
1000,2.6474808430051044e-13,1.2566370614359172
1040,3.266815532477148e-13,1.2566370614359172
1080,4.155182838170535e-13,1.2566370614359172
1120,5.28626747173367e-13,1.2566370614359172
1160,6.892374780062228e-13,1.2566370614359172
1200,8.983062463337621e-13,1.2566370614359172
1240,1.1758198826366e-12,1.2566370614359172
1280,1.551894656507636e-12,1.2566370614359172
1320,2.0545228960248483e-12,1.2566370614359172
1360,2.7242195759937554e-12,1.2566370614359172
1400,3.6210974543023147e-12,1.2566370614359172
1440,4.8144277401953555e-12,1.2566370614359172
1480,6.404560454089196e-12,1.2566370614359172
1520,8.518715384219593e-12,1.2566370614359172
1560,1.1333960823866582e-11,1.2566370614359172
1600,1.5086027921044364e-11,1.2566370614359172
1640,2.0079679884447285e-11,1.2566370614359172
1680,2.6729708910587215e-11,1.2566370614359172
1720,3.55921090656877e-11,1.2566370614359172
1760,4.738674627163652e-11,1.2566370614359172
1800,6.308688831471606e-11,1.2566370614359172
1840,8.399261737865666e-11,1.2566370614359172
1880,1.1182391168153502e-10,1.2566370614359172
1920,1.4887864297283066e-10,1.2566370614359172
1960,1.9820847563474372e-10,1.2566370614359172
2000,2.638891646295612e-10,1.2566370614359172
2040,3.513328060400413e-10,1.2566370614359172
2080,4.677492250132103e-10,1.2566370614359172
2120,6.227451073395478e-10,1.2566370614359172
2160,8.290973264655053e-10,1.2566370614359172
2200,1.1038286648734356e-09,1.2566370614359172
2240,1.4695966856230444e-09,1.2566370614359172
2280,1.9565640174966113e-09,1.2566370614359175
2320,2.604895549543114e-09,1.2566370614359172
2360,3.4680629573675354e-09,1.2566370614359172
2400,4.61725383417661e-09,1.2566370614359172
2440,6.147236967461299e-09,1.2566370614359172
2480,8.184200859221857e-09,1.2566370614359172
2520,1.0896138538994207e-08,1.2566370614359172
2560,1.4506710819356891e-08,1.2566370614359172
2600,1.9313695602973763e-08,1.2566370614359172
2640,2.5713534487817512e-08,1.2566370614359172
2680,3.423403832117647e-08,1.2566370614359172
2720,4.557791715538646e-08,1.2566370614359172
2760,6.068073041716938e-08,1.2566370614359172
2800,8.078805473926109e-08,1.2566370614359172
2840,1.0755819372123743e-07,1.2566370614359172
2880,1.4319895772263582e-07,1.2566370614359172
2920,1.9064973498989055e-07,1.2566370614359172
2960,2.538239250389479e-07,1.2566370614359172
3000,3.3793168088845737e-07,1.2566370614359172
3040,4.4990960121381046e-07,1.256637061435917
3080,5.989928181207134e-07,1.2566370614359168
3120,7.974766340956829e-07,1.2566370614359166
3160,1.0617305677133643e-06,1.256637061435916
3200,1.413548370362724e-06,1.2566370614359148
3240,1.8819454403455535e-06,1.256637061435913
3280,2.505551782911029e-06,1.25663706143591
3320,3.335797948432809e-06,1.2566370614359041
3360,4.441156643559836e-06,1.2566370614358942
3400,5.912789868731111e-06,1.2566370614358762
3440,7.872067312364348e-06,1.2566370614358444
3480,1.0480576034208183e-05,1.256637061435788
3520,1.3953446995968561e-05,1.256637061435688
3560,1.8577097522884738e-05,1.2566370614355111
3600,2.4732852921096085e-05,1.2566370614351974
3640,3.292839545343209e-05,1.2566370614346414
3680,4.38396342958277e-05,1.2566370614336555
3720,5.8366449647197436e-05,1.2566370614319082
3760,7.770690833630403e-05,1.256637061428811
3800,0.00010345607173526015,1.256637061423321
3840,0.0001377375448582868,1.2566370614135902
3880,0.00018337861593565777,1.256637061396342
3920,0.00024414343061210776,1.2566370613657691
3960,0.00032504343120117217,1.2566370613115778
4000,0.00043275066358242406,1.2566370612155224
4040,0.0005761480377440781,1.256637061045262
4080,0.0007670619222333078,1.2566370607434711
4120,0.0010212374886088512,1.2566370602085415
4160,0.0013596372381779024,1.2566370592603717
4200,0.0018101697873708909,1.2566370575797372
4240,0.002409991450074225,1.2566370546008363
4280,0.0032085703418807516,1.2566370493208707
4320,0.004271765491542607,1.2566370399626687
4360,0.0056872568551057,1.2566370233771282
4400,0.007571772836364268,1.2566369939854434
4440,0.010080708515536487,1.2566369419087595
4480,0.013420921039103043,1.2566368496676679
4520,0.017867741234424313,1.2566366863760632
4560,0.023787566138892446,1.2566363975796713
4600,0.03166780716610655,1.2566358876799515
4640,0.042156457593634324,1.2566349903331882
4680,0.056114041683977905,1.256633420649414
4720,0.07468101134757252,1.2566307016186056
4760,0.09936339827945219,1.2566260678113925
4800,0.13213786453030835,1.2566184626520613
4840,0.17557053945736217,1.2566071645293952
4880,0.23292141800914237,1.2565939780919941
4920,0.30815842131209725,1.2565875717933712
4960,0.40575335556298736,1.256624827122545
5000,0.5300354102310325,1.2569249032206296
5040,0.6833435383735196,1.25844982040636
5080,0.8616000106799633,1.2635110702749173
5120,1.0491995598715163,1.275118115892523
5160,1.2194920121555566,1.3175109204283801
5200,1.3347457419478443,1.691283301003452
5240,1.3463442166512083,2.5913566382340427
5280,1.3737621202653736,2.594266231453882
5320,1.371922672874739,0.2843012103692703
5360,1.37467428534532,0.5020096118945452
5400,1.3451547516029356,2.954711233045817
5440,1.254180022786145,-2.8525877225029976
5480,1.2392242787904197,-2.336725889443213
5520,1.2286091630555187,-1.9026792390440197
5560,1.2254983807247903,-1.7815627575872586
5600,1.222550251244733,-1.915026409387504
5640,1.1856081431076655,-2.1133165040757937
5680,1.1637456390273695,-2.0495423138638533
5720,1.2045775799470182,-1.7090331853562457
5760,1.2777264214855841,-1.3492600339081453
5800,1.3387311364065224,-1.5642645722674902
5840,1.2910753802140162,-2.419527102337175
5880,1.2116748978141338,-2.410591297629473
5920,1.2508818659988805,-1.9775603014557792
5960,1.3766540014457775,-1.669453097059076
6000,1.3079795035572324,2.5746876404129018
6040,1.2545876756599617,-2.9961771334592964
6080,1.2090425686836728,-2.0357038209908023
6120,1.1502583731323077,-1.4928352079419853
6160,1.1616543045411498,-1.2011426476849267
6200,1.2186789133330733,-0.8504539851291383
6240,1.2501877880401162,-0.26239122041921364
6280,1.2190355332138036,0.2026817946711825
6320,1.1782170659193267,0.3351423286779836
6360,1.1819686759908663,0.282850201446893
6400,1.2258879284720057,0.2043844549811749
6440,1.2664373275114833,0.30056438128685464
6480,1.2694969928263755,0.6182147067366608
6520,1.2564609646324951,0.8403912663925174
6560,1.3196773241425648,0.856349980098224
6600,1.3689464673192537,-1.7325577326552979
6640,1.240744010903689,-1.8167830658851791
6680,1.1168330446453354,-1.6057778684147945
6720,1.0155499884811117,-1.4631803523379971
6760,1.0123771455252517,-1.5163899403584058
6800,1.0968272815962492,-1.734120900120027
6840,1.2345447554891658,-1.950371498245259
6880,1.4015955821634727,-2.65494993423705
6920,1.2811648419887607,1.4109182169949448
6960,1.2185699473052976,1.4627254680243749
7000,1.2540769052388816,1.402869091276503
7040,1.29774714262492,1.2604975387763258
7080,1.2838803815573736,1.0867519893258373
7120,1.2084202549325451,1.529415073518275
7160,1.1626292104158555,2.09838179385941
7200,1.254717692358826,2.5618466922637104
7240,1.3873845718322588,0.6091921047289457
7280,1.2554126879574383,0.5913027758345167
7320,1.2041674897677157,1.0029836206589335
7360,1.2112435000081097,1.1918735636549629
7400,1.2274298679242364,0.9563157282397403
7440,1.2244540708318759,0.47380532942466896
7480,1.209709449208057,0.03184434990872457
7520,1.223258097692762,-0.24773545865316973
7560,1.291109813961461,-0.25026401077263133
7600,1.3488196223795847,0.2163171400252997
7640,1.3632779471966747,0.9112799982445413
7680,1.3668177861597401,0.962970620962416
7720,1.371148803594388,0.2770647537378934
7760,1.3943012389693805,-1.0101515798712752
7800,1.3396012176586456,2.689826249055804
7840,1.2200150268501302,2.1707053003462184
7880,1.1864698460286351,2.03812585813473
7920,1.2379823904257903,2.471689053982236
7960,1.2113608256029607,-3.081376801966534
8000,1.2384841635926989,-2.7325826043584525
8040,1.3563623479309384,-2.038680949428106
8080,1.3388379770240681,-0.8846977244191195
8120,1.3712521113327323,-0.799076101427214
8160,1.3148064440716294,1.7699662501386257
8200,1.2024351870809293,1.8276932023500394
8240,1.256873937705627,2.0527291482127317
8280,1.2996918319065496,-3.05177146076669
8320,1.2161049449916372,-2.6542778697079585
8360,1.2148750156730432,-2.7347604244985537
8400,1.2893683044943902,-2.7846055358781743
8440,1.347827136492017,-2.763865210773401
8480,1.3467217223866208,-3.036638194389765
8520,1.300151160412692,2.9279263414128947
8560,1.2735200113344565,2.7644438449196453
8600,1.2937316899849387,2.7845990378838765
8640,1.3135928281479645,-3.096113781339535
8680,1.288863536830062,-2.820598000229
8720,1.2670134403904247,-2.9502618825055964
8760,1.2589765479000452,3.079505887404232
8800,1.2620865666399481,2.92366435281624
8840,1.3003046080304415,2.9866646621370543
8880,1.360264064315024,-2.6872217431611025
8920,1.376188809010361,-1.6527371961053543
8960,1.4022621136963596,2.992458399860656
9000,1.3272364202242162,2.2526390543920662
9040,1.2604353894157108,2.204374920282215
9080,1.2150906290008532,2.2602617425679155
9120,1.1664283877941501,2.429329478966058
9160,1.1129248687566866,2.620489129390161
9200,1.0972600015710732,2.7720092158128757
9240,1.1161485983112533,2.8490762595479033
9280,1.141112120889996,2.841248131291209
9320,1.1892677070968665,2.8896567594282603
9360,1.264859459511714,-3.0600774084750215
9400,1.3276730841072313,-2.4032893870037793
9440,1.3807041178931037,-1.3574409203657372
9480,1.3860613400790733,0.8372692660412103
9520,1.3698158277099926,2.069762390934856
9560,1.3705817510805618,2.5686859395798463
9600,1.3791011428282889,1.1508425844772698
9640,1.3103276016213588,0.8602477841610224
9680,1.3227293829209923,1.1036273185385324
9720,1.3907187017623028,2.3825712837360915
9760,1.3665265666451591,-2.0766712866961954
9800,1.3566706517566631,-0.641750797358946
9840,1.3017840168034975,-0.04779338391474763
9880,1.3078408659904075,-0.0957075915339097
9920,1.3423757723422078,-0.6027504913690898
9960,1.3411463789597324,-1.085963010885103
10000,1.3256818482064132,-1.2624513578074832
10040,1.2738410475501925,-1.7158774805240173
10080,1.167510803216398,-2.178753641236584
10120,1.0795634671777765,-2.482523735522069
10160,1.0456425265113136,-2.6861412227826253
10200,1.0387966788282088,-2.8213458330031336
10240,1.0294857348032038,-2.8621560122315777
10280,0.9897001338967326,-2.8802103181344894
10320,0.9404832917836737,-2.9726582433132633
10360,0.9653882558186047,-3.105647580711291
10400,1.0863819461217463,3.097100514426548
10440,1.1765700320392776,3.0752477466799792
10480,1.1961691838132176,2.996804260261983
10520,1.2070513028370349,2.841108571977216
10560,1.2696750905976637,2.6054643350414084
10600,1.348839242266025,2.16562653185904
10640,1.381991605590845,1.4541480083315386
10680,1.3917187750291449,1.1976683016375131
10720,1.3973230211238368,0.38867668881216977
10760,1.366831069187447,-0.45902496566942813
10800,1.3382143460435398,-0.6501161861349466
10840,1.3456435592633251,-0.825545957592056
10880,1.362534092383302,-1.2002336588089657
10920,1.3549422827728395,-1.7435746020003409
10960,1.319260481250888,-2.0912715474396277
11000,1.28224796878888,-2.282403149638737
11040,1.2752900501514361,-2.3751875796184283
11080,1.3016844069879434,-2.332430360305209
11120,1.3412410370725576,-2.0778107967521917
11160,1.381691496358976,-1.5065782724040275
11200,1.40899991663327,2.2476896051400685
11240,1.3582524104686062,3.045335009872774
11280,1.3126594869578456,-2.973979146888328
11320,1.3199910033583733,-2.8628043581634035
11360,1.3915470903920926,-2.8643632236881578
11400,1.350818187723924,0.4905636617018318
11440,1.3299716303654725,0.45877085130802026
11480,1.3779252769856307,-0.0007590396077040228
11520,1.3568534649113768,-1.595848217834433
11560,1.2838631526366397,-1.4595130347663163
11600,1.1898448313135193,-1.1150822671722243
11640,1.134073291708663,-0.7994795873211287
11680,1.169547830886089,-0.47897667791447157
11720,1.2473547728870984,-0.18557550292031474
11760,1.3109404769509156,-0.1008026510722704
11800,1.3419148004363974,-0.3263514068939333
11840,1.3449029403999582,-0.6335694227142796
11880,1.3271437472172936,-0.685312294717829
11920,1.324761722120831,-0.3947723298522364
11960,1.3649939483033007,0.42473520352539185
12000,1.3736350090955527,2.2107683467453705
12040,1.3716107436320595,-2.9887188760025394
12080,1.3886784727803683,-1.7798314974113363
12120,1.3892405930383336,0.985990214744441
12160,1.3466985716372413,2.0051401303926792
12200,1.3553670048098245,2.747268484481058
12240,1.3887458395080947,-2.111159365317302
12280,1.3668920088697873,0.08677037803080656
12320,1.3212378860454441,0.6286662855933113
12360,1.313774468981155,0.5337208811457737
12400,1.3067423937913472,0.024375880043296026
12440,1.2636060294156215,-0.4239972162393823
12480,1.1988094904953046,-0.647461427942583
12520,1.1356430690104848,-0.738404791970791
12560,1.1214280954028348,-0.7424474549167519
12600,1.1807470686854606,-0.6794131230490456
12640,1.2714466923220686,-0.6568807590208481
12680,1.3478977621139583,-0.9826496303460821
12720,1.3667642373931632,-1.9099412663389022
12760,1.3509442554977171,-2.0402298482542887
12800,1.3103956998656952,-1.570500042433996
12840,1.2239193704008446,-1.3541186360634538
12880,1.1540372535694186,-1.3836147925422733
12920,1.1474542198689919,-1.4995245528963501
12960,1.178160194337575,-1.6259823950041103
13000,1.2096213611826796,-1.6763309151753536
13040,1.2434355716296501,-1.691492711643115
13080,1.2688689759045437,-1.8983391769252929
13120,1.223250059898935,-2.2429245217062346
13160,1.1085506618701826,-2.3094503531257384
13200,1.0249171327770636,-2.2693533364449263
13240,1.0320064184102165,-2.266070867183562
13280,1.0843088524992879,-2.32774588809716
13320,1.112082362912836,-2.450562282411829
13360,1.0733833292055155,-2.5208736278612434
13400,1.00436928329,-2.45421821905907
13440,0.9914589584332086,-2.381663247335794
13480,1.046568440300423,-2.457381932723416
13520,1.080086957192289,-2.715082338458628
13560,1.045338314254829,-2.8925383923290555
13600,1.0022120918090487,-2.846048195690114
13640,0.9993515357018012,-2.7737479511108325
13680,1.0396782846508452,-2.805489184326138
13720,1.0733903249021115,-2.8633525906347312
13760,1.0856656195764423,-2.9171250798117185
13800,1.0723767845989902,-3.050689210677406
13840,1.0287090375325487,-3.1272913801484177
13880,0.9809949023620823,-3.0459396896538187
13920,0.9413685880936095,-2.92201479202416
13960,0.9446389202068588,-2.8618908470596653
14000,0.993149641569906,-2.877838574054699
14040,1.0435847344385287,-2.9401874179426386
14080,1.066190222961374,-3.089278460395026
14120,1.0327257839885893,3.029613521723609
14160,0.9732648404217645,3.014599904391439
14200,0.954372077353796,3.0982410733284445
14240,0.9987625282604221,3.1299806827223935
14280,1.052658447793658,3.0246679821217826
14320,1.0543851961003765,2.865288588505796
14360,1.005048472583182,2.7634489908899096
14400,0.9418699551772947,2.7552819388526255
14440,0.9153700073120871,2.8349355107830316
14480,0.9266447248695643,2.9312749337869626
14520,0.9617970346204805,2.9594944564011625
14560,1.0048413390644877,2.9199688408377265
14600,1.036455967861997,2.892271696651833
14640,1.0586114225949597,2.8493985021529764
14680,1.0605798124917298,2.765827657558452
14720,1.046415948685569,2.7604503039985007
14760,1.0569629826762803,2.8432000365297023
14800,1.1064152661352071,2.900583071328672
14840,1.15109378728194,2.867790548016834
14880,1.1540842079423208,2.829436359057031
14920,1.1275677580755825,2.876485949564879
14960,1.0951008099885573,2.9550665044449294
15000,1.0644027818485315,2.9915905423690434
15040,1.0327373729097025,2.983893610213435
15080,1.0077527592803006,2.9912128918022516
15120,0.9896144193867652,3.0043731725044744
15160,0.967099824938642,2.9925036946685246
15200,0.9431690700178448,3.0142195184439196
15240,0.9203724122124396,3.0767955408389756
15280,0.9185974063155689,3.124242609859801
15320,0.9477600997054486,-3.130423443620356
15360,0.9769542063263451,-3.0807607239038832
15400,0.9900232220385369,-3.049870423653881
15440,1.0013992124202133,-3.081713299305234
15480,1.0112342190721548,-3.0860971516721563
15520,1.0155427717083902,-3.072575058591318
15560,1.0101218147118387,-3.11542998117996
15600,0.9976967717789397,-3.140545555837185
15640,0.9911865597403201,-3.09064115323255
15680,0.9797361006452064,-3.0547941013216287
15720,0.9687833075665073,-3.0615108189022173
15760,0.9623306854638556,-3.0298250137952465
15800,0.9603602939406497,-2.9843382678780643
15840,0.9760889968278147,-2.986324981327993
15880,1.0024715873857275,-2.9981915156128447
15920,1.0363828757899523,-3.0115415847103746
15960,1.0641661750898066,-3.0782230515601023
16000,1.0619311108442275,3.1134072265378356
16040,1.042558377694334,3.0737082057571055
16080,1.0298847379353757,3.088633750817983
16120,1.0258861649010658,3.1274504010632342
16160,1.028293182620534,-3.103051481507935
16200,1.0288797044684,-3.0436601965479655
16240,1.0193753188921353,-3.005801339269363
16280,1.0026160513452964,-2.9938896053077078
16320,0.9880643730685369,-2.9847438662292287
16360,0.9845023187931006,-2.969679359720138
16400,0.9892739613913283,-2.9516281861221465
16440,0.9960048405751587,-2.932469804228171
16480,1.0017013499510272,-2.902952375195454
16520,1.0042673936644961,-2.869043477644654
16560,1.004866605987912,-2.8526163290497455
16600,1.004079702700654,-2.845127062400209
16640,1.0040444593274698,-2.8290723259425112
16680,1.0066629372178315,-2.803633077642936
16720,1.012720816209207,-2.773162958404328
16760,1.025334065649855,-2.71992946424704
16800,1.0451222794021933,-2.6405848579865356
16840,1.0666410730786622,-2.5827581201295295
16880,1.077611732008455,-2.555732731688011
16920,1.0739334921302985,-2.5306652547212973
16960,1.0689711210308785,-2.522050804207688
17000,1.0714629087527574,-2.5443698046796004
