edge_index,i,j,color,theta_deg,a_Re,b_Im,abs_z
0,0,1,3,108.0,-0.08272898439786816,0.25461363332854736,0.267716617221021
1,0,2,1,36.0,0.21658729300837867,0.15735987939614526,0.26771661722102097
2,0,3,4,144.0,-0.21658729300837865,0.1573598793961453,0.26771661722102097
3,0,4,2,72.0,0.0827289843978682,0.2546136333285473,0.26771661722102097
4,0,5,0,0.0,0.26771661722102097,0.0,0.26771661722102097
5,1,2,4,144.0,-0.21658729300837865,0.1573598793961453,0.26771661722102097
6,1,3,2,72.0,0.0827289843978682,0.2546136333285473,0.26771661722102097
7,1,4,0,0.0,0.26771661722102097,0.0,0.26771661722102097
8,1,5,1,36.0,0.21658729300837867,0.15735987939614526,0.26771661722102097
9,2,3,0,0.0,0.26771661722102097,0.0,0.26771661722102097
10,2,4,3,108.0,-0.08272898439786816,0.25461363332854736,0.267716617221021
11,2,5,2,72.0,0.0827289843978682,0.2546136333285473,0.26771661722102097
12,3,4,1,36.0,0.21658729300837867,0.15735987939614526,0.26771661722102097
13,3,5,3,108.0,-0.08272898439786816,0.25461363332854736,0.267716617221021
14,4,5,4,144.0,-0.21658729300837865,0.1573598793961453,0.26771661722102097
