step,plane0_sigma0.113324,plane1_sigma0.113324,plane2_sigma0.138793,plane3_sigma0.138793,plane4_sigma0.358361
0,1.1933295110528017e-33,9.409706835043592e-33,5.280534453402014e-33,2.8706375116335485e-32,1.0000000000000004
20,1.2565647916691758e-30,3.71976962750823e-30,1.5056673420824269e-30,2.810065889665738e-30,1.0000000000000004
40,6.8796663644397815e-31,2.7309993415578373e-30,6.57265715459121e-30,3.909015131316502e-30,1.0000000000000002
60,2.178612357490236e-30,1.0198551588971228e-29,3.434969599605115e-30,5.9057236388139796e-30,1.0000000000000004
80,1.908157247092575e-30,1.7932023858767703e-29,6.32151082939843e-30,9.001307544482178e-30,1.0000000000000007
100,3.603877404817456e-30,3.201642846618014e-29,7.007343692986469e-30,6.689945481815977e-30,1.0000000000000002
120,9.857949087316835e-30,5.289564693377243e-29,1.0570719219398261e-29,7.791013953143224e-30,1.0000000000000009
140,1.3715456879555542e-29,6.415955574393865e-29,5.292785594790313e-30,1.456360940829184e-29,1.0000000000000009
160,1.2701375608204025e-29,7.926937861081332e-29,2.456748288382994e-30,1.4810877668216428e-29,1.0000000000000004
180,1.9605507464708646e-29,7.385414286241202e-29,2.323947206774119e-30,1.828085683337332e-29,1.0000000000000002
200,2.7215357987757097e-29,8.201913509942342e-29,3.690232254133268e-30,2.3553815414707394e-29,1.0000000000000002
220,4.3080849410792963e-29,1.0521380513941246e-28,4.8982012487958645e-30,2.773987106178078e-29,1.0000000000000007
240,6.542447621621643e-29,1.4447345754015363e-28,4.7153830178543864e-30,4.4397877240429536e-29,1.0000000000000002
260,8.707925436446028e-29,1.835584404301192e-28,6.210853133543709e-30,6.83128491621079e-29,1.0000000000000004
280,1.1748020717174578e-28,1.8293830420449992e-28,6.223810056572287e-30,9.933763665683509e-29,1.0000000000000002
300,1.6929776448430724e-28,2.307869105848211e-28,6.391307838519983e-30,1.288523459797615e-28,1.0000000000000007
320,2.123023604171808e-28,2.5963508963740274e-28,8.600643344874936e-30,1.5303361510300589e-28,1.0000000000000007
340,2.426727606253977e-28,2.488292669652584e-28,1.2057235839341939e-29,1.6824392309039633e-28,1.0000000000000002
360,3.1375075195568967e-28,3.1629271696899327e-28,1.2653902680452834e-29,1.7639961122585565e-28,1.0
380,3.7222577955492725e-28,3.203840490141726e-28,1.2015172050622762e-29,1.855514148090022e-28,1.0
400,4.22323282005048e-28,3.326377894185524e-28,1.721992374185351e-29,2.2326199465892395e-28,1.0000000000000007
420,4.7892935971914695e-28,3.5090277903784648e-28,2.373391499906713e-29,2.756073384266253e-28,1.0
440,5.809523328986443e-28,3.7836864593535606e-28,1.9483404180484408e-29,2.900901663257227e-28,1.0000000000000002
460,6.015901348612638e-28,3.8699028698313304e-28,2.48118263384579e-29,3.105161867516737e-28,1.0
480,6.603140480522531e-28,4.386807419460716e-28,2.8659537219781014e-29,2.4665599471314033e-28,1.0000000000000002
500,6.840801676427139e-28,3.6897936640147145e-28,3.3658714893525367e-29,2.4793330547110863e-28,1.0
520,6.873678047534076e-28,3.5089859673271005e-28,4.2768091958454075e-29,2.296882391656161e-28,1.0000000000000009
540,7.024828807196654e-28,3.1818971361284755e-28,4.114296487799115e-29,2.3153135352140146e-28,1.0000000000000007
560,6.846934357889821e-28,3.0828183248423412e-28,5.789768225761411e-29,2.1427028165611626e-28,1.0000000000000004
580,7.047736404301972e-28,2.953646851547523e-28,5.650119230548469e-29,1.936690530514522e-28,1.0
600,7.208288396277964e-28,2.698437417641646e-28,6.117609515634636e-29,2.172345405388562e-28,1.0000000000000002
620,7.471693288839397e-28,1.9019645338436963e-28,5.070213468862491e-29,2.364872247676712e-28,1.0000000000000004
640,7.8655022189291e-28,1.5596144770712118e-28,5.153809853955993e-29,2.2865800901502887e-28,1.0000000000000002
660,8.524353324655817e-28,1.0220450144111469e-28,5.361533288809735e-29,3.158213660463036e-28,1.0000000000000002
680,9.47759467547767e-28,9.472398275790742e-29,4.6969522297507133e-29,3.3396492765575535e-28,1.0000000000000004
700,1.1184977243439658e-27,9.663845217593733e-29,4.8224173796403494e-29,4.015269708018365e-28,1.0000000000000002
720,1.319634970997511e-27,1.0297385161546346e-28,5.674558139701204e-29,4.758332301610967e-28,1.0000000000000004
740,1.5570527199278588e-27,1.4562450832709347e-28,6.310528818344144e-29,5.325425480965238e-28,1.0000000000000004
760,1.8464353982556765e-27,1.845293589104332e-28,6.674666553674519e-29,6.178460935388708e-28,1.0000000000000009
780,2.1561698744259876e-27,2.7588835437141293e-28,1.0038895411082053e-28,7.429073008001456e-28,1.0000000000000004
800,2.536429382718728e-27,3.3138829171749787e-28,1.2780512369313046e-28,8.683028444912105e-28,1.0000000000000004
820,2.8740898830868307e-27,3.592457406485382e-28,1.7559343489252742e-28,1.011848752980993e-27,1.0000000000000004
