step,r1_full,r2_full,r3_full,r4_full,r5_full,r6_full,r1_perp,r2_perp,r3_perp,r4_perp,r5_perp,r6_perp
0,0.3786084709466144,0.2962771398818356,0.2962771398818356,0.18930423547330724,0.18930423547330713,2.4747087302677922e-09,6.813225483139698e-17,6.46784970746567e-17,4.700858223266184e-17,4.3345657159889403e-17,1.6657478864047347e-17,3.4076565865955336e-25
40,0.3786084709466138,0.2962771398818354,0.2962771398818353,0.18930423547330694,0.1893042354733066,2.7507717583401777e-09,1.7295357141077737e-15,1.4062819191318222e-15,1.2188869251015555e-15,9.93752077766596e-16,6.622714753681744e-16,1.2448467465681317e-23
80,0.37860847094661404,0.2962771398818363,0.2962771398818352,0.1893042354733068,0.18930423547330466,3.324469070674312e-09,2.781214796669268e-15,2.3715693559794707e-15,2.0926409602006277e-15,1.7690300422519246e-15,5.26239292486487e-16,1.418020377219366e-23
120,0.37860847094661415,0.2962771398818372,0.2962771398818357,0.18930423547330527,0.18930423547330272,4.417204252533203e-09,3.9720983180310145e-15,3.5115076963257574e-15,2.9424681432007363e-15,2.241809073991553e-15,1.4517377471356662e-15,2.318912965941927e-23
160,0.37860847094661415,0.2962771398818375,0.29627713988183624,0.18930423547330624,0.18930423547330358,2.2670925999375022e-09,4.572487970251968e-15,3.6733912906149045e-15,3.451839024853106e-15,2.4655480036032318e-15,1.6545971216215732e-15,2.800864213975088e-23
200,0.37860847094661193,0.2962771398818365,0.29627713988183474,0.18930423547330782,0.1893042354733046,2.3020965155996712e-09,5.517502912188439e-15,4.4586244488848195e-15,3.552565481592395e-15,2.389398259914472e-15,1.6346993893144529e-15,3.082024803342114e-23
240,0.37860847094661243,0.2962771398818396,0.296277139881835,0.18930423547331027,0.18930423547330583,3.0224380195213433e-09,8.088724347188883e-15,6.70616163935126e-15,4.63428092997187e-15,2.5701509012727107e-15,1.776869913403438e-15,3.2952850086218916e-23
280,0.3786084709466139,0.2962771398818415,0.29627713988183696,0.1893042354733139,0.18930423547330708,1.1206707215292747e-09,9.518491104904218e-15,8.784482135411273e-15,5.087225845526198e-15,4.586231959328248e-15,3.1047470438024886e-15,1.0808264970796312e-22
320,0.37860847094661493,0.29627713988184295,0.2962771398818384,0.18930423547331746,0.1893042354733071,3.113720886394132e-09,1.1182915174355124e-14,1.0553672069077163e-14,5.9400079301560095e-15,5.825656724998436e-15,4.299962884512969e-15,5.719356695042294e-23
360,0.37860847094661126,0.29627713988183835,0.29627713988183724,0.1893042354733146,0.18930423547330266,2.336159436164959e-09,1.249924221983057e-14,1.1703692341178288e-14,8.004715193151689e-15,5.8832662572585866e-15,4.237776278902302e-15,1.1974302374281574e-22
