step,R_v0,R_v1,R_v2,R_v3,R_v4,R_v5,nulldev_v0,nulldev_v1,nulldev_v2,nulldev_v3,nulldev_v4,nulldev_v5
2360,0.25196298495652764,0.2519629850743683,0.25196298479526363,0.2519629851289986,0.25196298486809027,0.2704627879773457,1.5672988369681874e-09,1.650643907379665e-09,1.5189131255522573e-09,1.3348910373768353e-09,1.3688347734110094e-09,4.478771967661936e-14
2400,0.2519629848893486,0.25196298515571564,0.2519629847308188,0.25196298515192367,0.2519629848954426,0.27046278797734585,2.171395082198618e-09,2.1492559066995414e-09,1.8971506590868698e-09,1.750741316679506e-09,1.9375732011210387e-09,6.313908588696032e-14
2440,0.25196298478643825,0.2519629852588926,0.2519629846667866,0.2519629851523568,0.2519629849587822,0.27046278797734735,2.9289378150624533e-09,2.729367661473132e-09,2.3880186470070663e-09,2.398437385633866e-09,2.743888261513917e-09,7.474851286915331e-14
2480,0.25196298464228434,0.25196298537861284,0.2519629846172286,0.2519629851128255,0.25196298507230985,0.2704627879773487,3.838615080179515e-09,3.4134097589345288e-09,3.101501435213486e-09,3.3834179951732345e-09,3.821890391941037e-09,5.963034106748614e-14
2520,0.25196298445596965,0.2519629855019558,0.2519629846039624,0.2519629850109382,0.25196298525042277,0.2704627879773457,4.90011514713407e-09,4.279765561800509e-09,4.208666828013208e-09,4.799659836064103e-09,5.1890066174546555e-09,2.023056079739423e-14
2560,0.25196298423492636,0.25196298560524477,0.25196298465787903,0.251962984820406,0.25196298550478896,0.27046278797734497,6.1421115041956905e-09,5.508409683670223e-09,5.9091427175574075e-09,6.7180931097996915e-09,6.84574457802983e-09,5.343077795019837e-14
2600,0.25196298399977113,0.2519629856508104,0.2519629848192998,0.2519629845136455,0.251962985839707,0.27046278797734197,7.68094451668824e-09,7.399726144840233e-09,8.388560429691773e-09,9.17938005604285e-09,8.788113671060094e-09,9.690572033917621e-14
2640,0.2519629837900867,0.2519629855842806,0.2519629851366277,0.25196298406672435,0.25196298624551206,0.270462787977341,9.806329067637461e-09,1.0326958929319753e-08,1.17927102544445e-08,1.219112823103762e-08,1.1050151415993109e-08,9.592792834014095e-14
2680,0.25196298367056524,0.2519629853333436,0.251962985662182,0.25196298346730367,0.25196298668984995,0.27046278797734397,1.303757450306174e-08,1.4653433813701342e-08,1.6212854563599094e-08,1.5743413159391398e-08,1.3800365841149994e-08,8.706540126262226e-14
2720,0.2519629837365101,0.25196298480940116,0.25196298644399573,0.2519629827262451,0.2519629871070963,0.2704627879773447,1.8063412037715184e-08,2.067561301676011e-08,2.1677095187458347e-08,1.987231999320103e-08,1.7497085279770107e-08,1.1183282550359044e-13
2760,0.2519629841170446,0.2519629839140257,0.2519629875122056,0.2519629818932164,0.2519629873867536,0.2704627879773443,2.558851557582501e-08,2.8592427236654364e-08,2.8168102063156147e-08,2.481518960584786e-08,2.3023559772494574e-08,1.622565381574859e-13
2800,0.25196298497351255,0.2519629825524904,0.2519629888587516,0.25196298107600046,0.25196298736250244,0.270462787977347,3.6209721546531285e-08,3.8484666841668154e-08,3.5715788552881273e-08,3.128416662150702e-08,3.1633122352746615e-08,1.9000465012408147e-13
2840,0.2519629864897201,0.2519629806569521,0.2519629904095845,0.2519629804622365,0.25196298680476353,0.2704627879773465,5.0350799561853945e-08,5.033095150033087e-08,4.464328669503071e-08,4.075702988223461e-08,4.467917487756451e-08,1.870917737844997e-13
2880,0.25196298884985746,0.25196297822180347,0.25196299198961136,0.2519629803408626,0.25196298542114354,0.2704627879773514,6.821811728300494e-08,6.413913872017248e-08,5.603655982390988e-08,5.548076932523986e-08,6.335294312784865e-08,1.633304876995312e-13
2920,0.2519629921992207,0.2519629753529268,0.2519629932821906,0.2519629811183079,0.25196298287064056,0.27046278797735307,8.980516242598775e-08,8.032995059276452e-08,7.232731372554229e-08,7.8026851467993e-08,8.854120057943094e-08,1.543952796495809e-13
2960,0.25196299658300725,0.25196297233112414,0.2519629937877862,0.25196298332204525,0.25196297879933094,0.27046278797735546,1.150719175110422e-07,1.0052602407599156e-07,9.748230220261724e-08,1.1075326881290732e-07,1.207351363350877e-07,1.8052569809692003e-13
3000,0.2519630018592641,0.25196296968694504,0.25196299278989437,0.2519629875808452,0.2519629729063413,0.2704627879773553,1.4453285173423423e-07,1.2866237006743437e-07,1.3632952124324842e-07,1.5548968272876855e-07,1.6000323413476322e-07,1.9639252261180242e-13
3040,0.25196300758479523,0.2519629682797487,0.25196298934125333,0.251962994568061,0.2519629650494309,0.2704627879773558,1.8055780624898516e-07,1.7163158395191784e-07,1.934974553736763e-07,2.1335204115637603e-07,2.0622267689561547e-07,1.6578017216354376e-13
3080,0.25196301287757,0.2519629693672159,0.2519629822889176,0.25196300489151635,0.25196295539806973,0.2704627879773572,2.2940665950733228e-07,2.3838223369120117e-07,2.7271771319200277e-07,2.84643242662822e-07,2.599637194527764e-07,1.1363885235722361e-13
3120,0.25196301626706746,0.25196297464309186,0.25196297036286314,0.2519630189123965,0.2519629446378591,0.2704627879773563,3.028639933387397e-07,3.379193491723554e-07,3.764430856005454e-07,3.691265567209355e-07,3.245972098327493e-07,8.263652299867706e-14
3160,0.2519630155553321,0.2519629862104589,0.2519629523581921,0.2519630364771902,0.25196293422208743,0.2704627879773561,4.172882655202913e-07,4.777782255717058e-07,5.055977704313915e-07,4.673264470088598e-07,4.099077369199985e-07,1.0581600697235232e-13
3200,0.2519630077268424,0.25196300644648445,0.25196292744409177,0.25196305655302015,0.2519629266528062,0.2704627879773583,5.9003185565593e-07,6.632184898069847e-07,6.59848686233126e-07,5.838869211097761e-07,5.357167069635385e-07,1.2202981062579529e-13
3240,0.2519629889642651,0.2519630377038546,0.2519628956311691,0.2519630767700276,0.2519629257539037,0.2704627879773632,8.361758734061905e-07,8.966733941643201e-07,8.394683026879694e-07,7.338217210697733e-07,7.31494592895839e-07,1.2935323883768787e-13
3280,0.2519629548485051,0.2519630817868027,0.25196285841920535,0.2519630928972783,0.2519629368713945,0.2704627879773737,1.1667851850356643e-06,1.1779043973369628e-06,1.0505995234997552e-06,9.499239004876894e-07,1.0303290580097992e-06,1.8542366584831067e-13
3320,0.25196290084247525,0.2519631391401018,0.2519628196256143,0.25196309831327685,0.2519629669016576,0.27046278797739176,1.5877641972303069e-06,1.506577803192664e-06,1.315827978729137e-06,1.2844828070988866e-06,1.4621526465072272e-06,2.9825334239089104e-13
3360,0.25196282317392993,0.2519632077033688,0.251962786356394,0.25196308358064223,0.2519630240086912,0.2704627879774252,2.099640373952053e-06,1.8903794776673084e-06,1.6885083864014686e-06,1.7998662810678006e-06,2.0498938218017734e-06,4.983876362361207e-13
3400,0.2519627202361014,0.2519632814180558,0.25196277002118483,0.25196303629668504,0.2519631168507977,0.2704627879774799,2.7009580798037014e-06,2.362547605286938e-06,2.259966184225821e-06,2.5549873691991903e-06,2.807144819516917e-06,8.58442229455204e-13
3440,0.25196259460553433,0.2519633484393811,0.2519627872086574,0.25196294146514586,0.25196325310378365,0.2704627879775836,3.400562170987855e-06,3.0084321123110753e-06,3.1462917414367817e-06,3.5967703691853054e-06,3.737060683761964e-06,1.5220490071970216e-12
3480,0.25196245572064957,0.25196338920899974,0.25196286012631025,0.25196278271180345,0.2519634370541295,0.2704627879777593,4.246161493191233e-06,3.984999287969115e-06,4.462444457449998e-06,4.955379496417994e-06,4.8365100212270286e-06,2.7332509723834985e-12
3520,0.25196232315662126,0.251963374694735,0.2519630161739113,0.2519625447350667,0.2519636660605032,0.2704627879780752,5.371930341552071e-06,5.505438268791071e-06,6.303475837436603e-06,6.641227137693097e-06,6.11427711608906e-06,4.933879191304762e-12
3560,0.2519622302540325,0.2519632653041159,0.2519632860726758,0.2519622174193366,0.2519639257687944,0.2704627879786334,7.043273403292131e-06,7.791969736362912e-06,8.734541595916846e-06,8.649398235878952e-06,7.636816016612969e-06,8.858011610045008e-12
3600,0.25196222759582254,0.2519630112256506,0.25196369983621025,0.2519618020128254,0.2519641841451135,0.2704627879796241,9.64607560178654e-06,1.1035316933994091e-05,1.1784075368242904e-05,1.0985949880980813e-05,9.611245890352435e-06,1.5848515003195193e-11
3640,0.25196238546879446,0.2519625552273729,0.25196427978071484,0.25196131963836993,0.2519643846944354,0.2704627879813738,1.3605571426122758e-05,1.5373306450499156e-05,1.544717553689828e-05,1.3740075641265082e-05,1.2479037177576332e-05,2.8224982488906905e-11
3680,0.2519627939969004,0.2519618392102651,0.25196502978775004,0.2519608221126182,0.2519644396916418,0.2704627879844775,1.930140317513231e-05,2.0876511134031745e-05,1.9722416377532325e-05,1.7225427653570402e-05,1.692832771776205e-05,5.012566041606193e-11
3720,0.25196355911887824,0.2519608160102811,0.2519659202295019,0.2519604045343067,0.2519642248875677,0.2704627879899771,2.702057080463024e-05,2.754739689096262e-05,2.472364378351143e-05,2.2164123528451895e-05,2.3763708182200124e-05,8.889702045579526e-11
3760,0.25196479206330746,0.25195946797012814,0.2519668684419547,0.2519602183061188,0.2519635779659872,0.2704627879997253,3.6927753831875076e-05,3.536940899983265e-05,3.0915593322100426e-05,2.976385050432026e-05,3.3733995019960324e-05,1.5756126242733543e-10
3800,0.25196658955675716,0.25195783352377155,0.25196771549860586,0.25196048212962907,0.2519623039801745,0.2704627880170056,4.905417706059677e-05,4.4477772983427064e-05,3.945986728385274e-05,4.152839027009582e-05,4.7428287745347766e-05,2.7918752308701686e-10
3840,0.25196900185455984,0.25195604227701973,0.2519682014131111,0.2519614870470678,0.2519601919933915,0.2704627880476363,6.335953958094194e-05,5.554563605238561e-05,5.2443662523001805e-05,5.892389145905498e-05,6.521614299331826e-05,4.947002430597206e-10
3880,0.25197198604967486,0.25195435761747087,0.2519679428806277,0.2519635898478892,0.2519570480055238,0.2704627881019324,7.998606855339532e-05,7.040913993047654e-05,7.264096279636407e-05,8.314854415455078e-05,8.72125959711811e-05,8.768570073292853e-10
3920,0.2519753433103998,0.2519532235243388,0.25196642029698896,0.2519671872654351,0.25195274967795683,0.2704627881981761,9.987981088838611e-05,9.261401595237864e-05,0.00010289260247378334,0.0001150071732809675,0.00011334710865516331,1.55450843019124e-09
3960,0.25197864110654883,0.25195330877486927,0.2519629840077232,0.2519726616599479,0.25194732794805447,0.2704627883687685,0.00012588960958134746,0.0001272007940791274,0.00014560262693913528,0.00015482530455859341,0.00014373268315341075,2.754987920034365e-09
4000,0.2519811255263805,0.2519555370457389,0.2519568932961539,0.2519802878170245,0.25194107878737637,0.27046278867114876,0.0001639495775534688,0.0001796275104930426,0.00020248109778055984,0.0002025182814566392,0.0001796589914367241,4.880708061311477e-09
4040,0.25198163485571884,0.2519610855457175,0.2519474050236323,0.2519900908272019,0.2519347044045037,0.27046278920712674,0.0002230998600090829,0.0002547066577112589,0.0002743623630811281,0.0002581098903204651,0.0002254702080789958,8.650047071652575e-09
4080,0.2519785339462682,0.2519713281480451,0.25193393123833446,0.25200164776760053,0.25192947633779456,0.27046279015716074,0.0003137018323577296,0.0003560341152593925,0.0003612280135381546,0.0003232731170570111,0.00029091580682485957,1.5343679440612648e-08
4120,0.2519696995089347,0.2519876923257758,0.25191628518745635,0.2520138323596003,0.2519274023510003,0.27046279184112343,0.0004451949253934575,0.00048554817321620335,0.00046285712382436846,0.00040444271018952375,0.0003918798378412061,2.720479135431478e-08
4160,0.25195259878750825,0.25201139396882133,0.25189503121890355,0.25202451339823334,0.25193136424655604,0.2704627948259921,0.0006249179781157913,0.0006435279172430537,0.000581304543055578,0.0005174088194178936,0.0005477961536173915,4.8153792799895546e-08
4200,0.25192451677230987,0.25204301262597256,0.2518719437579019,0.25203023602761704,0.2519451745111076,0.2704628001167484,0.0008573238864710785,0.0008294466412176014,0.0007260334192863351,0.0006898765565246044,0.000777343647040299,8.522272370852054e-08
4240,0.2518829977834915,0.25208187507526286,0.25185056119766297,0.2520259410627233,0.25197347680305976,0.27046280949475887,0.0011436346109845773,0.0010455257382828477,0.0009220676324691088,0.0009578481608385792,0.0010956719045757274,1.5126340587726078e-07
4280,0.251826572067522,0.2521252315920552,0.2518367892910663,0.2520048119306521,0.25202139072302004,0.2704628261175431,0.0014826676742599693,0.0013049377747190562,0.0012163297540006062,0.0013572125819849227,0.0015125465943510825,2.6882633800132255e-07
4320,0.2517558315347702,0.25216724191747114,0.2518394628972587,0.2519583803396763,0.25209377909047676,0.2704628555819131,0.0018760095273589285,0.0016464047300912923,0.0016738917567753456,0.0019173088481270165,0.002031118936084459,4.754814669931927e-07
4360,0.2516748936909926,0.25219784215421637,0.25187071316844006,0.25187706703220253,0.2521940027928278,0.27046290780843574,0.0023423976152471765,0.002149727804390303,0.002364639827985312,0.002658662300383936,0.002649961532911494,8.371476101834254e-07
4400,0.2515932403263568,0.2522016444411196,0.2519459100408252,0.25175137612639087,0.2523220342741399,0.27046300038179044,0.0029414875408137406,0.002933244360863492,0.0033498414206688774,0.0035904490564040957,0.0033696271388011373,1.482721694703708e-06
