m,i,j,state_i,state_j,distance,distance_squared,temporal_neighbor
2,0,1,"(1, 1)","(i, -1)",2.449489742783178,5.999999999999999,True
2,0,2,"(1, 1)","(-1, 1)",2.0,4.0,False
2,0,3,"(1, 1)","(-i, -1)",2.449489742783178,5.999999999999999,True
2,1,2,"(i, -1)","(-1, 1)",2.449489742783178,5.999999999999999,True
2,1,3,"(i, -1)","(-i, -1)",2.0,4.0,False
2,2,3,"(-1, 1)","(-i, -1)",2.449489742783178,5.999999999999999,True
