order,coefficient
2,1.000000000029439
4,0.8041666605844786
6,0.6098549919525472
8,0.4551368431790166
10,0.3401289039026699
12,0.24796848268928373
14,0.24720324850280329
16,-0.045153506686513196
18,0.27707646927190693
20,0.47975551643849274
