t,H,Q2_re,Q2_im,generator_norm,antisym_residual
0,np.float64(516.5141941810191),np.float64(-45.986052699822395),np.float64(51.47572596484038),np.float64(42.54954288168407),np.float64(4.440892098500626e-16)
1,np.float64(516.5141941810193),np.float64(-45.98605269982215),np.float64(51.47572596484032),np.float64(44.0476202622188),np.float64(8.881784197001252e-16)
2,np.float64(516.5141941810188),np.float64(-45.98605269982173),np.float64(51.475725964840485),np.float64(69.19703224507182),np.float64(1.7763568394002505e-15)
3,np.float64(516.5141941810166),np.float64(-45.98605269982113),np.float64(51.47572596484083),np.float64(118.00939683094747),np.float64(3.552713678800501e-15)
4,np.float64(516.5141941810175),np.float64(-45.98605269981981),np.float64(51.47572596484247),np.float64(170.27426227435672),np.float64(7.105427357601002e-15)
5,np.float64(516.5141941810169),np.float64(-45.986052699819595),np.float64(51.47572596484269),np.float64(197.05763465206394),np.float64(1.4210854715202004e-14)
6,np.float64(516.514194181017),np.float64(-45.98605269981941),np.float64(51.47572596484322),np.float64(217.2848766706396),np.float64(7.105427357601002e-15)
7,np.float64(516.5141941810155),np.float64(-45.98605269981906),np.float64(51.47572596484282),np.float64(223.70131549045323),np.float64(7.105427357601002e-15)
8,np.float64(516.5141941810158),np.float64(-45.98605269981918),np.float64(51.47572596484255),np.float64(229.41645671044063),np.float64(3.552713678800501e-15)
9,np.float64(516.5141941810159),np.float64(-45.98605269981927),np.float64(51.47572596484278),np.float64(237.85391252808924),np.float64(7.105427357601002e-15)
10,np.float64(516.5141941810178),np.float64(-45.98605269981894),np.float64(51.47572596484311),np.float64(238.80486656272473),np.float64(7.105427357601002e-15)
11,np.float64(516.5141941810175),np.float64(-45.986052699818785),np.float64(51.475725964842525),np.float64(248.12947575984768),np.float64(1.4210854715202004e-14)
12,np.float64(516.5141941810167),np.float64(-45.986052699819844),np.float64(51.47572596484187),np.float64(250.16123026662626),np.float64(1.4210854715202004e-14)
13,np.float64(516.5141941810159),np.float64(-45.98605269982144),np.float64(51.47572596484113),np.float64(252.11472394962587),np.float64(1.4210854715202004e-14)
14,np.float64(516.5141941810172),np.float64(-45.986052699821215),np.float64(51.47572596484079),np.float64(252.261649057882),np.float64(7.105427357601002e-15)
15,np.float64(516.5141941810163),np.float64(-45.986052699821386),np.float64(51.4757259648408),np.float64(252.41960292628147),np.float64(1.4210854715202004e-14)
16,np.float64(516.5141941810161),np.float64(-45.986052699821514),np.float64(51.47572596484092),np.float64(252.63236232967742),np.float64(1.4210854715202004e-14)
17,np.float64(516.5141941810178),np.float64(-45.986052699821556),np.float64(51.475725964841345),np.float64(252.85277079289992),np.float64(1.4210854715202004e-14)
