resolution,base_wavelength_multiple,base_wavelength,harmonic_wavelength_multiple,harmonic_wavelength,harmonic_order,parity
9,3,3lambda0,1,1lambda0,3,奇数
9,9,9lambda0,1,1lambda0,9,奇数
9,9,9lambda0,3,3lambda0,3,奇数
