wave_id,resolution,base_wave,harmonics,phase_composition,reflection_fraction,reflection_value,theta_over_pi,finite_order_lock,real_rotation_period,closure_address,conjugate_address,charge_magnitude,particle_antiparticle,conjugate_direction_count,winding_cover_spin
N9-W0001,9,1lambda0(0deg),なし,base:0deg,0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,内部倍音なし（スピン型未分類）
N9-W0002,9,1lambda0(180deg),なし,base:180deg,0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,内部倍音なし（スピン型未分類）
N9-W0003,9,3lambda0(0deg),なし,base:0deg,0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,内部倍音なし（スピン型未分類）
N9-W0004,9,3lambda0(0deg),1lambda0(0deg);order=3,"base:0deg, order3:0deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N9-W0005,9,3lambda0(0deg),1lambda0(180deg);order=3,"base:0deg, order3:180deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N9-W0006,9,3lambda0(180deg),なし,base:180deg,0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,内部倍音なし（スピン型未分類）
N9-W0007,9,3lambda0(180deg),1lambda0(0deg);order=3,"base:180deg, order3:0deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N9-W0008,9,3lambda0(180deg),1lambda0(180deg);order=3,"base:180deg, order3:180deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N9-W0009,9,9lambda0(0deg),なし,base:0deg,0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,内部倍音なし（スピン型未分類）
N9-W0010,9,9lambda0(0deg),3lambda0(0deg);order=3,"base:0deg, order3:0deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N9-W0011,9,9lambda0(0deg),3lambda0(180deg);order=3,"base:0deg, order3:180deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N9-W0012,9,9lambda0(0deg),1lambda0(0deg);order=9,"base:0deg, order9:0deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N9-W0013,9,9lambda0(0deg),1lambda0(0deg);order=9+3lambda0(0deg);order=3,"base:0deg, order9:0deg, order3:0deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N9-W0014,9,9lambda0(0deg),1lambda0(0deg);order=9+3lambda0(180deg);order=3,"base:0deg, order9:0deg, order3:180deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N9-W0015,9,9lambda0(0deg),1lambda0(180deg);order=9,"base:0deg, order9:180deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N9-W0016,9,9lambda0(0deg),1lambda0(180deg);order=9+3lambda0(0deg);order=3,"base:0deg, order9:180deg, order3:0deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N9-W0017,9,9lambda0(0deg),1lambda0(180deg);order=9+3lambda0(180deg);order=3,"base:0deg, order9:180deg, order3:180deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N9-W0018,9,9lambda0(180deg),なし,base:180deg,0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,内部倍音なし（スピン型未分類）
N9-W0019,9,9lambda0(180deg),3lambda0(0deg);order=3,"base:180deg, order3:0deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N9-W0020,9,9lambda0(180deg),3lambda0(180deg);order=3,"base:180deg, order3:180deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N9-W0021,9,9lambda0(180deg),1lambda0(0deg);order=9,"base:180deg, order9:0deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N9-W0022,9,9lambda0(180deg),1lambda0(0deg);order=9+3lambda0(0deg);order=3,"base:180deg, order9:0deg, order3:0deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N9-W0023,9,9lambda0(180deg),1lambda0(0deg);order=9+3lambda0(180deg);order=3,"base:180deg, order9:0deg, order3:180deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
