R,phi,phi_over_pi,s0,stability_gain,condition_id,phase,S_mean,S_amp,S_max_abs,S_final,S_drift,Q_max_error,Q_tail_max_error,gray_error,gray_depth
0.683,0.0,0.0,0.0,-0.002,phi0_s0_g-0.002,gray_eigen,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.27,0.5686362358410126
0.683,0.0,0.0,0.0,0.0,phi0_s0_g0,gray_eigen,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.27,0.5686362358410126
0.683,0.0,0.0,0.0,0.002,phi0_s0_g0.002,gray_eigen,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.27,0.5686362358410126
0.683,0.0,0.0,0.001,-0.002,phi0_s0.001_g-0.002,gray_metastable,9.799620008470734e-08,0.0002532853072891305,0.00025569277678078034,-4.389190342124483e-06,9.463450068776418e-08,4.440892098500626e-16,4.440892098500626e-16,0.019746907323411642,1.7045009120653176
0.683,0.0,0.0,0.001,0.0,phi0_s0.001_g0,gray_metastable,8.593009907405602e-08,0.001999998246059037,0.0019999990553429825,-0.0002640518187165264,3.75230435321915e-08,4.440892098500626e-16,4.440892098500626e-16,0.01800012520708357,1.7447244739768957
0.683,0.0,0.0,0.001,0.002,phi0_s0.001_g0.002,large_oscillation,-3.941213832422593e-05,0.11700831316949505,0.11725682430333106,-0.015834017532012686,3.432840462422295e-05,4.440892098500626e-16,4.440892098500626e-16,0.5970820537124435,0.2239659820601991
0.683,0.0,0.0,0.01,-0.002,phi0_s0.01_g-0.002,gray_metastable,9.801528822014716e-07,0.002533347729366753,0.0025574270207691092,-4.390061376807752e-05,9.465261841818175e-07,6.661338147750939e-16,4.440892098500626e-16,0.01746857894969963,1.7577424229738923
0.683,0.0,0.0,0.01,0.0,phi0_s0.01_g0,gray_metastable,8.593009907454126e-07,0.01999998246057602,0.019999990553422387,-0.002640518187096208,3.7523043544542603e-07,4.440892098500626e-16,4.440892098500626e-16,1.252070850170007e-06,5.902371095273127
0.683,0.0,0.0,0.01,0.002,phi0_s0.01_g0.002,large_oscillation,-0.00023183184486127916,0.7614890027686623,0.7616136257510328,-0.10234106644214849,7.284264029771962e-05,6.661338147750939e-16,6.661338147750939e-16,1.2417936772538214,-0.0940494442514957
0.683,0.2617993877991494,0.08333333333333333,0.0,-0.002,phi0.0833333_s0_g-0.002,gray_metastable,-9.278051267009782e-07,0.03411726336529031,0.034355442471913966,0.004396739387800275,1.1756957905954767e-05,6.661338147750939e-16,4.440892098500626e-16,0.014129948128322961,1.8498594324631508
