step,H_total,abs_ZtZ,sum_a2,sum_b2,sum_ab,r2_min,r2_max,simplex_rank
0,1.0,6.087272963323595e-16,0.4999999999999999,0.5000000000000002,-2.1163626406917047e-16,0.005954467098908379,0.011579333975397831,15
1,1.0,5.197342703367388e-16,0.4999999999999999,0.5000000000000002,-2.0469737016526324e-16,0.005954467098908774,0.011579333975397855,15
2,1.0,5.304624415895319e-16,0.4999999999999999,0.5000000000000002,-1.942890293094024e-16,0.005954467098909004,0.01157933397539792,15
3,1.0000000000000002,6.016565217046462e-16,0.4999999999999998,0.5000000000000002,-2.0643209364124004e-16,0.005954467098909145,0.011579333975398,15
4,1.0000000000000002,4.535829210951031e-16,0.4999999999999999,0.5000000000000002,-2.0122792321330962e-16,0.005954467098909242,0.011579333975398079,15
5,1.0,5.27766632335736e-16,0.4999999999999999,0.5000000000000002,-2.0122792321330962e-16,0.005954467098909316,0.011579333975398148,15
6,1.0,5.468205015617747e-16,0.5,0.5000000000000002,-2.1684043449710089e-16,0.005954467098909385,0.011579333975398232,15
7,1.0000000000000002,5.923820329225954e-16,0.4999999999999999,0.5000000000000003,-1.8735013540549517e-16,0.005954467098909453,0.01157933397539835,15
8,1.0000000000000002,6.093208492622208e-16,0.49999999999999994,0.5000000000000003,-2.0469737016526324e-16,0.0059544670989095305,0.011579333975398516,15
9,1.0000000000000002,5.855456244815921e-16,0.4999999999999999,0.5000000000000003,-1.8041124150158794e-16,0.005954467098909613,0.011579333975398743,15
10,1.0000000000000002,5.644439396877767e-16,0.4999999999999999,0.5000000000000003,-2.0816681711721685e-16,0.005954467098909705,0.011579333975399033,15
11,1.0000000000000004,7.130620887274702e-16,0.4999999999999999,0.5000000000000003,-2.2724877535296173e-16,0.005954467098909827,0.011579333975399394,15
12,1.0000000000000002,6.15892798796364e-16,0.4999999999999999,0.5000000000000003,-2.0816681711721685e-16,0.005954467098909994,0.011579333975399857,15
13,1.0000000000000004,5.69084490397398e-16,0.49999999999999994,0.5000000000000003,-2.3071822230491534e-16,0.005954467098910218,0.011579333975400435,15
