axis,log_growth_rate_per_step,fit_start,fit_end,fit_count,initial,final,max
1,0.2360290878765796,37,104,68,3.149374620925096e-17,0.11716302504787353,0.11726365898417014
2,0.23601833184444582,37,105,69,3.0037597185371356e-17,0.11230157680592485,0.11238857551381803
3,0.24071632531942397,47,113,67,2.85479539965897e-17,0.0913448741062204,0.09682315806720024
4,0.24061616957416557,47,113,67,2.656395985074975e-17,0.08403343059397014,0.08845443176061386
5,0.23695711395169794,50,117,68,2.4305569967662228e-17,0.05694841233010464,0.0585492724750671
6,0.23942877329728132,51,117,67,2.3387362950459012e-17,0.05278515861183484,0.052785158611835054
7,0.2372719888394891,51,118,68,1.9179430785274974e-17,0.049266087288248765,0.0493565349834644
8,0.23660791371769027,53,121,69,1.8477101394837954e-17,0.0431173263732375,0.04314330652669427
9,0.23718949611158668,54,121,68,1.7161688590969055e-17,0.03863995145485292,0.038724859958257245
10,0.23743821602550594,54,121,68,1.5715288574248715e-17,0.029735981728566917,0.029765967862311636
11,0.2363589149339661,55,122,68,1.3663220604671588e-17,0.026978997579491442,0.027529687491680662
12,0.23623559096057614,55,123,69,1.3057316519502886e-17,0.021832901594784224,0.022866119011778176
13,0.23740276613055095,57,124,68,1.2430247300883323e-17,0.0140807041097857,0.016058585244497
14,0.2350938466035084,57,126,70,7.549143229184565e-18,0.01147867412106063,0.01239189218094924
15,0.23581893258492148,61,128,68,6.2224857677529806e-18,0.010427912443192308,0.011680987496009768
