phase,case,step,Q_raw_abs,Q_closed_abs,Q_reduction_ratio,closure_operation
phase0_no_coupling,no_coupling,0,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,1,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,2,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,3,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,4,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,5,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,6,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,7,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,8,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,9,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,10,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,11,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,12,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,13,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,14,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,15,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,16,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,17,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,18,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,19,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,20,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,21,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,22,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,23,0.0,0.0,inf,none
phase0_no_coupling,no_coupling,24,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,0,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,1,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,2,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,3,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,4,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,5,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,6,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,7,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,8,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,9,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,10,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,11,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,12,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,13,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,14,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,15,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,16,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,17,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,18,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,19,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,20,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,21,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,22,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,23,0.0,0.0,inf,none
phase1_readout_only,readout_no_feedback,24,0.0,0.0,inf,none
