phase,case,step,particle,chi_mean,delta_chi_mean,delta_chi_std,R_mean,R_std,gauge_count,v_chi_read,a_chi_read
phase0_no_coupling,no_coupling,0,A,-0.25,0.0,0.0,1.0277777777777777,0.07856742013183862,9,0.0,0.0
phase0_no_coupling,no_coupling,0,B,0.25,0.0,0.0,1.6059027777777777,0.12276159395599782,9,0.0,0.0
phase0_no_coupling,no_coupling,0,C,-6.532797163132487e-19,0.0,0.0,102.77777777777777,7.856742013183861,9,0.0,0.0
phase0_no_coupling,no_coupling,1,A,-0.25,0.0,0.0,1.0277777777777777,0.07856742013183862,9,0.0,0.0
phase0_no_coupling,no_coupling,1,B,0.25,0.0,0.0,1.6059027777777777,0.12276159395599782,9,0.0,0.0
phase0_no_coupling,no_coupling,1,C,-6.532797163132487e-19,0.0,0.0,102.77777777777777,7.856742013183861,9,0.0,0.0
phase0_no_coupling,no_coupling,2,A,-0.25,0.0,0.0,1.0277777777777777,0.07856742013183862,9,0.0,0.0
phase0_no_coupling,no_coupling,2,B,0.25,0.0,0.0,1.6059027777777777,0.12276159395599782,9,0.0,0.0
phase0_no_coupling,no_coupling,2,C,-6.532797163132487e-19,0.0,0.0,102.77777777777777,7.856742013183861,9,0.0,0.0
phase0_no_coupling,no_coupling,3,A,-0.25,0.0,0.0,1.0277777777777777,0.07856742013183862,9,0.0,0.0
phase0_no_coupling,no_coupling,3,B,0.25,0.0,0.0,1.6059027777777777,0.12276159395599782,9,0.0,0.0
phase0_no_coupling,no_coupling,3,C,-6.532797163132487e-19,0.0,0.0,102.77777777777777,7.856742013183861,9,0.0,0.0
phase0_no_coupling,no_coupling,4,A,-0.25,0.0,0.0,1.0277777777777777,0.07856742013183862,9,0.0,0.0
phase0_no_coupling,no_coupling,4,B,0.25,0.0,0.0,1.6059027777777777,0.12276159395599782,9,0.0,0.0
phase0_no_coupling,no_coupling,4,C,-6.532797163132487e-19,0.0,0.0,102.77777777777777,7.856742013183861,9,0.0,0.0
phase0_no_coupling,no_coupling,5,A,-0.25,0.0,0.0,1.0277777777777777,0.07856742013183862,9,0.0,0.0
phase0_no_coupling,no_coupling,5,B,0.25,0.0,0.0,1.6059027777777777,0.12276159395599782,9,0.0,0.0
phase0_no_coupling,no_coupling,5,C,-6.532797163132487e-19,0.0,0.0,102.77777777777777,7.856742013183861,9,0.0,0.0
phase0_no_coupling,no_coupling,6,A,-0.25,0.0,0.0,1.0277777777777777,0.07856742013183862,9,0.0,0.0
phase0_no_coupling,no_coupling,6,B,0.25,0.0,0.0,1.6059027777777777,0.12276159395599782,9,0.0,0.0
phase0_no_coupling,no_coupling,6,C,-6.532797163132487e-19,0.0,0.0,102.77777777777777,7.856742013183861,9,0.0,0.0
phase0_no_coupling,no_coupling,7,A,-0.25,0.0,0.0,1.0277777777777777,0.07856742013183862,9,0.0,0.0
phase0_no_coupling,no_coupling,7,B,0.25,0.0,0.0,1.6059027777777777,0.12276159395599782,9,0.0,0.0
phase0_no_coupling,no_coupling,7,C,-6.532797163132487e-19,0.0,0.0,102.77777777777777,7.856742013183861,9,0.0,0.0
phase0_no_coupling,no_coupling,8,A,-0.25,0.0,0.0,1.0277777777777777,0.07856742013183862,9,0.0,0.0
phase0_no_coupling,no_coupling,8,B,0.25,0.0,0.0,1.6059027777777777,0.12276159395599782,9,0.0,0.0
phase0_no_coupling,no_coupling,8,C,-6.532797163132487e-19,0.0,0.0,102.77777777777777,7.856742013183861,9,0.0,0.0
phase0_no_coupling,no_coupling,9,A,-0.25,0.0,0.0,1.0277777777777777,0.07856742013183862,9,0.0,0.0
phase0_no_coupling,no_coupling,9,B,0.25,0.0,0.0,1.6059027777777777,0.12276159395599782,9,0.0,0.0
phase0_no_coupling,no_coupling,9,C,-6.532797163132487e-19,0.0,0.0,102.77777777777777,7.856742013183861,9,0.0,0.0
phase0_no_coupling,no_coupling,10,A,-0.25,0.0,0.0,1.0277777777777777,0.07856742013183862,9,0.0,0.0
phase0_no_coupling,no_coupling,10,B,0.25,0.0,0.0,1.6059027777777777,0.12276159395599782,9,0.0,0.0
phase0_no_coupling,no_coupling,10,C,-6.532797163132487e-19,0.0,0.0,102.77777777777777,7.856742013183861,9,0.0,0.0
phase0_no_coupling,no_coupling,11,A,-0.25,0.0,0.0,1.0277777777777777,0.07856742013183862,9,0.0,0.0
phase0_no_coupling,no_coupling,11,B,0.25,0.0,0.0,1.6059027777777777,0.12276159395599782,9,0.0,0.0
phase0_no_coupling,no_coupling,11,C,-6.532797163132487e-19,0.0,0.0,102.77777777777777,7.856742013183861,9,0.0,0.0
