phase,case,k_max,step,center_error_max,center_error_mean,center_error_std,gauge_count
c_baseline_stability,kmax_1,1,0,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,1,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,2,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,3,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,4,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,5,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,6,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,7,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,8,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,9,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,10,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,11,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,12,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,13,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,14,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,15,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,16,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,17,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,18,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,19,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,20,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,21,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,22,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,23,0.0,0.0,0.0,9
c_baseline_stability,kmax_1,1,24,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,0,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,1,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,2,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,3,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,4,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,5,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,6,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,7,0.0,0.0,0.0,9
c_baseline_stability,kmax_3,3,8,0.0,0.0,0.0,9
