N,M,k,best_residual,edges
16,120,2,6.9161038094521119e-05,"11-14;13-15;"
16,120,3,0.0023746873158706247,"1-7;3-10;4-13;"
16,120,4,2.6610472143441789e-05,"1-10;3-15;5-6;5-10;"
