N,M,k,best_residual,edges
14,91,2,2.3258452090910955e-05,"5-13;7-12;"
14,91,3,0.0025238368703589856,"1-10;3-6;4-10;"
14,91,4,3.4708677726149635e-05,"2-5;3-7;5-11;5-12;"
