N,M,k,best_residual,edges
16,120,2,6.9161038094467492e-05,"11-14;13-15"
16,120,3,0.0023746873158704651,"1-7;3-10;4-13"
16,120,4,2.6610472143441789e-05,"1-10;3-15;5-6;5-10"
16,120,5,4.1548854823988486e-05,"5-14;9-11;10-11;12-16;15-16"
16,120,6,7.0178747041151727e-06,"1-2;2-6;3-8;6-12;7-15;8-14"
16,120,7,1.0941242820552647e-05,"1-8;1-14;2-4;4-9;5-8;10-13;12-15"
16,120,8,1.2292973218251441e-05,"1-7;5-10;5-12;6-14;7-12;8-13;9-10;12-15"
16,120,9,4.6928072857004271e-06,"1-2;1-9;4-9;4-16;5-15;6-12;6-14;8-14;8-16"
16,120,10,9.8375381804555981e-06,"1-2;1-14;1-16;3-6;4-8;6-9;6-14;11-12;12-16;13-16"
16,120,11,8.2927866072783416e-06,"2-8;3-10;4-10;5-9;5-14;6-13;6-14;7-8;8-11;8-16;10-14"
16,120,12,7.9365139912402946e-06,"2-9;2-14;5-7;5-10;5-14;6-14;7-10;8-10;8-12;10-11;10-15;11-16"
16,120,13,4.7303424969003099e-06,"1-2;1-5;1-14;2-7;3-7;4-6;5-6;5-8;5-10;6-11;7-13;10-16;12-13"
16,120,14,2.7824191595475674e-06,"2-5;2-9;2-15;3-13;3-14;3-16;4-9;4-13;5-6;5-7;6-15;7-8;8-16;12-14"
