N,M,k,best_residual,edges
14,91,2,2.3258452090842416e-05,"5-13;7-12"
14,91,3,0.0025238368703588555,"1-10;3-6;4-10"
14,91,4,3.4708677726149628e-05,"2-5;3-7;5-11;5-12"
14,91,5,0.00010776721575234827,"2-6;4-14;5-7;6-9;7-13"
14,91,6,9.7683304802038941e-06,"1-4;3-7;3-14;4-10;5-10;5-14"
14,91,7,2.5913668166852651e-06,"2-6;4-5;5-7;6-9;7-13;7-14;10-13"
14,91,8,1.5249374997499337e-05,"1-6;4-11;4-12;5-14;6-11;7-11;9-12;11-12"
14,91,9,8.0496416384573796e-06,"1-2;2-4;2-7;4-12;8-9;8-12;9-12;10-11;10-13"
14,91,10,5.067365466637836e-06,"1-13;1-14;2-4;2-8;3-5;3-12;4-11;7-13;8-10;9-13"
14,91,11,4.5823915466994053e-06,"1-14;2-10;4-5;5-11;5-12;5-14;6-13;9-12;10-11;11-14;12-14"
14,91,12,2.2782553061856566e-06,"1-8;1-14;2-3;3-7;3-9;3-14;4-7;5-10;6-7;6-9;10-14;11-13"
