N,M,k,best_residual,edges,runtime_s
14,91,5,0.00010776721575247395,2-6;4-14;5-7;6-9;7-13,0.42095375061035156
14,91,6,1.693377278034756e-06,1-8;3-4;3-9;6-9;9-12;11-14,10.218204975128174
