N,M,k,best_residual,edges
15,105,2,0.00024903564798681318,"3-12;7-11;"
15,105,3,0.0026649381245239358,"1-12;7-8;7-13;"
15,105,4,1.7260455893129604e-05,"1-3;3-12;4-11;7-11;"
