N,M,k,best_residual,edges,runtime_s
15,105,5,5.437311661576722e-05,1-10;2-12;3-15;5-13;6-10,0.5600190162658691
15,105,6,2.0066935942937405e-06,1-11;1-13;5-7;5-15;8-15;13-15,14.501978874206543
