case_id,initial_deviation_deg,protocol,readout_mode,active_readout,step_count,D_AB_near_min_deg,D_AB_near_max_deg,V_AB_min,V_AB_max,envelope_V_AB_initial,envelope_V_AB_final,envelope_ratio_final_over_initial,decay_rate_V_AB,internal_sign_change_count,oscillation_detected,max_Q_raw_abs,max_Q_closed_abs,max_f_AB_projection_consistency_error,absolute_background_axis_used,f_A_or_f_B_used
near_pi_02deg,2.0,Protocol_F,readout_off,False,720,178.0,180.0,2.5268632008768264e-37,0.0012184696791468343,0.0012184696791468343,0.001218469679146783,0.999999999999958,-6.490828430734141e-17,15,True,0.0,0.0,6.3696877633523385e-18,False,False
near_pi_02deg,2.0,Protocol_F,readout_weak,True,720,178.0,180.0,1.6986282211047736e-34,0.0012184696791468343,0.0012184696791468343,0.0012010493560155636,0.9857031131513521,-2.000010000066054e-05,15,True,1.2184696791468344e-08,0.0,4.5649268955116595e-08,False,False
near_pi_02deg,2.0,Protocol_F,readout_normal,True,720,178.0,180.0,1.0713904058243987e-35,0.0012184696791468343,0.0012184696791468343,0.0011338216411063498,0.9305292208011655,-0.00010000250008349211,15,True,6.092348395734172e-08,0.0,2.2803188765711786e-07,False,False
near_pi_02deg,2.0,Protocol_F,readout_strong,True,720,178.0,180.0,1.3752870850202487e-36,0.0012184696791468343,0.0012184696791468343,0.0009135354530236129,0.749739996536693,-0.00040004000533413277,15,True,2.4369393582936687e-07,0.0,9.08917564948481e-07,False,False
near_pi_02deg,2.0,Protocol_B,readout_off,False,720,178.0,180.0,2.5268632008768264e-37,0.0012184696791468343,0.0012184696791468343,0.001218469679146783,0.999999999999958,-6.490828430734141e-17,15,True,0.0,0.0,6.3696877633523385e-18,False,False
near_pi_02deg,2.0,Protocol_B,readout_weak,True,720,178.0,180.0,1.6986282211047736e-34,0.0012184696791468343,0.0012184696791468343,0.0012010493560155636,0.9857031131513521,-2.000010000066054e-05,15,True,1.2184696791468344e-08,0.0,4.5649268955116595e-08,False,False
near_pi_02deg,2.0,Protocol_B,readout_normal,True,720,178.0,180.0,1.0713904058243987e-35,0.0012184696791468343,0.0012184696791468343,0.0011338216411063498,0.9305292208011655,-0.00010000250008349211,15,True,6.092348395734172e-08,0.0,2.2803188765711786e-07,False,False
near_pi_02deg,2.0,Protocol_B,readout_strong,True,720,178.0,180.0,1.3752870850202487e-36,0.0012184696791468343,0.0012184696791468343,0.0009135354530236129,0.749739996536693,-0.00040004000533413277,15,True,2.4369393582936687e-07,0.0,9.08917564948481e-07,False,False
near_pi_05deg,5.0,Protocol_F,readout_off,False,720,175.0,180.0,5.94131925593816e-36,0.007615435494667714,0.007615435494667714,0.007615435494667424,0.9999999999999618,-5.4726592651287856e-17,15,True,0.0,0.0,1.3552527156068805e-17,False,False
near_pi_05deg,5.0,Protocol_F,readout_weak,True,720,175.0,180.0,1.776081683839103e-34,0.007615435494667714,0.007615435494667714,0.007506558475097262,0.9857031131513506,-2.0000100000659265e-05,15,True,7.615435494667714e-08,0.0,1.1412317238787395e-07,False,False
near_pi_05deg,5.0,Protocol_F,readout_normal,True,720,175.0,180.0,3.117007397755281e-36,0.007615435494667714,0.007615435494667714,0.007086385256914705,0.930529220801168,-0.0001000025000834883,15,True,3.807717747333857e-07,0.0,5.700797191419549e-07,False,False
near_pi_05deg,5.0,Protocol_F,readout_strong,True,720,175.0,180.0,1.0063983389610506e-37,0.007615435494667714,0.007615435494667714,0.005709596581397575,0.7497399965366922,-0.00040004000533413336,15,True,1.5230870989335428e-06,0.0,2.2722939123712136e-06,False,False
near_pi_05deg,5.0,Protocol_B,readout_off,False,720,175.0,180.0,5.94131925593816e-36,0.007615435494667714,0.007615435494667714,0.007615435494667424,0.9999999999999618,-5.4726592651287856e-17,15,True,0.0,0.0,1.3552527156068805e-17,False,False
near_pi_05deg,5.0,Protocol_B,readout_weak,True,720,175.0,180.0,1.776081683839103e-34,0.007615435494667714,0.007615435494667714,0.007506558475097262,0.9857031131513506,-2.0000100000659265e-05,15,True,7.615435494667714e-08,0.0,1.1412317238787395e-07,False,False
near_pi_05deg,5.0,Protocol_B,readout_normal,True,720,175.0,180.0,3.117007397755281e-36,0.007615435494667714,0.007615435494667714,0.007086385256914705,0.930529220801168,-0.0001000025000834883,15,True,3.807717747333857e-07,0.0,5.700797191419549e-07,False,False
near_pi_05deg,5.0,Protocol_B,readout_strong,True,720,175.0,180.0,1.0063983389610506e-37,0.007615435494667714,0.007615435494667714,0.005709596581397575,0.7497399965366922,-0.00040004000533413336,15,True,1.5230870989335428e-06,0.0,2.2722939123712136e-06,False,False
near_pi_10deg,10.0,Protocol_F,readout_off,False,720,170.0,180.0,2.376527702375264e-35,0.030461741978670857,0.030461741978670857,0.030461741978669694,0.9999999999999618,-5.599930410829456e-17,15,True,0.0,0.0,2.710505431213761e-17,False,False
near_pi_10deg,10.0,Protocol_F,readout_weak,True,720,170.0,180.0,7.104326735356412e-34,0.030461741978670857,0.030461741978670857,0.030026233900389047,0.9857031131513506,-2.0000100000659265e-05,15,True,3.046174197867086e-07,0.0,2.282463447757479e-07,False,False
near_pi_10deg,10.0,Protocol_F,readout_normal,True,720,170.0,180.0,1.2468029591021123e-35,0.030461741978670857,0.030461741978670857,0.02834554102765882,0.930529220801168,-0.00010000250008349021,15,True,1.5230870989335428e-06,0.0,1.1401594382839097e-06,False,False
near_pi_10deg,10.0,Protocol_F,readout_strong,True,720,170.0,180.0,4.025593355844202e-37,0.030461741978670857,0.030461741978670857,0.0228383863255903,0.7497399965366922,-0.0004000400053341308,15,True,6.092348395734171e-06,0.0,4.544587824742427e-06,False,False
near_pi_10deg,10.0,Protocol_B,readout_off,False,720,170.0,180.0,2.376527702375264e-35,0.030461741978670857,0.030461741978670857,0.030461741978669694,0.9999999999999618,-5.599930410829456e-17,15,True,0.0,0.0,2.710505431213761e-17,False,False
near_pi_10deg,10.0,Protocol_B,readout_weak,True,720,170.0,180.0,7.104326735356412e-34,0.030461741978670857,0.030461741978670857,0.030026233900389047,0.9857031131513506,-2.0000100000659265e-05,15,True,3.046174197867086e-07,0.0,2.282463447757479e-07,False,False
near_pi_10deg,10.0,Protocol_B,readout_normal,True,720,170.0,180.0,1.2468029591021123e-35,0.030461741978670857,0.030461741978670857,0.02834554102765882,0.930529220801168,-0.00010000250008349021,15,True,1.5230870989335428e-06,0.0,1.1401594382839097e-06,False,False
near_pi_10deg,10.0,Protocol_B,readout_strong,True,720,170.0,180.0,4.025593355844202e-37,0.030461741978670857,0.030461741978670857,0.0228383863255903,0.7497399965366922,-0.0004000400053341308,15,True,6.092348395734171e-06,0.0,4.544587824742427e-06,False,False
near_pi_20deg,20.0,Protocol_F,readout_off,False,720,160.0,180.0,9.506110809501057e-35,0.12184696791468343,0.12184696791468343,0.12184696791467878,0.9999999999999618,-5.377205905853284e-17,15,True,0.0,0.0,5.421010862427522e-17,False,False
near_pi_20deg,20.0,Protocol_F,readout_weak,True,720,160.0,180.0,2.8417306941425646e-33,0.12184696791468343,0.12184696791468343,0.12010493560155619,0.9857031131513506,-2.0000100000659265e-05,15,True,1.2184696791468343e-06,0.0,4.564926895514958e-07,False,False
near_pi_20deg,20.0,Protocol_F,readout_normal,True,720,160.0,180.0,4.987211836408449e-35,0.12184696791468343,0.12184696791468343,0.11338216411063529,0.930529220801168,-0.00010000250008348606,15,True,6.092348395734171e-06,0.0,2.2803188765678194e-06,False,False
near_pi_20deg,20.0,Protocol_F,readout_strong,True,720,160.0,180.0,1.610237342337681e-36,0.12184696791468343,0.12184696791468343,0.0913535453023612,0.7497399965366922,-0.0004000400053341305,15,True,2.4369393582936685e-05,0.0,9.089175649484855e-06,False,False
near_pi_20deg,20.0,Protocol_B,readout_off,False,720,160.0,180.0,9.506110809501057e-35,0.12184696791468343,0.12184696791468343,0.12184696791467878,0.9999999999999618,-5.377205905853284e-17,15,True,0.0,0.0,5.421010862427522e-17,False,False
near_pi_20deg,20.0,Protocol_B,readout_weak,True,720,160.0,180.0,2.8417306941425646e-33,0.12184696791468343,0.12184696791468343,0.12010493560155619,0.9857031131513506,-2.0000100000659265e-05,15,True,1.2184696791468343e-06,0.0,4.564926895514958e-07,False,False
near_pi_20deg,20.0,Protocol_B,readout_normal,True,720,160.0,180.0,4.987211836408449e-35,0.12184696791468343,0.12184696791468343,0.11338216411063529,0.930529220801168,-0.00010000250008348606,15,True,6.092348395734171e-06,0.0,2.2803188765678194e-06,False,False
