case_id,readout_mode,max_D_AB_near_protocol_diff,max_V_AB_protocol_diff,max_protocol_display_deviation_diff,label_free_protocol_degenerate
near_pi_02deg,readout_off,0.0,0.0,0.06981317007977304,True
near_pi_02deg,readout_weak,0.0,0.0,0.06977966763185316,True
near_pi_02deg,readout_normal,0.0,0.0,0.0696458151938699,True
near_pi_02deg,readout_strong,0.0,0.0,0.06914610397902922,True
near_pi_05deg,readout_off,0.0,0.0,0.1745329251994327,True
near_pi_05deg,readout_weak,0.0,0.0,0.1744491690796328,True
near_pi_05deg,readout_normal,0.0,0.0,0.1741145379846747,True
near_pi_05deg,readout_strong,0.0,0.0,0.17286525994757307,True
near_pi_10deg,readout_off,0.0,0.0,0.3490658503988654,True
near_pi_10deg,readout_weak,0.0,0.0,0.3488983381592656,True
near_pi_10deg,readout_normal,0.0,0.0,0.3482290759693494,True
near_pi_10deg,readout_strong,0.0,0.0,0.34573051989514614,True
near_pi_20deg,readout_off,0.0,0.0,0.6981317007977308,True
near_pi_20deg,readout_weak,0.0,0.0,0.6977966763185312,True
near_pi_20deg,readout_normal,0.0,0.0,0.6964581519386988,True
near_pi_20deg,readout_strong,0.0,0.0,0.6914610397902923,True
