t,H,Q2_re,Q2_im,generator_norm
56,np.float64(522.779451407584),np.float64(-42.3688047535272),np.float64(71.5893533459389),np.float64(22.886073599298744)
57,np.float64(522.7794514075821),np.float64(-42.368804753527506),np.float64(71.5893533459386),np.float64(22.879394559901304)
58,np.float64(522.7794514075833),np.float64(-42.36880475352739),np.float64(71.58935334593897),np.float64(22.86105539477864)
59,np.float64(522.7794514075846),np.float64(-42.36880475352697),np.float64(71.58935334593929),np.float64(22.863542458561763)
60,np.float64(522.779451407584),np.float64(-42.36880475352677),np.float64(71.589353345939),np.float64(22.883877482010966)
61,np.float64(522.7794514075854),np.float64(-42.368804753527044),np.float64(71.5893533459392),np.float64(22.885876231304913)
62,np.float64(522.7794514075844),np.float64(-42.36880475352671),np.float64(71.58935334593968),np.float64(22.862068298198558)
63,np.float64(522.7794514075854),np.float64(-42.36880475352647),np.float64(71.58935334594028),np.float64(22.833767471711624)
64,np.float64(522.7794514075858),np.float64(-42.36880475352648),np.float64(71.58935334594025),np.float64(22.830727898843413)
65,np.float64(522.7794514075865),np.float64(-42.36880475352661),np.float64(71.58935334594032),np.float64(22.86288148644642)
66,np.float64(522.7794514075872),np.float64(-42.36880475352638),np.float64(71.58935334594028),np.float64(22.898335156331424)
67,np.float64(522.7794514075877),np.float64(-42.368804753526305),np.float64(71.58935334594035),np.float64(22.90447055471277)
68,np.float64(522.7794514075883),np.float64(-42.36880475352628),np.float64(71.58935334594037),np.float64(22.878330081693818)
69,np.float64(522.7794514075896),np.float64(-42.368804753526206),np.float64(71.58935334594061),np.float64(22.849185759628593)
70,np.float64(522.77945140759),np.float64(-42.3688047535263),np.float64(71.58935334594054),np.float64(22.850491253090834)
71,np.float64(522.7794514075899),np.float64(-42.36880475352615),np.float64(71.58935334594037),np.float64(22.869845385896376)
72,np.float64(522.7794514075886),np.float64(-42.368804753526106),np.float64(71.58935334594044),np.float64(22.876790892485044)
73,np.float64(522.7794514075892),np.float64(-42.36880475352633),np.float64(71.5893533459407),np.float64(22.864634482936687)
74,np.float64(522.7794514075881),np.float64(-42.36880475352593),np.float64(71.58935334594081),np.float64(22.8551476203166)
75,np.float64(522.7794514075872),np.float64(-42.36880475352575),np.float64(71.58935334594099),np.float64(22.86584002560485)
76,np.float64(522.7794514075857),np.float64(-42.368804753525644),np.float64(71.5893533459408),np.float64(22.88662674150938)
77,np.float64(522.7794514075836),np.float64(-42.36880475352557),np.float64(71.58935334594048),np.float64(22.897154682914245)
78,np.float64(522.779451407584),np.float64(-42.3688047535254),np.float64(71.58935334594058),np.float64(22.883801427465546)
79,np.float64(522.7794514075833),np.float64(-42.36880475352545),np.float64(71.58935334594067),np.float64(22.851771649112244)
80,np.float64(522.7794514075833),np.float64(-42.36880475352519),np.float64(71.58935334594105),np.float64(22.83477197143652)
81,np.float64(522.7794514075821),np.float64(-42.36880475352497),np.float64(71.58935334594119),np.float64(22.85544997695939)
82,np.float64(522.7794514075846),np.float64(-42.3688047535258),np.float64(71.58935334594139),np.float64(22.88589386868852)
83,np.float64(522.7794514075852),np.float64(-42.36880475352547),np.float64(71.58935334594193),np.float64(22.891509870332182)
84,np.float64(522.7794514075855),np.float64(-42.36880475352565),np.float64(71.58935334594177),np.float64(22.87947281856512)
85,np.float64(522.779451407586),np.float64(-42.368804753525865),np.float64(71.58935334594156),np.float64(22.868813377786086)
86,np.float64(522.7794514075861),np.float64(-42.36880475352558),np.float64(71.58935334594172),np.float64(22.868776565810943)
87,np.float64(522.7794514075855),np.float64(-42.36880475352555),np.float64(71.58935334594167),np.float64(22.874810862018517)
88,np.float64(522.7794514075862),np.float64(-42.36880475352559),np.float64(71.58935334594184),np.float64(22.876514532107603)
89,np.float64(522.779451407587),np.float64(-42.36880475352536),np.float64(71.58935334594187),np.float64(22.86563941632091)
90,np.float64(522.7794514075857),np.float64(-42.36880475352534),np.float64(71.58935334594166),np.float64(22.849534441832688)
91,np.float64(522.7794514075867),np.float64(-42.368804753525154),np.float64(71.58935334594159),np.float64(22.854468344748536)
92,np.float64(522.7794514075861),np.float64(-42.368804753525055),np.float64(71.58935334594129),np.float64(22.88259505625)
93,np.float64(522.7794514075865),np.float64(-42.368804753525204),np.float64(71.58935334594139),np.float64(22.899789062864617)
94,np.float64(522.7794514075863),np.float64(-42.368804753525545),np.float64(71.58935334594119),np.float64(22.890868263024792)
95,np.float64(522.7794514075853),np.float64(-42.368804753525744),np.float64(71.58935334594098),np.float64(22.867895822633088)
96,np.float64(522.779451407585),np.float64(-42.36880475352588),np.float64(71.58935334594102),np.float64(22.85472149864109)
97,np.float64(522.779451407584),np.float64(-42.36880475352555),np.float64(71.58935334594148),np.float64(22.85803116897849)
98,np.float64(522.779451407584),np.float64(-42.36880475352538),np.float64(71.58935334594113),np.float64(22.868636456907534)
99,np.float64(522.7794514075865),np.float64(-42.368804753525694),np.float64(71.58935334594152),np.float64(22.87658379662592)
100,np.float64(522.7794514075864),np.float64(-42.36880475352559),np.float64(71.58935334594167),np.float64(22.874982931336476)
101,np.float64(522.779451407586),np.float64(-42.36880475352559),np.float64(71.58935334594163),np.float64(22.867994593066243)
102,np.float64(522.7794514075863),np.float64(-42.36880475352595),np.float64(71.58935334594142),np.float64(22.872872720228294)
103,np.float64(522.7794514075872),np.float64(-42.36880475352622),np.float64(71.58935334594162),np.float64(22.88772327486653)
104,np.float64(522.7794514075872),np.float64(-42.36880475352635),np.float64(71.58935334594145),np.float64(22.88867546709152)
105,np.float64(522.779451407588),np.float64(-42.368804753526405),np.float64(71.58935334594167),np.float64(22.868819390797707)
106,np.float64(522.7794514075882),np.float64(-42.36880475352652),np.float64(71.58935334594142),np.float64(22.85146262253929)
107,np.float64(522.7794514075882),np.float64(-42.36880475352666),np.float64(71.58935334594113),np.float64(22.852448363817512)
108,np.float64(522.7794514075892),np.float64(-42.36880475352662),np.float64(71.58935334594133),np.float64(22.868153515711313)
109,np.float64(522.7794514075872),np.float64(-42.368804753526135),np.float64(71.5893533459414),np.float64(22.882902656819418)
110,np.float64(522.7794514075874),np.float64(-42.368804753526064),np.float64(71.5893533459416),np.float64(22.889065970999617)
111,np.float64(522.779451407586),np.float64(-42.368804753525765),np.float64(71.58935334594126),np.float64(22.881428893673604)
112,np.float64(522.7794514075863),np.float64(-42.36880475352581),np.float64(71.58935334594135),np.float64(22.867155434395883)
113,np.float64(522.7794514075858),np.float64(-42.36880475352601),np.float64(71.58935334594096),np.float64(22.86707166889857)
114,np.float64(522.7794514075878),np.float64(-42.36880475352636),np.float64(71.58935334594108),np.float64(22.876007212991627)
115,np.float64(522.7794514075869),np.float64(-42.36880475352639),np.float64(71.58935334594086),np.float64(22.87342211505309)
116,np.float64(522.7794514075854),np.float64(-42.36880475352605),np.float64(71.58935334594086),np.float64(22.862744401497864)
117,np.float64(522.7794514075849),np.float64(-42.36880475352614),np.float64(71.58935334594078),np.float64(22.85871748539176)
118,np.float64(522.7794514075861),np.float64(-42.3688047535261),np.float64(71.58935334594094),np.float64(22.86961857035748)
119,np.float64(522.7794514075866),np.float64(-42.368804753525964),np.float64(71.58935334594078),np.float64(22.88254477687931)
