t,H,Q2_re,Q2_im,generator_norm,antisym_residual
0,np.float64(120.4088900845313),np.float64(120.4088900845313),np.float64(-4.887428066454903e-13),np.float64(4.0164288149429895e-14),np.float64(1.5777218104420236e-30)
1,np.float64(120.40889008453128),np.float64(120.4088900845313),np.float64(-4.655978784502157e-13),np.float64(4.5375980252336575e-14),np.float64(2.3665827156630354e-30)
2,np.float64(120.40889008453165),np.float64(120.40889008453163),np.float64(-4.536266187089514e-13),np.float64(5.666207589292411e-14),np.float64(3.1554436208840472e-30)
3,np.float64(120.40889008453178),np.float64(120.40889008453178),np.float64(-4.645938056080832e-13),np.float64(5.4939386485707333e-14),np.float64(3.1554436208840472e-30)
4,np.float64(120.40889008453188),np.float64(120.40889008453186),np.float64(-4.612592475252919e-13),np.float64(6.010039105225906e-14),np.float64(3.1554436208840472e-30)
5,np.float64(120.40889008453216),np.float64(120.40889008453215),np.float64(-4.65470675581986e-13),np.float64(4.714322355801535e-14),np.float64(3.1554436208840472e-30)
6,np.float64(120.40889008453169),np.float64(120.40889008453169),np.float64(-4.636466712180966e-13),np.float64(5.40859845954266e-14),np.float64(3.1554436208840472e-30)
7,np.float64(120.40889008453175),np.float64(120.40889008453176),np.float64(-4.4807136744039816e-13),np.float64(7.225425427476025e-14),np.float64(3.1554436208840472e-30)
8,np.float64(120.40889008453198),np.float64(120.408890084532),np.float64(-4.667085054208341e-13),np.float64(8.134910956060921e-14),np.float64(3.1554436208840472e-30)
9,np.float64(120.40889008453199),np.float64(120.40889008453198),np.float64(-4.71814656219254e-13),np.float64(6.582792854346093e-14),np.float64(3.1554436208840472e-30)
10,np.float64(120.40889008453199),np.float64(120.408890084532),np.float64(-4.634043590225672e-13),np.float64(8.672465703769933e-14),np.float64(6.310887241768095e-30)
11,np.float64(120.40889008453179),np.float64(120.4088900845318),np.float64(-4.660792356498314e-13),np.float64(5.6650593824902064e-14),np.float64(3.1554436208840472e-30)
12,np.float64(120.40889008453154),np.float64(120.40889008453154),np.float64(-4.737887718814879e-13),np.float64(5.185577925448773e-14),np.float64(3.1554436208840472e-30)
13,np.float64(120.40889008453146),np.float64(120.40889008453146),np.float64(-4.811952500392362e-13),np.float64(6.028476866887196e-14),np.float64(3.1554436208840472e-30)
14,np.float64(120.40889008453168),np.float64(120.40889008453168),np.float64(-4.888304483576009e-13),np.float64(6.524670158844189e-14),np.float64(6.310887241768095e-30)
15,np.float64(120.40889008453158),np.float64(120.40889008453158),np.float64(-4.862994716479809e-13),np.float64(6.25239795730965e-14),np.float64(3.1554436208840472e-30)
16,np.float64(120.4088900845315),np.float64(120.40889008453152),np.float64(-4.785991989979821e-13),np.float64(6.887837577979166e-14),np.float64(6.310887241768095e-30)
17,np.float64(120.40889008453144),np.float64(120.40889008453145),np.float64(-4.938492666925991e-13),np.float64(7.51107259482963e-14),np.float64(6.310887241768095e-30)
18,np.float64(120.40889008453152),np.float64(120.40889008453155),np.float64(-4.943778136547795e-13),np.float64(8.110091710564718e-14),np.float64(6.310887241768095e-30)
19,np.float64(120.40889008453178),np.float64(120.40889008453175),np.float64(-4.617965885754606e-13),np.float64(7.584001977518177e-14),np.float64(6.310887241768095e-30)
20,np.float64(120.40889008453182),np.float64(120.40889008453183),np.float64(-4.576634547344762e-13),np.float64(9.173001920538378e-14),np.float64(1.262177448353619e-29)
21,np.float64(120.4088900845317),np.float64(120.4088900845317),np.float64(-4.588382930297493e-13),np.float64(9.41793721763256e-14),np.float64(6.310887241768095e-30)
22,np.float64(120.40889008453168),np.float64(120.4088900845317),np.float64(-4.598921182522745e-13),np.float64(8.48275211714759e-14),np.float64(2.1693674893577825e-30)
23,np.float64(120.40889008453179),np.float64(120.40889008453178),np.float64(-4.761004684518069e-13),np.float64(7.095321280502085e-14),np.float64(3.1554436208840472e-30)
24,np.float64(120.40889008453199),np.float64(120.40889008453198),np.float64(-4.886315412366668e-13),np.float64(7.130986688041264e-14),np.float64(6.310887241768095e-30)
25,np.float64(120.40889008453208),np.float64(120.40889008453208),np.float64(-4.856762626485116e-13),np.float64(6.564789237775391e-14),np.float64(6.310887241768095e-30)
26,np.float64(120.40889008453215),np.float64(120.40889008453215),np.float64(-4.839789379396729e-13),np.float64(7.519262878586641e-14),np.float64(3.1554436208840472e-30)
27,np.float64(120.40889008453219),np.float64(120.4088900845322),np.float64(-4.756302352700745e-13),np.float64(7.350506727011091e-14),np.float64(6.310887241768095e-30)
28,np.float64(120.40889008453242),np.float64(120.40889008453243),np.float64(-4.756689719944866e-13),np.float64(7.236209641654643e-14),np.float64(6.310887241768095e-30)
29,np.float64(120.40889008453237),np.float64(120.40889008453237),np.float64(-4.857270994576586e-13),np.float64(6.138464845379834e-14),np.float64(3.1554436208840472e-30)
