k,sigma_k
1.000000000000000000e+00,8.668909966079907292e+01
2.000000000000000000e+00,7.395606789981990865e-10
3.000000000000000000e+00,1.213497360807413088e-10
4.000000000000000000e+00,3.657117922018472400e-11
5.000000000000000000e+00,2.752666463287036544e-11
6.000000000000000000e+00,1.742943573604312417e-11
7.000000000000000000e+00,8.964671026027274103e-12
8.000000000000000000e+00,7.635769943368880627e-12
9.000000000000000000e+00,6.320490024937432223e-12
1.000000000000000000e+01,4.560593482726208663e-12
1.100000000000000000e+01,4.383187407746036052e-12
1.200000000000000000e+01,3.125096141638983053e-12
1.300000000000000000e+01,2.906973477382932527e-12
1.400000000000000000e+01,2.138935138541437145e-12
1.500000000000000000e+01,1.243057413470002228e-12
