k,sigma_k
1.000000000000000000e+00,7.622993230474034476e+01
2.000000000000000000e+00,8.987912464260146450e+00
3.000000000000000000e+00,2.428457335434902831e+00
4.000000000000000000e+00,2.005832877616006371e+00
5.000000000000000000e+00,3.114430765628340425e-01
6.000000000000000000e+00,2.719974842118635383e-01
7.000000000000000000e+00,1.557600683885353443e-01
8.000000000000000000e+00,1.169785877140273045e-01
9.000000000000000000e+00,3.737253951338899427e-02
1.000000000000000000e+01,1.973235374154011895e-14
1.100000000000000000e+01,1.386885375995764906e-14
1.200000000000000000e+01,1.138814604173357725e-14
1.300000000000000000e+01,9.213867001597693125e-15
1.400000000000000000e+01,8.186077181490453682e-15
1.500000000000000000e+01,6.573313720829688042e-15
