k,sigma_k
1.000000000000000000e+00,2.059824436523993825e+02
2.000000000000000000e+00,8.840188834048529998e+01
3.000000000000000000e+00,4.020354145442431104e+01
4.000000000000000000e+00,2.872340017240238197e+01
5.000000000000000000e+00,2.319629470640114377e+01
6.000000000000000000e+00,1.721322302711977770e+01
7.000000000000000000e+00,1.446721923823126765e+01
8.000000000000000000e+00,1.367369347378336641e+01
9.000000000000000000e+00,1.085777567497138030e+01
1.000000000000000000e+01,9.718406933423919369e+00
1.100000000000000000e+01,8.205133660090567105e+00
1.200000000000000000e+01,7.499552536676263870e+00
1.300000000000000000e+01,6.604703016988003661e+00
1.400000000000000000e+01,6.089243969460438777e+00
1.500000000000000000e+01,5.274080139818744684e+00
1.600000000000000000e+01,5.079479316143213019e+00
1.700000000000000000e+01,4.758274004701603666e+00
1.800000000000000000e+01,4.526164903076633550e+00
1.900000000000000000e+01,3.950556217749572330e+00
2.000000000000000000e+01,3.583640696727985908e+00
2.100000000000000000e+01,3.155549232544718752e+00
2.200000000000000000e+01,2.952718871623512875e+00
2.300000000000000000e+01,2.788813409393053888e+00
2.400000000000000000e+01,2.539887507633667330e+00
2.500000000000000000e+01,2.454742659576267361e+00
2.600000000000000000e+01,2.125954223636067120e+00
2.700000000000000000e+01,1.827970695537235679e+00
2.800000000000000000e+01,1.707915806422624305e+00
2.900000000000000000e+01,1.598406645094708978e+00
3.000000000000000000e+01,1.515331733892431476e+00
3.100000000000000000e+01,1.324286679617216134e+00
3.200000000000000000e+01,1.137019962604877810e+00
3.300000000000000000e+01,9.826397130429165294e-01
3.400000000000000000e+01,9.134707601909924923e-01
3.500000000000000000e+01,7.500998601167507829e-01
3.600000000000000000e+01,5.340643030665681579e-01
3.700000000000000000e+01,1.416884449557562043e-08
3.800000000000000000e+01,1.223046366677769185e-08
3.900000000000000000e+01,7.753353919436819042e-09
4.000000000000000000e+01,6.181712416828777481e-09
4.100000000000000000e+01,5.742177485345972408e-09
4.200000000000000000e+01,4.334749905244495604e-09
4.300000000000000000e+01,3.307794910372735818e-09
4.400000000000000000e+01,2.770472610567447651e-09
4.500000000000000000e+01,2.477667565657643324e-09
4.600000000000000000e+01,2.186591992798924802e-09
4.700000000000000000e+01,1.880850033927054540e-09
4.800000000000000000e+01,1.690561887551637974e-09
4.900000000000000000e+01,1.318284199226860354e-09
5.000000000000000000e+01,1.192122960140673196e-09
5.100000000000000000e+01,1.033281816376121751e-09
5.200000000000000000e+01,9.162917426802382135e-10
5.300000000000000000e+01,7.677978474886321107e-10
5.400000000000000000e+01,6.761569010875157692e-10
5.500000000000000000e+01,6.087250351336104883e-10
5.600000000000000000e+01,5.345603910497889185e-10
5.700000000000000000e+01,4.601613923370071524e-10
5.800000000000000000e+01,4.220579839039313087e-10
5.900000000000000000e+01,3.830199722482293498e-10
6.000000000000000000e+01,3.210848556706158558e-10
6.100000000000000000e+01,2.793291305627560528e-10
6.200000000000000000e+01,2.584839668323008579e-10
6.300000000000000000e+01,2.228249941184409287e-10
6.400000000000000000e+01,1.908645184514326152e-10
6.500000000000000000e+01,1.710995032196596856e-10
6.600000000000000000e+01,1.346579513012070053e-10
