k,sigma_k
1.000000000000000000e+00,4.759201613716313517e+01
2.000000000000000000e+00,6.948023214284655046e-11
3.000000000000000000e+00,1.519823406118844160e-11
4.000000000000000000e+00,5.531162669177078194e-12
5.000000000000000000e+00,2.942271694616796941e-12
6.000000000000000000e+00,2.013620856661299349e-12
7.000000000000000000e+00,1.657267850196051333e-12
8.000000000000000000e+00,8.155022943156495894e-13
9.000000000000000000e+00,5.742977561733609930e-13
1.000000000000000000e+01,5.107092872953595802e-13
1.100000000000000000e+01,4.000985416041592449e-13
1.200000000000000000e+01,2.962158255475845658e-13
1.300000000000000000e+01,2.734712226501590537e-13
1.400000000000000000e+01,1.731684653754240299e-13
1.500000000000000000e+01,1.359625954707622512e-13
