k,sigma_k
1.000000000000000000e+00,1.701035048813090214e+02
2.000000000000000000e+00,4.875168858734257071e+01
3.000000000000000000e+00,2.214546694006580552e+01
4.000000000000000000e+00,1.880005593195451397e+01
5.000000000000000000e+00,1.552342912641111816e+01
6.000000000000000000e+00,9.926115808044734479e+00
7.000000000000000000e+00,8.410372540901887461e+00
8.000000000000000000e+00,6.100782287448001107e+00
9.000000000000000000e+00,5.498499621112029168e+00
1.000000000000000000e+01,4.957547252252825665e+00
1.100000000000000000e+01,4.505663699454035331e+00
1.200000000000000000e+01,4.086961138879052768e+00
1.300000000000000000e+01,3.656404620914340153e+00
1.400000000000000000e+01,3.251663339617332227e+00
1.500000000000000000e+01,2.990215036365503121e+00
1.600000000000000000e+01,2.261010651194205856e+00
1.700000000000000000e+01,2.115681239344442854e+00
1.800000000000000000e+01,1.864809910994623232e+00
1.900000000000000000e+01,1.665764458755623956e+00
2.000000000000000000e+01,1.478917375799108092e+00
2.100000000000000000e+01,1.322232390136058422e+00
2.200000000000000000e+01,1.267799179412248289e+00
2.300000000000000000e+01,1.101395287590748007e+00
2.400000000000000000e+01,8.903261809893630030e-01
2.500000000000000000e+01,8.217807022469375555e-01
2.600000000000000000e+01,7.703035313934089023e-01
2.700000000000000000e+01,6.451893570472467809e-01
2.800000000000000000e+01,5.858941132881207992e-01
2.900000000000000000e+01,4.763693301772803923e-01
3.000000000000000000e+01,4.482418439070839922e-01
3.100000000000000000e+01,4.075592673240772124e-01
3.200000000000000000e+01,3.408626290473165676e-01
3.300000000000000000e+01,2.710116789913774582e-01
3.400000000000000000e+01,7.759159152717215457e-04
3.500000000000000000e+01,4.056909871828857841e-04
3.600000000000000000e+01,1.080049921890136725e-05
3.700000000000000000e+01,8.146504626948337667e-09
3.800000000000000000e+01,5.816278670090440381e-09
3.900000000000000000e+01,5.617959522920938770e-09
4.000000000000000000e+01,4.459601736850520243e-09
4.100000000000000000e+01,3.300873976459334394e-09
4.200000000000000000e+01,2.717201833669676121e-09
4.300000000000000000e+01,2.551258080781433663e-09
4.400000000000000000e+01,2.070710359759743042e-09
4.500000000000000000e+01,1.884684239456084510e-09
4.600000000000000000e+01,1.667789096339618059e-09
4.700000000000000000e+01,1.251830242928145173e-09
4.800000000000000000e+01,1.102883380866622841e-09
4.900000000000000000e+01,9.312910037898305520e-10
5.000000000000000000e+01,8.018360835064334082e-10
5.100000000000000000e+01,7.765841014165090428e-10
5.200000000000000000e+01,7.089903859550435114e-10
5.300000000000000000e+01,5.845637335796191022e-10
5.400000000000000000e+01,5.002061915896418466e-10
5.500000000000000000e+01,4.413302534890216043e-10
5.600000000000000000e+01,3.820684203484852962e-10
5.700000000000000000e+01,3.474720773996042526e-10
5.800000000000000000e+01,2.818155131565097099e-10
5.900000000000000000e+01,2.688305442561565822e-10
6.000000000000000000e+01,2.385060952871956741e-10
6.100000000000000000e+01,2.205288126629453745e-10
6.200000000000000000e+01,1.968117072006073510e-10
6.300000000000000000e+01,1.509787152557928024e-10
6.400000000000000000e+01,1.457420353232613538e-10
6.500000000000000000e+01,1.220823976054248778e-10
6.600000000000000000e+01,1.051467650510046095e-10
