k,sigma_k
1.000000000000000000e+00,2.249128751534622666e+02
2.000000000000000000e+00,3.828132324747647885e+01
3.000000000000000000e+00,3.390346584303090083e+01
4.000000000000000000e+00,2.506926207688064778e+01
5.000000000000000000e+00,1.704181704423143273e+01
6.000000000000000000e+00,1.115399313676783244e+01
7.000000000000000000e+00,1.009911319002052643e+01
8.000000000000000000e+00,7.072418878305815504e+00
9.000000000000000000e+00,5.799328702105766453e+00
1.000000000000000000e+01,4.548486684889022413e+00
1.100000000000000000e+01,3.850060387961694808e+00
1.200000000000000000e+01,3.381676384312164885e+00
1.300000000000000000e+01,3.108288780600508172e+00
1.400000000000000000e+01,2.697431936587110890e+00
1.500000000000000000e+01,2.378201863471589572e+00
1.600000000000000000e+01,1.867273898304036894e+00
1.700000000000000000e+01,1.687283610292152236e+00
1.800000000000000000e+01,1.561418177428324450e+00
1.900000000000000000e+01,1.425301471419555543e+00
2.000000000000000000e+01,1.192418067699158701e+00
2.100000000000000000e+01,1.118582432302786422e+00
2.200000000000000000e+01,9.554066530912052047e-01
2.300000000000000000e+01,8.684972767340622957e-01
2.400000000000000000e+01,8.309834082710547687e-01
2.500000000000000000e+01,7.683129685137474185e-01
2.600000000000000000e+01,6.833050938854722256e-01
2.700000000000000000e+01,6.108101878207552460e-01
2.800000000000000000e+01,5.527956656363804955e-01
2.900000000000000000e+01,5.069663304563084560e-01
3.000000000000000000e+01,4.565531792849387149e-01
3.100000000000000000e+01,3.692642953013116625e-01
3.200000000000000000e+01,3.368248578496664258e-01
3.300000000000000000e+01,2.823922870083658831e-01
3.400000000000000000e+01,2.465133174638612090e-01
3.500000000000000000e+01,2.335748294862409202e-01
3.600000000000000000e+01,1.854667123036414789e-01
3.700000000000000000e+01,1.324938258155603109e-13
3.800000000000000000e+01,1.176035629299871378e-13
3.900000000000000000e+01,9.491640842435407116e-14
4.000000000000000000e+01,7.833043550188331358e-14
4.100000000000000000e+01,6.936425606115063990e-14
4.200000000000000000e+01,6.125430078987703362e-14
4.300000000000000000e+01,5.544851458645786047e-14
4.400000000000000000e+01,5.109243821275155426e-14
4.500000000000000000e+01,4.260049684041954313e-14
4.600000000000000000e+01,3.534680777748184809e-14
4.700000000000000000e+01,2.947630284785704282e-14
4.800000000000000000e+01,2.809546448830822070e-14
4.900000000000000000e+01,2.564763361608746442e-14
5.000000000000000000e+01,2.463549998588012705e-14
5.100000000000000000e+01,2.419877827513534669e-14
5.200000000000000000e+01,2.346167880746929405e-14
5.300000000000000000e+01,2.167539735757703663e-14
5.400000000000000000e+01,2.167539735757703663e-14
5.500000000000000000e+01,2.167539735757703663e-14
5.600000000000000000e+01,2.167539735757703663e-14
5.700000000000000000e+01,2.167539735757703663e-14
5.800000000000000000e+01,2.167539735757703663e-14
5.900000000000000000e+01,2.167539735757703663e-14
6.000000000000000000e+01,2.167539735757703663e-14
6.100000000000000000e+01,2.167539735757703663e-14
6.200000000000000000e+01,2.167539735757703663e-14
6.300000000000000000e+01,2.167539735757703663e-14
6.400000000000000000e+01,2.167539735757703663e-14
6.500000000000000000e+01,1.855889993020955567e-14
6.600000000000000000e+01,1.304753530656256923e-14
