k,sigma_k
1.000000000000000000e+00,1.234782539488114281e+02
2.000000000000000000e+00,2.699761758867896333e+01
3.000000000000000000e+00,1.378538832467408959e+01
4.000000000000000000e+00,1.153388147950587772e+01
5.000000000000000000e+00,6.506861517159546082e+00
6.000000000000000000e+00,5.164996360479707782e+00
7.000000000000000000e+00,4.429777284189785114e+00
8.000000000000000000e+00,3.539933031002821640e+00
9.000000000000000000e+00,2.959450460695369323e+00
1.000000000000000000e+01,2.376215822741117645e+00
1.100000000000000000e+01,2.028426347128737817e+00
1.200000000000000000e+01,1.877624278944908465e+00
1.300000000000000000e+01,1.627133311050082076e+00
1.400000000000000000e+01,1.270755070270579656e+00
1.500000000000000000e+01,1.076242845766629541e+00
1.600000000000000000e+01,9.767773350765365237e-01
1.700000000000000000e+01,9.139513503198549715e-01
1.800000000000000000e+01,7.645360948458846950e-01
1.900000000000000000e+01,6.404966529275448739e-01
2.000000000000000000e+01,5.642668805880620697e-01
2.100000000000000000e+01,4.610366166859483639e-01
2.200000000000000000e+01,4.179756411507187241e-01
2.300000000000000000e+01,3.481693610715016485e-01
2.400000000000000000e+01,3.251892601156640139e-01
2.500000000000000000e+01,2.854517781237701501e-01
2.600000000000000000e+01,2.448197291591044933e-01
2.700000000000000000e+01,2.146927043736845953e-01
2.800000000000000000e+01,1.989197784521455348e-01
2.900000000000000000e+01,1.654754341769612280e-01
3.000000000000000000e+01,1.449903412117134471e-01
3.100000000000000000e+01,1.139767850947965705e-01
3.200000000000000000e+01,9.635994408350462281e-02
3.300000000000000000e+01,8.061858657423326413e-02
3.400000000000000000e+01,7.080029428612805154e-02
3.500000000000000000e+01,5.440328975947801571e-02
3.600000000000000000e+01,4.455743756844027931e-02
3.700000000000000000e+01,6.981650732409904584e-13
3.800000000000000000e+01,4.898516619072015273e-13
3.900000000000000000e+01,4.141996291897359182e-13
4.000000000000000000e+01,3.227902073984290057e-13
4.100000000000000000e+01,2.425281275098107812e-13
4.200000000000000000e+01,2.113626320543882115e-13
4.300000000000000000e+01,1.736493775571699351e-13
4.400000000000000000e+01,1.679562499374647664e-13
4.500000000000000000e+01,1.390919165786882656e-13
4.600000000000000000e+01,1.088726484069014322e-13
4.700000000000000000e+01,9.750316728136376892e-14
4.800000000000000000e+01,8.604982342273710145e-14
4.900000000000000000e+01,7.724164083771073397e-14
5.000000000000000000e+01,7.081440108373969264e-14
5.100000000000000000e+01,5.822215991418706013e-14
5.200000000000000000e+01,5.217947717377668354e-14
5.300000000000000000e+01,4.346490378748217768e-14
5.400000000000000000e+01,4.213430225194861850e-14
5.500000000000000000e+01,3.421019700339588465e-14
5.600000000000000000e+01,3.187968939795297345e-14
5.700000000000000000e+01,2.680073585767704452e-14
5.800000000000000000e+01,2.311733366614032666e-14
5.900000000000000000e+01,1.944972730436046366e-14
6.000000000000000000e+01,1.725561933385481167e-14
6.100000000000000000e+01,1.675446626839116251e-14
6.200000000000000000e+01,1.436864763903517590e-14
6.300000000000000000e+01,1.270304219561551762e-14
6.400000000000000000e+01,1.219589597671383421e-14
6.500000000000000000e+01,1.181299840541779923e-14
6.600000000000000000e+01,7.897910236918847097e-15
