k,sigma_k
1.000000000000000000e+00,6.719374970932902613e+01
2.000000000000000000e+00,4.599829819022664652e-10
3.000000000000000000e+00,4.325020734766844062e-11
4.000000000000000000e+00,2.703573721498744567e-11
5.000000000000000000e+00,8.668770798966956918e-12
6.000000000000000000e+00,7.887507135736926468e-12
7.000000000000000000e+00,4.899913242069640670e-12
8.000000000000000000e+00,3.426830209728042210e-12
9.000000000000000000e+00,2.179756803560965447e-12
1.000000000000000000e+01,2.002976547484227952e-12
1.100000000000000000e+01,1.495760989843277108e-12
1.200000000000000000e+01,1.092911371744154324e-12
1.300000000000000000e+01,7.767317746549147060e-13
1.400000000000000000e+01,5.964860332613128299e-13
1.500000000000000000e+01,5.381559047997208126e-13
