k,sigma_k
1.000000000000000000e+00,2.995984595517398574e+01
2.000000000000000000e+00,8.379246739690051626e+00
3.000000000000000000e+00,3.583666321443889302e+00
4.000000000000000000e+00,3.031270476035965444e+00
5.000000000000000000e+00,2.457232306116347686e+00
6.000000000000000000e+00,1.442976174853461968e+00
7.000000000000000000e+00,1.073272040228120838e+00
8.000000000000000000e+00,8.412947492851622355e-01
9.000000000000000000e+00,4.209295954100259474e-01
1.000000000000000000e+01,5.035509390503720588e-15
1.100000000000000000e+01,4.208946324259974870e-15
1.200000000000000000e+01,2.475922065865665814e-15
1.300000000000000000e+01,1.862105761358417467e-15
1.400000000000000000e+01,1.592684367804827766e-15
1.500000000000000000e+01,1.367772007991552020e-15
