k,sigma_k
1.000000000000000000e+00,7.623490306623848767e+01
2.000000000000000000e+00,9.060516958378926233e+00
3.000000000000000000e+00,2.611811553826798527e+00
4.000000000000000000e+00,8.877445844573055300e-01
5.000000000000000000e+00,5.077180570585589914e-01
6.000000000000000000e+00,3.638650310236993257e-01
7.000000000000000000e+00,2.346692960170554954e-01
8.000000000000000000e+00,7.968020896575438161e-02
9.000000000000000000e+00,3.980475184733509725e-02
1.000000000000000000e+01,2.650293981741726143e-14
1.100000000000000000e+01,1.610157129098112052e-14
1.200000000000000000e+01,1.322414116282624579e-14
1.300000000000000000e+01,1.218837023907847601e-14
1.400000000000000000e+01,9.835283537972527386e-15
1.500000000000000000e+01,8.150520805626870302e-15
