k,sigma_k
1.000000000000000000e+00,5.393941745943592991e+01
2.000000000000000000e+00,6.360917751823005339e+00
3.000000000000000000e+00,2.889283141717524650e+00
4.000000000000000000e+00,1.400323157320334744e+00
5.000000000000000000e+00,6.057845718754374387e-01
6.000000000000000000e+00,3.138866813952047030e-01
7.000000000000000000e+00,2.234905252109245510e-01
8.000000000000000000e+00,1.172162933775692667e-01
9.000000000000000000e+00,4.345509494675480616e-02
1.000000000000000000e+01,1.165560959482522329e-14
1.100000000000000000e+01,7.660512789149498885e-15
1.200000000000000000e+01,6.012142253417591860e-15
1.300000000000000000e+01,5.543252373014649958e-15
1.400000000000000000e+01,5.024168969487966892e-15
1.500000000000000000e+01,4.201867487357619125e-15
