k,sigma_k
1.000000000000000000e+00,3.074367562482254002e+01
2.000000000000000000e+00,5.217346492954690440e+00
3.000000000000000000e+00,3.698036464581659910e+00
4.000000000000000000e+00,2.871660095985991923e+00
5.000000000000000000e+00,1.629012345795895822e+00
6.000000000000000000e+00,1.140275310245526530e+00
7.000000000000000000e+00,1.014131780104972291e+00
8.000000000000000000e+00,7.015203068371245188e-01
9.000000000000000000e+00,4.491649113366343871e-01
1.000000000000000000e+01,1.524813904286966641e-14
1.100000000000000000e+01,8.289568255354723769e-15
1.200000000000000000e+01,6.571049264174471545e-15
1.300000000000000000e+01,4.076282760416536248e-15
1.400000000000000000e+01,3.779488796772394171e-15
1.500000000000000000e+01,2.982261654918982176e-15
