k,sigma_k
1.000000000000000000e+00,1.261141105303338321e+02
2.000000000000000000e+00,1.578714460080880144e+01
3.000000000000000000e+00,1.398910061777239555e+01
4.000000000000000000e+00,6.572528210015356365e+00
5.000000000000000000e+00,5.128162622363834799e+00
6.000000000000000000e+00,2.401623774323173865e+00
7.000000000000000000e+00,1.640965735826640293e+00
8.000000000000000000e+00,1.148763989391644147e+00
9.000000000000000000e+00,9.471557447495817517e-01
1.000000000000000000e+01,7.274024597168907702e-01
1.100000000000000000e+01,6.377380838996382639e-01
1.200000000000000000e+01,4.897540598952286883e-01
1.300000000000000000e+01,3.650997400894007150e-01
1.400000000000000000e+01,3.252056794997872924e-01
1.500000000000000000e+01,2.306128875462835348e-01
1.600000000000000000e+01,1.993722741805410426e-01
1.700000000000000000e+01,1.645277694657162892e-01
1.800000000000000000e+01,1.373083588875253225e-01
1.900000000000000000e+01,1.259312121254540784e-01
2.000000000000000000e+01,1.131441388566338524e-01
2.100000000000000000e+01,9.498562102739810387e-02
2.200000000000000000e+01,7.796540914137113643e-02
2.300000000000000000e+01,6.230789257535388620e-02
2.400000000000000000e+01,5.822832170075951941e-02
2.500000000000000000e+01,4.903636086599876681e-02
2.600000000000000000e+01,4.626020958452896348e-02
2.700000000000000000e+01,3.790838523852656933e-02
2.800000000000000000e+01,2.997532685251605780e-02
2.900000000000000000e+01,2.724840198514984213e-02
3.000000000000000000e+01,2.046528029222108649e-02
3.100000000000000000e+01,1.847758420008866267e-02
3.200000000000000000e+01,1.526111844301479212e-02
3.300000000000000000e+01,1.179425463763683103e-02
3.400000000000000000e+01,9.152395397854623180e-03
3.500000000000000000e+01,7.330292262964516886e-03
3.600000000000000000e+01,5.681206735022147590e-03
3.700000000000000000e+01,1.244465990029268847e-14
3.800000000000000000e+01,1.244465990029268847e-14
3.900000000000000000e+01,1.244465990029268847e-14
4.000000000000000000e+01,1.244465990029268847e-14
4.100000000000000000e+01,1.244465990029268847e-14
4.200000000000000000e+01,1.244465990029268847e-14
4.300000000000000000e+01,1.244465990029268847e-14
4.400000000000000000e+01,1.244465990029268847e-14
4.500000000000000000e+01,1.244465990029268847e-14
4.600000000000000000e+01,1.244465990029268847e-14
4.700000000000000000e+01,1.244465990029268847e-14
4.800000000000000000e+01,1.244465990029268847e-14
4.900000000000000000e+01,1.244465990029268847e-14
5.000000000000000000e+01,1.244465990029268847e-14
5.100000000000000000e+01,1.244465990029268847e-14
5.200000000000000000e+01,1.244465990029268847e-14
5.300000000000000000e+01,1.244465990029268847e-14
5.400000000000000000e+01,1.244465990029268847e-14
5.500000000000000000e+01,1.244465990029268847e-14
5.600000000000000000e+01,1.244465990029268847e-14
5.700000000000000000e+01,1.244465990029268847e-14
5.800000000000000000e+01,1.244465990029268847e-14
5.900000000000000000e+01,1.244465990029268847e-14
6.000000000000000000e+01,1.244465990029268847e-14
6.100000000000000000e+01,1.244465990029268847e-14
6.200000000000000000e+01,1.244465990029268847e-14
6.300000000000000000e+01,1.244465990029268847e-14
6.400000000000000000e+01,1.244465990029268847e-14
6.500000000000000000e+01,1.244465990029268847e-14
6.600000000000000000e+01,1.244465990029268690e-14
