k,sigma_k
1.000000000000000000e+00,9.741763384744638188e+01
2.000000000000000000e+00,1.206425553600512401e+01
3.000000000000000000e+00,1.035051687488481775e+01
4.000000000000000000e+00,7.576315543437431188e+00
5.000000000000000000e+00,3.135316907203709480e+00
6.000000000000000000e+00,2.453384864566836132e+00
7.000000000000000000e+00,1.983924913042966809e+00
8.000000000000000000e+00,1.540656559989013852e+00
9.000000000000000000e+00,1.010435294720489763e+00
1.000000000000000000e+01,3.619816650198891881e-14
1.100000000000000000e+01,1.669307172503116098e-14
1.200000000000000000e+01,1.604258205093094193e-14
1.300000000000000000e+01,1.306150697467832546e-14
1.400000000000000000e+01,9.676391229941375818e-15
1.500000000000000000e+01,9.050884938811723000e-15
