k,sigma_k
1.000000000000000000e+00,1.759829064398055891e+02
2.000000000000000000e+00,2.988697422491405575e+01
3.000000000000000000e+00,1.959838295325347346e+01
4.000000000000000000e+00,1.806549852827949110e+01
5.000000000000000000e+00,8.974746018632844269e+00
6.000000000000000000e+00,7.076623337767560251e+00
7.000000000000000000e+00,4.164637401681800633e+00
8.000000000000000000e+00,3.639310150533941357e+00
9.000000000000000000e+00,2.640742136243784621e+00
1.000000000000000000e+01,1.932098039844683202e+00
1.100000000000000000e+01,1.577583936192346936e+00
1.200000000000000000e+01,1.236253031038526906e+00
1.300000000000000000e+01,1.084316678438053350e+00
1.400000000000000000e+01,8.472756411706199309e-01
1.500000000000000000e+01,7.616227341277830298e-01
1.600000000000000000e+01,7.261025761636946685e-01
1.700000000000000000e+01,6.365143345156012433e-01
1.800000000000000000e+01,5.216218042247796616e-01
1.900000000000000000e+01,4.345975904129895095e-01
2.000000000000000000e+01,3.745928045075408441e-01
2.100000000000000000e+01,3.283218602094873928e-01
2.200000000000000000e+01,3.146468511564115000e-01
2.300000000000000000e+01,2.782879710191046851e-01
2.400000000000000000e+01,2.388252856791510947e-01
2.500000000000000000e+01,2.199889582745466199e-01
2.600000000000000000e+01,1.984525675232449993e-01
2.700000000000000000e+01,1.752712722326402461e-01
2.800000000000000000e+01,1.448666363367013266e-01
2.900000000000000000e+01,1.240657526126248272e-01
3.000000000000000000e+01,1.012885148869041435e-01
3.100000000000000000e+01,9.001115694633746167e-02
3.200000000000000000e+01,7.671121775691809586e-02
3.300000000000000000e+01,7.152002995595112267e-02
3.400000000000000000e+01,6.627304771631026270e-02
3.500000000000000000e+01,4.859108072290592439e-02
3.600000000000000000e+01,4.137626866523910069e-02
3.700000000000000000e+01,6.326952281960290531e-14
3.800000000000000000e+01,4.743653285215041156e-14
3.900000000000000000e+01,4.148829145577574773e-14
4.000000000000000000e+01,3.309484328463166722e-14
4.100000000000000000e+01,2.297673929053426279e-14
4.200000000000000000e+01,2.084162945005794135e-14
4.300000000000000000e+01,2.064532774681106703e-14
4.400000000000000000e+01,2.055099385152832726e-14
4.500000000000000000e+01,1.941829792362339077e-14
4.600000000000000000e+01,1.941691569379412352e-14
4.700000000000000000e+01,1.863370646166747866e-14
4.800000000000000000e+01,1.724204579250254464e-14
4.900000000000000000e+01,1.706344600409367055e-14
5.000000000000000000e+01,1.706344600409367055e-14
5.100000000000000000e+01,1.706344600409367055e-14
5.200000000000000000e+01,1.706344600409367055e-14
5.300000000000000000e+01,1.706344600409367055e-14
5.400000000000000000e+01,1.706344600409367055e-14
5.500000000000000000e+01,1.706344600409367055e-14
5.600000000000000000e+01,1.706344600409367055e-14
5.700000000000000000e+01,1.706344600409367055e-14
5.800000000000000000e+01,1.706344600409367055e-14
5.900000000000000000e+01,1.706344600409367055e-14
6.000000000000000000e+01,1.706344600409367055e-14
6.100000000000000000e+01,1.706344600409367055e-14
6.200000000000000000e+01,1.706344600409367055e-14
6.300000000000000000e+01,1.706344600409367055e-14
6.400000000000000000e+01,1.706344600409367055e-14
6.500000000000000000e+01,1.706344600409367055e-14
6.600000000000000000e+01,1.137216588384168428e-14
