k,sigma_k
1.000000000000000000e+00,5.394564650019407281e+01
2.000000000000000000e+00,6.440718706948032057e+00
3.000000000000000000e+00,2.220421254472296546e+00
4.000000000000000000e+00,1.883686553624149607e+00
5.000000000000000000e+00,5.695629780724791313e-01
6.000000000000000000e+00,4.100565409443439613e-01
7.000000000000000000e+00,3.070840238955483970e-01
8.000000000000000000e+00,2.314239257713669173e-01
9.000000000000000000e+00,1.654780743603742610e-01
1.000000000000000000e+01,1.417444592169102645e-14
1.100000000000000000e+01,1.092686951524552989e-14
1.200000000000000000e+01,8.985848501883169680e-15
1.300000000000000000e+01,7.466927749730725129e-15
1.400000000000000000e+01,5.164538544217409323e-15
1.500000000000000000e+01,4.898340369049693748e-15
