k,sigma_k
1.000000000000000000e+00,7.356035269420796396e+01
2.000000000000000000e+00,8.331950136453537326e+00
3.000000000000000000e+00,5.775121333898911580e+00
4.000000000000000000e+00,4.237154173446182170e+00
5.000000000000000000e+00,3.385315694751741322e+00
6.000000000000000000e+00,1.839822924580079233e+00
7.000000000000000000e+00,1.201130318881798775e+00
8.000000000000000000e+00,7.567686468637536690e-01
9.000000000000000000e+00,6.185547052705349103e-01
1.000000000000000000e+01,5.645527983022130547e-01
1.100000000000000000e+01,3.546221342824198430e-01
1.200000000000000000e+01,2.429482401723800367e-01
1.300000000000000000e+01,2.099862173844827540e-01
1.400000000000000000e+01,1.611278834922018621e-01
1.500000000000000000e+01,1.155854965949627972e-01
1.600000000000000000e+01,9.078833407796021993e-02
1.700000000000000000e+01,7.717812941123726456e-02
1.800000000000000000e+01,5.613369496143567894e-02
1.900000000000000000e+01,4.870668332986149984e-02
2.000000000000000000e+01,4.146114555827744991e-02
2.100000000000000000e+01,3.013386286454597038e-02
2.200000000000000000e+01,2.502550675485732887e-02
2.300000000000000000e+01,2.150292915364553775e-02
2.400000000000000000e+01,1.542991787717732863e-02
2.500000000000000000e+01,1.412092188156106355e-02
2.600000000000000000e+01,1.057091971979522496e-02
2.700000000000000000e+01,7.373631651055823251e-03
2.800000000000000000e+01,6.409310649323272761e-03
2.900000000000000000e+01,5.186190253167190581e-03
3.000000000000000000e+01,4.308283889063106546e-03
3.100000000000000000e+01,3.441889000611494855e-03
3.200000000000000000e+01,2.419816768006733711e-03
3.300000000000000000e+01,2.220614657743223697e-03
3.400000000000000000e+01,1.592973491468891974e-03
3.500000000000000000e+01,9.335584189102262998e-04
3.600000000000000000e+01,6.605898839099130912e-04
3.700000000000000000e+01,3.103927542146380457e-14
3.800000000000000000e+01,6.165456739723173324e-15
3.900000000000000000e+01,6.165456739723173324e-15
4.000000000000000000e+01,6.165456739723173324e-15
4.100000000000000000e+01,6.165456739723173324e-15
4.200000000000000000e+01,6.165456739723173324e-15
4.300000000000000000e+01,6.165456739723173324e-15
4.400000000000000000e+01,6.165456739723173324e-15
4.500000000000000000e+01,6.165456739723173324e-15
4.600000000000000000e+01,6.165456739723173324e-15
4.700000000000000000e+01,6.165456739723173324e-15
4.800000000000000000e+01,6.165456739723173324e-15
4.900000000000000000e+01,6.165456739723173324e-15
5.000000000000000000e+01,6.165456739723173324e-15
5.100000000000000000e+01,6.165456739723173324e-15
