case,N,M,rank,final_H_perp,r2_min,r2_max,classes_tol1e-6,classes_tol1e-2,coarse_pattern
N=6,6,15,5,1.563916824043332e-06,0.07154574802552387,0.07179845942620311,13,6,2x6 + 1x3 at tol1e-2
N=7,7,21,6,1.073188828026872e-06,0.06959445785297295,0.06993319662888267,21,21,all distinct at tol1e-2
