step,H_total,H_parallel,H_perp,A_perp,abs_ZtZ,sum_a2,sum_b2,sum_ab,r2_min,r2_max,simplex_rank
0,1.0750832090485118,1.0750832090485116,2.220446049250313e-16,1.4901161193847656e-08,2.0836954324666925e-14,0.5375416045242662,0.5375416045242457,-2.060851489460447e-15,0.07167221390590424,0.07167221396723147,5
1,1.0750832090485094,1.0750832090485096,0.0,0.0,2.0632117489177756e-14,0.5375416045242649,0.5375416045242445,-1.816255479347717e-15,0.07167221390519138,0.07167221396794397,5
2,1.075083209048508,1.075083209048508,0.0,0.0,2.0788186537031574e-14,0.5375416045242641,0.5375416045242438,-1.921206249644314e-15,0.07167221390447995,0.07167221396865506,5
3,1.0750832090485085,1.075083209048509,0.0,0.0,2.0507888458170598e-14,0.5375416045242645,0.5375416045242442,-1.3825746103535153e-15,0.07167221390377018,0.07167221396936502,5
4,1.075083209048507,1.0750832090485067,2.220446049250313e-16,1.4901161193847656e-08,2.071120721440258e-14,0.5375416045242637,0.5375416045242433,-1.7061005386231898e-15,0.07167221390306142,0.07167221397007344,5
5,1.0750832090485067,1.0750832090485067,0.0,0.0,2.0907671906063635e-14,0.5375416045242637,0.5375416045242432,-2.2403953692240464e-15,0.071672213902354,0.07167221397078057,5
6,1.0750832090485078,1.075083209048508,0.0,0.0,2.0825607372084898e-14,0.5375416045242639,0.5375416045242438,-2.530094189712173e-15,0.07167221390164807,0.07167221397148636,5
7,1.0750832090485085,1.0750832090485083,2.220446049250313e-16,1.4901161193847656e-08,2.0735781347625275e-14,0.5375416045242644,0.5375416045242442,-2.0788492455237062e-15,0.07167221390094358,0.07167221397219095,5
8,1.0750832090485094,1.0750832090485094,0.0,0.0,2.0115147714890018e-14,0.5375416045242649,0.5375416045242447,-4.460272212333805e-16,0.0716722139002405,0.07167221397289443,5
9,1.075083209048511,1.075083209048511,0.0,0.0,1.9762655408544816e-14,0.5375416045242652,0.5375416045242456,9.974659986866641e-17,0.0716722138995388,0.07167221397359633,5
10,1.0750832090485116,1.0750832090485112,4.440892098500626e-16,2.1073424255447017e-08,1.9764498953845443e-14,0.5375416045242657,0.5375416045242459,-1.6349768761081407e-16,0.07167221389883838,0.07167221397429688,5
11,1.07508320904851,1.0750832090485103,0.0,0.0,1.980556793255235e-14,0.5375416045242649,0.5375416045242452,-6.552917930502389e-16,0.07167221389813914,0.07167221397499575,5
