step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7
0,0.38388071529288736,0.3342157644053111,0.30030876074486657,0.2687407168880444,0.2338478381471303,0.15533235464187084,2.488505648182429e-09
1,0.3838807152928821,0.33421576440530004,0.30030876074491003,0.26874071688804185,0.23384783814710403,0.1553323546418574,2.6731786625712486e-09
2,0.3838807152928772,0.33421576440528816,0.3003087607449531,0.2687407168880395,0.23384783814707816,0.1553323546418454,3.062603430924859e-09
3,0.38388071529287265,0.33421576440527534,0.3003087607449963,0.2687407168880378,0.2338478381470528,0.15533235464183304,3.399726861006884e-09
4,0.3838807152928683,0.33421576440526196,0.300308760745039,0.2687407168880364,0.23384783814702756,0.15533235464182227,3.808790464435264e-09
5,0.38388071529286455,0.33421576440524764,0.30030876074508167,0.2687407168880355,0.23384783814700302,0.15533235464181155,1.9491732690080856e-09
6,0.3838807152928614,0.33421576440523276,0.30030876074512397,0.2687407168880352,0.23384783814697896,0.15533235464180206,3.680816428479473e-09
7,0.3838807152928584,0.3342157644052168,0.3003087607451659,0.26874071688803497,0.23384783814695512,0.155332354641793,2.638103614894265e-09
8,0.3838807152928556,0.33421576440520023,0.30030876074520724,0.26874071688803525,0.2338478381469316,0.15533235464178538,1.5184296563077795e-09
9,0.38388071529285345,0.33421576440518297,0.3003087607452485,0.26874071688803614,0.23384783814690877,0.15533235464177841,3.909534788803059e-09
10,0.3838807152928516,0.334215764405165,0.3003087607452894,0.2687407168880376,0.2338478381468864,0.15533235464177178,3.63564426377072e-09
11,0.38388071529285017,0.3342157644051463,0.30030876074533,0.26874071688803924,0.23384783814686436,0.15533235464176634,3.781978920477421e-09
12,0.38388071529284945,0.3342157644051272,0.30030876074537,0.2687407168880416,0.2338478381468427,0.15533235464176176,3.1756741077719344e-09
13,0.3838807152928483,0.3342157644051067,0.30030876074540946,0.26874071688804385,0.23384783814682134,0.15533235464175732,3.862358416467546e-09
14,0.3838807152928478,0.3342157644050857,0.3003087607454486,0.26874071688804685,0.23384783814680057,0.15533235464175382,3.774746281061567e-09
15,0.3838807152928476,0.33421576440506384,0.3003087607454873,0.2687407168880499,0.2338478381467803,0.15533235464175066,4.652684824711723e-09
16,0.383880715292848,0.3342157644050413,0.3003087607455258,0.26874071688805307,0.2338478381467606,0.15533235464174866,2.719813598517522e-09
17,0.3838807152928483,0.33421576440501777,0.30030876074556345,0.26874071688805645,0.23384783814674134,0.1553323546417469,3.827745115699697e-09
18,0.38388071529284956,0.33421576440499423,0.30030876074560103,0.26874071688806034,0.23384783814672258,0.15533235464174666,6.476434412848919e-10
19,0.3838807152928506,0.3342157644049693,0.30030876074563756,0.2687407168880645,0.23384783814670404,0.1553323546417463,2.4719882656441556e-09
20,0.38388071529285245,0.33421576440494394,0.3003087607456737,0.2687407168880692,0.23384783814668617,0.1553323546417472,1.5749100777338558e-09
21,0.3838807152928551,0.3342157644049185,0.30030876074570967,0.2687407168880742,0.23384783814666918,0.155332354641749,1.7111370556824504e-09
22,0.38388071529285717,0.3342157644048914,0.3003087607457445,0.2687407168880791,0.23384783814665225,0.15533235464175038,2.6138005499070046e-09
23,0.3838807152928604,0.3342157644048644,0.3003087607457792,0.2687407168880847,0.2338478381466361,0.15533235464175346,4.711861282207562e-09
24,0.3838807152928639,0.33421576440483675,0.30030876074581325,0.2687407168880904,0.23384783814662033,0.15533235464175693,2.5798361764092205e-09
25,0.38388071529286755,0.33421576440480816,0.30030876074584656,0.2687407168880965,0.2338478381466051,0.15533235464176104,2.5340160249741612e-09
26,0.3838807152928716,0.33421576440477896,0.30030876074587903,0.2687407168881029,0.23384783814659027,0.15533235464176576,1.7854050901944319e-09
27,0.38388071529287576,0.3342157644047487,0.3003087607459109,0.26874071688810924,0.23384783814657592,0.15533235464177067,3.7409752977882355e-09
28,0.38388071529288154,0.33421576440471895,0.3003087607459429,0.2687407168881166,0.23384783814656274,0.15533235464177675,3.5002085890114765e-09
29,0.3838807152928875,0.33421576440468853,0.30030876074597385,0.26874071688812423,0.23384783814655,0.15533235464178397,1.9886550023879378e-09
30,0.38388071529289414,0.3342157644046576,0.3003087607460043,0.2687407168881322,0.23384783814653778,0.15533235464179104,1.543601091473718e-09
31,0.38388071529290024,0.3342157644046253,0.3003087607460334,0.26874071688814,0.2338478381465257,0.1553323546417988,3.422964745404163e-09
32,0.38388071529290607,0.3342157644045919,0.3003087607460613,0.2687407168881475,0.23384783814651391,0.15533235464180653,4.1894225702319264e-09
33,0.383880715292913,0.3342157644045583,0.3003087607460888,0.2687407168881556,0.23384783814650295,0.1553323546418153,4.508332419943945e-09
34,0.3838807152929196,0.33421576440452366,0.3003087607461151,0.2687407168881634,0.2338478381464921,0.1553323546418246,3.186778642821823e-09
35,0.38388071529292833,0.33421576440449,0.30030876074614204,0.26874071688817247,0.23384783814648297,0.15533235464183545,3.107383815893398e-09
36,0.38388071529293694,0.33421576440445544,0.3003087607461674,0.2687407168881815,0.23384783814647386,0.15533235464184647,2.0437195665193845e-09
37,0.3838807152929471,0.33421576440442113,0.3003087607461928,0.26874071688819123,0.2338478381464659,0.1553323546418594,1.0503129045047216e-09
38,0.38388071529295725,0.33421576440438605,0.3003087607462172,0.268740716888201,0.23384783814645838,0.15533235464187223,1.8624571700414415e-09
39,0.3838807152929676,0.3342157644043503,0.3003087607462406,0.2687407168882108,0.23384783814645138,0.15533235464188525,4.350668688437068e-09
40,0.3838807152929782,0.3342157644043139,0.30030876074626306,0.2687407168882205,0.23384783814644486,0.1553323546418988,1.7636457300272351e-09
41,0.38388071529298906,0.3342157644042768,0.3003087607462843,0.2687407168882303,0.23384783814643884,0.15533235464191286,4.857811148698777e-09
42,0.38388071529300116,0.3342157644042399,0.3003087607463055,0.2687407168882409,0.23384783814643406,0.15533235464192796,2.573788262080348e-09
43,0.3838807152930134,0.3342157644042025,0.30030876074632556,0.2687407168882516,0.2338478381464297,0.15533235464194348,2.576961809249186e-09
44,0.3838807152930255,0.334215764404164,0.3003087607463441,0.2687407168882618,0.2338478381464256,0.15533235464195994,2.779517722812453e-09
45,0.38388071529303897,0.33421576440412576,0.30030876074636226,0.2687407168882731,0.23384783814642243,0.15533235464197698,4.6106149571032165e-10
46,0.3838807152930522,0.33421576440408657,0.3003087607463793,0.268740716888284,0.2338478381464197,0.15533235464199394,2.4108731868561126e-09
47,0.3838807152930653,0.33421576440404643,0.30030876074639484,0.2687407168882949,0.23384783814641738,0.15533235464201095,1.5511757996011742e-09
48,0.38388071529307954,0.3342157644040069,0.30030876074641,0.26874071688830586,0.23384783814641605,0.15533235464202924,4.840445530694747e-09
49,0.38388071529309437,0.33421576440396666,0.3003087607464243,0.26874071688831713,0.23384783814641547,0.15533235464204828,3.0008393067499333e-10
50,0.3838807152931102,0.33421576440392686,0.3003087607464382,0.2687407168883288,0.23384783814641594,0.15533235464206793,3.3610777870007453e-09
51,0.38388071529312595,0.33421576440388623,0.3003087607464505,0.2687407168883402,0.23384783814641683,0.15533235464208822,2.2003979341393624e-09
52,0.38388071529314177,0.3342157644038449,0.30030876074646146,0.26874071688835155,0.23384783814641794,0.1553323546421084,3.4480307574855333e-09
53,0.3838807152931582,0.3342157644038032,0.3003087607464717,0.2687407168883629,0.23384783814642016,0.15533235464212955,1.6857032822861769e-09
54,0.38388071529317547,0.33421576440376166,0.3003087607464809,0.26874071688837464,0.23384783814642285,0.1553323546421517,4.440120958086865e-09
55,0.38388071529319273,0.3342157644037192,0.3003087607464888,0.2687407168883862,0.23384783814642607,0.15533235464217357,4.1581353606866715e-09
56,0.3838807152932112,0.33421576440367734,0.3003087607464964,0.26874071688839823,0.23384783814643062,0.15533235464219644,3.055492561010594e-09
57,0.3838807152932294,0.3342157644036346,0.3003087607465022,0.2687407168884103,0.23384783814643526,0.15533235464221953,3.5826115540774065e-09
58,0.38388071529324863,0.334215764403592,0.3003087607465073,0.2687407168884226,0.23384783814644095,0.15533235464224324,2.5758472037889904e-09
59,0.3838807152932678,0.33421576440354855,0.30030876074651125,0.2687407168884348,0.23384783814644716,0.1553323546422669,4.055867755078328e-09
60,0.3838807152932874,0.3342157644035049,0.3003087607465135,0.2687407168884468,0.23384783814645407,0.15533235464229125,1.8392600863810169e-09
61,0.3838807152933077,0.3342157644034614,0.30030876074651525,0.2687407168884589,0.23384783814646176,0.15533235464231665,2.9815498501597607e-09
62,0.38388071529332873,0.33421576440341777,0.3003087607465163,0.26874071688847123,0.2338478381464706,0.15533235464234238,2.8844192481330732e-09
63,0.3838807152933501,0.334215764403374,0.300308760746516,0.26874071688848333,0.23384783814648016,0.15533235464236866,2.3790130705056624e-09
64,0.38388071529337153,0.33421576440332956,0.30030876074651425,0.26874071688849543,0.2338478381464902,0.15533235464239475,3.98938104114828e-09
65,0.3838807152933936,0.3342157644032854,0.30030876074651147,0.26874071688850776,0.233847838146501,0.1553323546424212,3.6309491343204345e-09
66,0.38388071529341716,0.33421576440324163,0.3003087607465083,0.2687407168885205,0.23384783814651317,0.15533235464244885,2.19555745731995e-09
67,0.3838807152934409,0.3342157644031976,0.30030876074650376,0.26874071688853296,0.23384783814652593,0.15533235464247683,4.1007411476168836e-09
68,0.3838807152934642,0.33421576440315237,0.30030876074649715,0.26874071688854484,0.23384783814653862,0.1553323546425044,3.840149905001847e-09
69,0.38388071529348794,0.3342157644031072,0.30030876074648927,0.2687407168885572,0.2338478381465521,0.15533235464253264,1.8436066217454496e-09
70,0.38388071529351236,0.3342157644030623,0.30030876074648033,0.2687407168885694,0.2338478381465665,0.15533235464256123,3.1137181157820214e-09
71,0.3838807152935373,0.3342157644030171,0.30030876074647045,0.2687407168885815,0.2338478381465816,0.15533235464259004,3.4065635734556345e-09
72,0.38388071529356205,0.3342157644029714,0.3003087607464587,0.268740716888593,0.23384783814659746,0.15533235464261883,2.94493936002904e-09
73,0.3838807152935884,0.3342157644029266,0.30030876074644675,0.2687407168886054,0.23384783814661458,0.15533235464264936,3.89863369361445e-09
