A_A,A_B,E_max_abs_error,E_mean_abs_error,E_tau_R_error,K_R_error,P_R_error,R_A,R_B,R_max_abs_error,R_max_gauge_std,R_mean_abs_error,R_total_error,case,common_bias_detected,gauge_count,noise_level,noise_mode,p_max_abs_error,p_mean_abs_error,q_A0,q_B0,relative_flip_error,within_particle_separation_ratio_time,zero_mean_multigauge_valid
1.0,1.0,3.1863400806741993e-13,6.439293542825908e-15,0.0,3.26405569239796e-14,4.440892098500626e-16,1.0,1.0,4.440892098500626e-16,2.6401776779478194e-16,0.0,0.0,c01_A1.00_B1.00_u1.00_v-1.00,False,116,0.0,zero_mean_gauge_noise,3.1863400806741993e-13,8.326672684688674e-15,1.0,-1.0,1.6431300764452317e-14,0.0,True
1.0,1.0,1.1476375405550243e-12,6.439293542825908e-15,4.440892098500626e-16,3.3084646133829665e-14,4.440892098500626e-16,1.0,1.0,1.1157741397482823e-12,6.207613881505216e-13,3.3306690738754696e-16,4.440892098500626e-16,c01_A1.00_B1.00_u1.00_v-1.00,False,116,1e-12,zero_mean_gauge_noise,1.209810029934033e-12,8.326672684688674e-15,1.0,-1.0,1.6431300764452317e-14,2.4559192337084095e-30,True
1.0,1.0,1.0788003823591907e-10,6.439293542825908e-15,0.0,3.375077994860476e-14,5.551115123125783e-16,1.0,1.0,1.0552092533089308e-10,6.073308448926958e-11,3.3306690738754696e-16,2.220446049250313e-16,c01_A1.00_B1.00_u1.00_v-1.00,False,116,1e-10,zero_mean_gauge_noise,1.0715472953393146e-10,8.43769498715119e-15,1.0,-1.0,1.6653345369377348e-14,9.209697126406536e-31,True
1.0,1.0,1.042760056080283e-08,6.328271240363392e-15,0.0,3.375077994860476e-14,7.771561172376096e-16,1.0,1.0,1.0707551068023236e-08,5.942118553944416e-09,2.220446049250313e-16,0.0,c01_A1.00_B1.00_u1.00_v-1.00,False,116,1e-08,zero_mean_gauge_noise,1.1123384879851983e-08,8.215650382226158e-15,1.0,-1.0,1.687538997430238e-14,6.139798084271024e-31,True
1.0,1.0,1.057626693778957e-06,6.439293542825908e-15,0.0,3.3306690738754696e-14,4.440892098500626e-16,1.0,1.0,1.0889577790607063e-06,6.30693414714864e-07,2.220446049250313e-16,0.0,c01_A1.00_B1.00_u1.00_v-1.00,False,116,1e-06,zero_mean_gauge_noise,1.087675196798088e-06,8.43769498715119e-15,1.0,-1.0,1.6431300764452317e-14,6.139798084271024e-31,True
1.0,1.0,0.00010828519906225242,6.439293542825908e-15,0.0,3.2862601528904634e-14,2.220446049250313e-16,1.0,1.0,0.00011143679007530327,6.0513860852658534e-05,2.220446049250313e-16,2.220446049250313e-16,c01_A1.00_B1.00_u1.00_v-1.00,False,116,0.0001,zero_mean_gauge_noise,0.0001111223027769892,8.215650382226158e-15,1.0,-1.0,1.6431300764452317e-14,1.2279596168542047e-30,True
1.0,1.0,3.1863400806741993e-13,6.439293542825908e-15,0.0,3.26405569239796e-14,4.440892098500626e-16,1.0,1.0,4.440892098500626e-16,2.6401776779478194e-16,0.0,0.0,c01_A1.00_B1.00_u1.00_v-1.00,False,116,0.0,common_bias_control,3.1863400806741993e-13,8.326672684688674e-15,1.0,-1.0,1.6431300764452317e-14,0.0,False
1.0,1.0,1.1426415369442111e-12,9.71223101942087e-13,6.634692795159935e-13,1.2079226507921703e-13,3.1967761771056757e-12,1.0,1.0,8.761880110341735e-13,4.383090605058221e-16,8.759659664292485e-13,2.2248869413488137e-13,c01_A1.00_B1.00_u1.00_v-1.00,False,116,1e-12,common_bias_control,1.2521095271722515e-12,9.382494781107198e-13,1.0,-1.0,3.019806626980426e-14,1.632821294769478e-23,False
1.0,1.0,9.538569933909002e-11,9.52142809040879e-11,2.252433795035813e-10,3.243543211794986e-10,9.477685303238559e-11,1.0,1.0,9.533351885693264e-11,3.474324676090374e-16,9.533285272311787e-11,3.02177838307216e-10,c01_A1.00_B1.00_u1.00_v-1.00,True,116,1e-10,common_bias_control,8.909517568156389e-11,8.892797609405534e-11,1.0,-1.0,3.991695862737288e-11,2.6413530339424646e-19,False
1.0,1.0,9.54414725029551e-09,9.543975831860507e-09,6.959819609519968e-09,3.806382009585718e-08,2.9666313849929793e-09,1.0,1.0,8.974428089558728e-09,4.383090605058221e-16,8.974427423424913e-09,8.114075411569388e-09,c01_A1.00_B1.00_u1.00_v-1.00,True,116,1e-08,common_bias_control,9.149099700067609e-09,9.148884094756227e-09,1.0,-1.0,8.251477723320022e-09,2.058560064612796e-15,False
