t,H,Q2_re,Q2_im,generator_norm
0,np.float64(115.02943725152289),np.float64(-21.797958971132708),np.float64(8.513197950573756e-15),np.float64(9.821054952661232)
1,np.float64(115.029437251523),np.float64(-21.797958971132736),np.float64(4.063416270128073e-14),np.float64(10.36279042726241)
2,np.float64(115.02943725152276),np.float64(-21.797958971132708),np.float64(1.6342482922482304e-13),np.float64(10.122265507093138)
3,np.float64(115.02943725152268),np.float64(-21.797958971132722),np.float64(2.1782575743145571e-13),np.float64(10.59011695552088)
4,np.float64(115.0294372515227),np.float64(-21.797958971132736),np.float64(3.5837999234900053e-13),np.float64(10.753966102741103)
5,np.float64(115.02943725152288),np.float64(-21.797958971132772),np.float64(3.7403413699621524e-13),np.float64(10.756439301340992)
6,np.float64(115.02943725152272),np.float64(-21.797958971132765),np.float64(3.1730174043786974e-13),np.float64(10.612081061854338)
7,np.float64(115.02943725152289),np.float64(-21.79795897113275),np.float64(3.7281289166912757e-13),np.float64(10.777410318129053)
8,np.float64(115.02943725152241),np.float64(-21.79795897113265),np.float64(3.388400671155978e-13),np.float64(10.87751327713584)
9,np.float64(115.02943725152252),np.float64(-21.797958971132687),np.float64(2.2382096176443156e-13),np.float64(10.780422331549516)
10,np.float64(115.02943725152204),np.float64(-21.7979589711326),np.float64(2.2642998587230068e-13),np.float64(10.813520257607314)
11,np.float64(115.02943725152241),np.float64(-21.797958971132694),np.float64(3.3306690738754696e-13),np.float64(10.855325361334726)
12,np.float64(115.02943725152261),np.float64(-21.797958971132736),np.float64(3.0464519795714295e-13),np.float64(10.885891722404763)
13,np.float64(115.02943725152232),np.float64(-21.7979589711327),np.float64(3.476108290101365e-13),np.float64(10.859550607639932)
14,np.float64(115.029437251522),np.float64(-21.79795897113265),np.float64(3.4372504842394846e-13),np.float64(10.785487816460302)
15,np.float64(115.02943725152213),np.float64(-21.797958971132687),np.float64(3.164135620181696e-13),np.float64(10.84884878631667)
16,np.float64(115.02943725152198),np.float64(-21.79795897113265),np.float64(3.161915174132446e-13),np.float64(10.91285423895099)
17,np.float64(115.02943725152144),np.float64(-21.797958971132566),np.float64(2.540190280342358e-13),np.float64(10.88034095165861)
18,np.float64(115.02943725152173),np.float64(-21.797958971132623),np.float64(2.986499936241671e-13),np.float64(10.866811256580643)
19,np.float64(115.02943725152167),np.float64(-21.797958971132616),np.float64(2.9976021664879227e-13),np.float64(10.84372881298091)
20,np.float64(115.02943725152137),np.float64(-21.797958971132577),np.float64(2.859934511434403e-13),np.float64(10.893892783839101)
