t,H,Q2_re,Q2_im,generator_norm,antisym_residual
0,np.float64(79.48537775761741),np.float64(30.168887672686328),np.float64(18.74673772829301),np.float64(14.045305237016736),np.float64(4.440892098500626e-16)
1,np.float64(79.48537775761761),np.float64(30.16888767268658),np.float64(18.74673772829279),np.float64(14.088855731153517),np.float64(4.440892098500626e-16)
2,np.float64(79.48537775761775),np.float64(30.168887672686626),np.float64(18.746737728292818),np.float64(14.304939366214395),np.float64(4.440892098500626e-16)
3,np.float64(79.48537775761785),np.float64(30.16888767268662),np.float64(18.74673772829278),np.float64(17.874724352885533),np.float64(8.881784197001252e-16)
4,np.float64(79.48537775761778),np.float64(30.168887672686793),np.float64(18.74673772829259),np.float64(24.67330892472635),np.float64(8.881784197001252e-16)
5,np.float64(79.48537775761781),np.float64(30.168887672686683),np.float64(18.746737728292683),np.float64(27.09228376139715),np.float64(1.7763568394002505e-15)
6,np.float64(79.48537775761783),np.float64(30.168887672686736),np.float64(18.746737728292608),np.float64(31.99615337587484),np.float64(1.7763568394002505e-15)
7,np.float64(79.48537775761784),np.float64(30.168887672686697),np.float64(18.74673772829262),np.float64(33.006329563234196),np.float64(8.881784197001252e-16)
8,np.float64(79.4853777576178),np.float64(30.168887672686683),np.float64(18.74673772829259),np.float64(33.73971869171999),np.float64(3.552713678800501e-15)
9,np.float64(79.48537775761804),np.float64(30.168887672686747),np.float64(18.746737728292793),np.float64(34.259809453597434),np.float64(8.881784197001252e-16)
10,np.float64(79.48537775761788),np.float64(30.168887672686843),np.float64(18.746737728292533),np.float64(34.679725230323506),np.float64(8.881784197001252e-16)
11,np.float64(79.48537775761794),np.float64(30.168887672686697),np.float64(18.746737728292757),np.float64(34.929884915558),np.float64(3.552713678800501e-15)
12,np.float64(79.48537775761795),np.float64(30.168887672686683),np.float64(18.746737728292718),np.float64(35.04658847346418),np.float64(8.881784197001252e-16)
13,np.float64(79.48537775761793),np.float64(30.168887672686672),np.float64(18.7467377282927),np.float64(35.111810513465414),np.float64(3.552713678800501e-15)
14,np.float64(79.48537775761793),np.float64(30.168887672686683),np.float64(18.74673772829269),np.float64(35.15363484734355),np.float64(3.552713678800501e-15)
15,np.float64(79.48537775761793),np.float64(30.168887672686687),np.float64(18.74673772829274),np.float64(35.182192660501045),np.float64(3.552713678800501e-15)
16,np.float64(79.48537775761797),np.float64(30.168887672686733),np.float64(18.746737728292644),np.float64(35.20215272390069),np.float64(3.552713678800501e-15)
17,np.float64(79.48537775761787),np.float64(30.168887672686736),np.float64(18.74673772829248),np.float64(35.216181657410324),np.float64(3.552713678800501e-15)
18,np.float64(79.48537775761764),np.float64(30.16888767268655),np.float64(18.74673772829254),np.float64(35.225994773836554),np.float64(8.881784197001252e-16)
19,np.float64(79.48537775761773),np.float64(30.168887672686616),np.float64(18.746737728292565),np.float64(35.23281210254623),np.float64(8.881784197001252e-16)
20,np.float64(79.48537775761778),np.float64(30.16888767268674),np.float64(18.746737728292658),np.float64(35.23753272956344),np.float64(2.220446049250313e-16)
21,np.float64(79.48537775761774),np.float64(30.168887672686726),np.float64(18.746737728292626),np.float64(35.24082537300945),np.float64(2.220446049250313e-16)
22,np.float64(79.48537775761791),np.float64(30.168887672686772),np.float64(18.746737728292644),np.float64(35.243172564951855),np.float64(8.881784197001252e-16)
23,np.float64(79.48537775761793),np.float64(30.16888767268676),np.float64(18.74673772829266),np.float64(35.2449084003666),np.float64(1.3877787807814457e-17)
24,np.float64(79.48537775761808),np.float64(30.16888767268691),np.float64(18.746737728292572),np.float64(35.24625104039249),np.float64(8.881784197001252e-16)
25,np.float64(79.48537775761795),np.float64(30.16888767268702),np.float64(18.746737728292324),np.float64(35.24733458787081),np.float64(2.7755575615628914e-17)
26,np.float64(79.48537775761797),np.float64(30.168887672686907),np.float64(18.74673772829234),np.float64(35.24823599984615),np.float64(3.552713678800501e-15)
27,np.float64(79.48537775761764),np.float64(30.168887672686672),np.float64(18.746737728292228),np.float64(35.248996395804966),np.float64(8.881784197001252e-16)
28,np.float64(79.48537775761778),np.float64(30.16888767268681),np.float64(18.746737728292317),np.float64(35.249636103895064),np.float64(8.881784197001252e-16)
29,np.float64(79.48537775761777),np.float64(30.168887672686797),np.float64(18.746737728292302),np.float64(35.250165284112484),np.float64(3.552713678800501e-15)
30,np.float64(79.48537775761778),np.float64(30.168887672686584),np.float64(18.74673772829275),np.float64(35.25059118116818),np.float64(1.734723475976807e-17)
31,np.float64(79.4853777576179),np.float64(30.168887672686566),np.float64(18.74673772829286),np.float64(35.25092265727403),np.float64(3.552713678800501e-15)
32,np.float64(79.48537775761783),np.float64(30.16888767268659),np.float64(18.7467377282928),np.float64(35.2511718719566),np.float64(3.552713678800501e-15)
