step,time,N,condition,initial_seed_enabled,metastable_seed_enabled,initial_seed_amplitude,metastable_seed_amplitude,parent_plane_occupation,f_outside_parent,q1,q2,q3,q4,rank_Q,dominant_plane_occupation,non_dominant_occupation,kernel_occupation,residual_occupation,norm_Z,dagger_norm_error,zero_square_real,zero_square_imag,zero_square_abs,projection_closure_error,crossing_detected,metastable_start_detected
0,0,300,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,-6.6613381478e-16,1.4142135624e+00,1.4142135624e+00,1.3258622046e-08,0.0000000000e+00,2,1.0000000000e+00,2.8593459529e-29,-6.6613381478e-16,0.0000000000e+00,1.0000000000e+00,1.7763568394e-15,-1.7763568394e-15,8.4249255712e-16,1.9660206839e-15,0.0000000000e+00,0,0
100,100,300,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,-2.4424906542e-15,1.4142135624e+00,1.4142135624e+00,1.6758280300e-08,9.0506463744e-09,3,1.0000000000e+00,7.7745935260e-29,-2.4424906542e-15,0.0000000000e+00,1.0000000000e+00,6.6613381478e-16,-2.2759572005e-15,1.3710890620e-15,2.6570409094e-15,0.0000000000e+00,0,0
200,200,300,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,-1.7763568394e-15,1.4142135624e+00,1.4142135624e+00,1.4901161194e-08,1.4901161193e-08,4,1.0000000000e+00,2.3380787891e-28,-1.7763568394e-15,0.0000000000e+00,1.0000000000e+00,4.4408920985e-16,-2.3869795029e-15,2.0091384211e-15,3.1199853113e-15,0.0000000000e+00,0,0
300,300,300,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,-2.8865798640e-15,1.4142135624e+00,1.4142135624e+00,1.0536712107e-08,0.0000000000e+00,2,1.0000000000e+00,5.2450155977e-28,-2.7755575616e-15,0.0000000000e+00,1.0000000000e+00,5.5511151231e-16,-2.7755575616e-15,2.3768183785e-15,3.6541736935e-15,0.0000000000e+00,0,0
400,400,300,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,-2.2204460493e-15,1.4142135624e+00,1.4142135624e+00,1.1496540594e-08,0.0000000000e+00,2,1.0000000000e+00,1.0737549343e-27,-2.2204460493e-15,0.0000000000e+00,1.0000000000e+00,1.3322676296e-15,-1.8873791419e-15,2.9945451106e-15,3.5397034402e-15,0.0000000000e+00,0,0
500,500,300,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,-2.4424906542e-15,1.4142135624e+00,1.4142135624e+00,5.9437264034e-09,0.0000000000e+00,2,1.0000000000e+00,2.2947236226e-27,-2.4424906542e-15,0.0000000000e+00,1.0000000000e+00,2.2204460493e-16,-2.0539125956e-15,3.6104582100e-15,4.1537892865e-15,0.0000000000e+00,0,0
600,600,300,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,4.4408920985e-16,1.4142135624e+00,1.4142135624e+00,0.0000000000e+00,0.0000000000e+00,2,1.0000000000e+00,5.5945784352e-27,4.4408920984e-16,0.0000000000e+00,1.0000000000e+00,2.2204460493e-15,-4.9960036108e-15,4.2256514708e-15,6.5434075551e-15,0.0000000000e+00,0,0
700,700,300,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,-3.3306690739e-15,1.4142135624e+00,1.4142135624e+00,5.4078439502e-09,0.0000000000e+00,2,1.0000000000e+00,1.6477595273e-26,-3.3306690739e-15,0.0000000000e+00,1.0000000000e+00,2.2204460493e-16,-2.8865798640e-15,4.6388642679e-15,5.4636439313e-15,0.0000000000e+00,0,0
800,800,300,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,-3.3306690739e-15,1.4142135624e+00,1.4142135624e+00,8.1836777887e-09,0.0000000000e+00,2,1.0000000000e+00,6.1553790119e-26,-3.3306690739e-15,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,-4.7184478547e-15,5.2065484823e-15,7.0265138764e-15,0.0000000000e+00,0,0
900,900,300,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,-8.8817841970e-16,1.4142135624e+00,1.4142135624e+00,7.4505805969e-09,0.0000000000e+00,2,1.0000000000e+00,3.0881749792e-25,-8.8817842001e-16,0.0000000000e+00,1.0000000000e+00,8.8817841970e-16,-2.1649348980e-15,5.8097599530e-15,6.2000204696e-15,0.0000000000e+00,0,0
1000,1000,300,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,-1.3322676296e-15,1.4142135624e+00,1.4142135624e+00,0.0000000000e+00,0.0000000000e+00,2,1.0000000000e+00,2.1612245500e-24,-1.3322676317e-15,0.0000000000e+00,1.0000000000e+00,8.8817841970e-16,-1.1657341759e-15,6.4041323331e-15,6.5093661065e-15,0.0000000000e+00,0,0
1100,1100,300,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,-2.8865798640e-15,1.4142135624e+00,1.4142135624e+00,1.4901161194e-08,0.0000000000e+00,3,1.0000000000e+00,2.0322381735e-23,-2.8865798843e-15,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,-2.7755575616e-15,7.0177302547e-15,7.5466719622e-15,0.0000000000e+00,0,0
1200,1200,300,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,-1.1102230246e-15,1.4142135624e+00,1.4142135624e+00,1.6660004687e-08,0.0000000000e+00,3,1.0000000000e+00,2.3440986032e-22,-1.1102232590e-15,0.0000000000e+00,1.0000000000e+00,1.1102230246e-15,-2.6090241079e-15,7.3694009599e-15,7.8176132741e-15,0.0000000000e+00,0,0
1300,1300,300,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,-1.3322676296e-15,1.4142135624e+00,1.4142135624e+00,0.0000000000e+00,0.0000000000e+00,2,1.0000000000e+00,3.0609547688e-21,-1.3322706905e-15,0.0000000000e+00,1.0000000000e+00,1.7763568394e-15,-3.4416913763e-15,7.8984772382e-15,8.6157519819e-15,0.0000000000e+00,0,0
1400,1400,300,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,-2.6645352591e-15,1.4142135624e+00,1.4142135624e+00,0.0000000000e+00,0.0000000000e+00,2,1.0000000000e+00,4.3097844614e-20,-2.6645783569e-15,0.0000000000e+00,1.0000000000e+00,4.4408920985e-16,-2.8865798640e-15,8.5329597471e-15,9.0079823133e-15,0.0000000000e+00,0,0
1500,1500,300,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.4142135624e+00,1.4142135624e+00,2.9121096379e-08,1.8757655852e-08,4,1.0000000000e+00,6.3712886582e-19,-6.3712886582e-19,0.0000000000e+00,1.0000000000e+00,2.2204460493e-15,-4.7739590059e-15,9.0916707952e-15,1.0268844260e-14,0.0000000000e+00,0,0
1600,1600,300,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,8.4376949872e-15,1.4142135624e+00,1.4142135624e+00,1.0492968691e-07,4.3687310020e-08,4,1.0000000000e+00,9.7422980565e-18,8.4279526891e-15,0.0000000000e+00,1.0000000000e+00,1.3322676296e-15,-2.6645352591e-15,9.4413857302e-15,9.8101739359e-15,0.0000000000e+00,0,0
1700,1700,300,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1.5809575871e-13,1.4142135624e+00,1.4142135624e+00,4.2020692842e-07,5.7546197787e-08,4,1.0000000000e+00,1.5268111326e-16,1.5794307759e-13,0.0000000000e+00,1.0000000000e+00,1.5543122345e-15,-4.3853809473e-15,1.0010621215e-14,1.0929048594e-14,0.0000000000e+00,0,0
1800,1800,300,A,0,0,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,2.6252333640e-12,1.4142135624e+00,1.4142135624e+00,1.7086734510e-06,1.5287313259e-07,4,1.0000000000e+00,2.4381371387e-15,2.6227952269e-12,0.0000000000e+00,1.0000000000e+00,4.4408920985e-16,-2.6090241079e-15,1.0578862913e-14,1.0895840827e-14,0.0000000000e+00,0,0
1900,1900,300,A,0,0,0.0000000000e+00,0.0000000000e+00,9.9999999996e-01,4.3758330293e-11,1.4142135624e+00,1.4142135624e+00,6.9842116251e-06,5.0096499773e-07,4,1.0000000000e+00,3.9546173855e-14,4.3718784119e-11,0.0000000000e+00,1.0000000000e+00,1.1102230246e-15,-2.2204460493e-15,1.1156983659e-14,1.1375792940e-14,0.0000000000e+00,0,0
2000,2000,300,A,0,0,0.0000000000e+00,0.0000000000e+00,9.9999999927e-01,7.3431438707e-10,1.4142135624e+00,1.4142135621e+00,2.8648979044e-05,1.7344666151e-06,4,9.9999999992e-01,6.5258745636e-13,7.3366179962e-10,0.0000000000e+00,1.0000000000e+00,6.6613381478e-16,-2.9420910153e-15,1.1681480920e-14,1.2046281419e-14,0.0000000000e+00,0,0
