state,ordering,dominant_k,dominant_weight,weight_at_23,weight_at_101,top5
S_B63_equal,O1_harm_major_phase_up,31,1.0,2.4962359671201276e-31,9.649540139851528e-33,"[{""k"": 31, ""k_complement"": 93, ""weight"": 1.0}, {""k"": 30, ""k_complement"": 94, ""weight"": 2.085517281052836e-30}, {""k"": 32, ""k_complement"": 92, ""weight"": 1.9338458740758513e-30}, {""k"": 28, ""k_complement"": 96, ""weight"": 4.10048097600747e-31}, {""k"": 34, ""k_complement"": 90, ""weight"": 3.4972722182859343e-31}]"
S_B63_equal,O2_phase_major_harm_up,1,0.8107429218597962,0.0,0.0017181421386009423,"[{""k"": 1, ""k_complement"": 123, ""weight"": 0.8107429218597962}, {""k"": 121, ""k_complement"": 3, ""weight"": 0.0902369053669648}, {""k"": 5, ""k_complement"": 119, ""weight"": 0.0325967672518479}, {""k"": 117, ""k_complement"": 7, ""weight"": 0.01671676094650266}, {""k"": 9, ""k_complement"": 115, ""weight"": 0.010182279349355785}]"
S_B63_equal,O3_harm_desc_phase_up,31,1.0,2.2848161481957043e-31,1.1044862163185238e-32,"[{""k"": 31, ""k_complement"": 93, ""weight"": 1.0}, {""k"": 32, ""k_complement"": 92, ""weight"": 2.0855172810528363e-30}, {""k"": 30, ""k_complement"": 94, ""weight"": 1.933845874075852e-30}, {""k"": 34, ""k_complement"": 90, ""weight"": 4.10048097600747e-31}, {""k"": 28, ""k_complement"": 96, ""weight"": 3.4972722182859343e-31}]"
S_B63_equal,O4_harm_major_phase_down,93,1.0,1.1044862163185241e-32,2.3131988873664662e-31,"[{""k"": 93, ""k_complement"": 31, ""weight"": 1.0}, {""k"": 92, ""k_complement"": 32, ""weight"": 2.0855172810528367e-30}, {""k"": 94, ""k_complement"": 30, ""weight"": 1.9338458740758516e-30}, {""k"": 90, ""k_complement"": 34, ""weight"": 4.100480976007471e-31}, {""k"": 96, ""k_complement"": 28, ""weight"": 3.497272218285935e-31}]"
S_B63_inverse_k,O1_harm_major_phase_up,31,0.4198473383004034,0.007966738215484145,0.00033645445216246836,"[{""k"": 31, ""k_complement"": 93, ""weight"": 0.4198473383004034}, {""k"": 30, ""k_complement"": 94, ""weight"": 0.08850850235381545}, {""k"": 32, ""k_complement"": 92, ""weight"": 0.08850850235381545}, {""k"": 33, ""k_complement"": 91, ""weight"": 0.04665315412238635}, {""k"": 29, ""k_complement"": 95, ""weight"": 0.046653154122386326}]"
S_B63_inverse_k,O2_phase_major_harm_up,1,0.35331071838059414,0.0,0.015188219923933646,"[{""k"": 1, ""k_complement"": 123, ""weight"": 0.35331071838059414}, {""k"": 121, ""k_complement"": 3, ""weight"": 0.11405505310368531}, {""k"": 5, ""k_complement"": 119, ""weight"": 0.09213507255260388}, {""k"": 117, ""k_complement"": 7, ""weight"": 0.055757260414536505}, {""k"": 9, ""k_complement"": 115, ""weight"": 0.04963634895909774}]"
S_B63_inverse_k,O3_harm_desc_phase_up,31,0.41984733830040366,0.007966738215484152,0.0003364544521624684,"[{""k"": 31, ""k_complement"": 93, ""weight"": 0.41984733830040366}, {""k"": 30, ""k_complement"": 94, ""weight"": 0.08850850235381548}, {""k"": 32, ""k_complement"": 92, ""weight"": 0.0885085023538154}, {""k"": 29, ""k_complement"": 95, ""weight"": 0.04665315412238633}, {""k"": 33, ""k_complement"": 91, ""weight"": 0.04665315412238633}]"
S_B63_inverse_k,O4_harm_major_phase_down,93,0.4198473383004037,0.0003364544521624681,0.007966738215484149,"[{""k"": 93, ""k_complement"": 31, ""weight"": 0.4198473383004037}, {""k"": 92, ""k_complement"": 32, ""weight"": 0.08850850235381545}, {""k"": 94, ""k_complement"": 30, ""weight"": 0.08850850235381545}, {""k"": 95, ""k_complement"": 29, ""weight"": 0.04665315412238635}, {""k"": 91, ""k_complement"": 33, ""weight"": 0.046653154122386326}]"
S_B63_random_seed7,O1_harm_major_phase_up,31,0.8747606985982693,0.00036572890150912034,1.544560821115848e-05,"[{""k"": 31, ""k_complement"": 93, ""weight"": 0.8747606985982693}, {""k"": 28, ""k_complement"": 96, ""weight"": 0.012728390370290225}, {""k"": 34, ""k_complement"": 90, ""weight"": 0.01272839037029022}, {""k"": 42, ""k_complement"": 82, ""weight"": 0.009907151609991628}, {""k"": 20, ""k_complement"": 104, ""weight"": 0.009907151609991617}]"
S_B63_random_seed7,O2_phase_major_harm_up,1,0.7074975610825375,0.0,0.002885409659324509,"[{""k"": 1, ""k_complement"": 123, ""weight"": 0.7074975610825375}, {""k"": 121, ""k_complement"": 3, ""weight"": 0.07781311362139721}, {""k"": 9, ""k_complement"": 115, ""weight"": 0.035802574525947255}, {""k"": 113, ""k_complement"": 11, ""weight"": 0.031034625081609195}, {""k"": 5, ""k_complement"": 119, ""weight"": 0.022709037529581}]"
