class_id,count,a2n,b2n,abn,theta_over_pi_mod1,edges
0,1,0.9912559152411301,0.00874408475886997,0.09310008453594265,0.02980864697445047,1-2
1,1,0.3493968013937812,0.6506031986062188,-0.47677948421631555,0.7013053429298338,1-3
2,1,0.013799331399785605,0.9862006686002143,-0.1166572323206088,0.5374785751080478,1-4
3,1,0.0013536685536944802,0.9986463314463055,0.03676732428585495,0.4882860240548139,1-5
4,1,0.6022096633823355,0.3977903366176645,-0.4894417071636516,0.7827653030795095,1-6
5,1,0.00766877203087086,0.9923312279691291,-0.08723509595575275,0.5279106334281193,1-7
6,1,0.11123569451526281,0.8887643054847372,0.31442378214914013,0.3917634749810893,1-8
7,1,0.24388465500115253,0.7561153449988476,-0.4294239514234404,0.6644096404374963,2-3
8,1,0.54089086327923,0.4591091367207699,-0.4983251321178566,0.7630305188864972,2-4
9,1,0.33746111699703796,0.662538883002962,0.4728436438318162,0.30269524023301253,2-5
10,1,0.23800728891928816,0.7619927110807119,0.4258636158919645,0.3377776873725992,2-6
11,1,6.255393153513727e-05,0.9999374460684648,-0.007908856968031902,0.5025175723515795,2-7
12,1,0.9958778156055231,0.004122184394476905,0.06407177218007035,0.020450911078478497,2-8
13,1,0.42641926517109324,0.5735807348289068,0.4945562409494375,0.27350684782139106,3-4
14,1,0.8804052602510664,0.11959473974893355,0.3244870382208177,0.11240082283856744,3-5
15,1,0.9542564690927257,0.04574353090727435,0.20892836161567338,0.06860929787479583,3-6
16,1,0.2987592489307568,0.7012407510692433,0.4577140593308085,0.3159261141506197,3-7
17,1,0.8067226176730045,0.19327738232699548,0.3948686310759819,0.14489156947622872,3-8
18,1,0.14177441854611966,0.8582255814538803,-0.3488186244913384,0.6228826283311781,4-5
19,1,0.999677043510267,0.0003229564897329632,0.017968088068537023,0.0057206518021651,4-6
20,1,0.7689961399588839,0.23100386004111603,0.4214748826291082,0.15959147513790592,4-7
21,1,0.09808455193303968,0.9019154480669602,-0.2974289370675532,0.6013958359226547,4-8
22,1,0.7379733047465937,0.2620266952534062,0.43973708761939195,0.17105277337380187,5-6
23,1,0.7309350211396389,0.2690649788603611,0.4434738053270278,0.17358932251435635,5-7
24,1,0.6435098799813547,0.3564901200186454,-0.47896233082335105,0.796332270123027,5-8
25,1,0.5075382132112234,0.49246178678877656,-0.4999431721121732,0.7523995786986419,6-7
26,1,0.5665429703370795,0.43345702966292066,-0.49555225062420877,0.7712443156784307,6-8
27,1,0.004575856500677317,0.9954241434993226,0.06749013289335357,0.47845144789831445,7-8
