step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8
0,0.37594646179485974,0.347373083647631,0.30544935745613594,0.26569633324183217,0.22385679290810864,0.1649246244494242,0.14304097099817678,3.195585172786344e-09
1,0.3759468905997493,0.34737359927140565,0.3054495629323782,0.2656964871027237,0.22385781689060733,0.1649270837730335,0.14304177875577873,2.239556787836547e-09
2,0.375947736622862,0.34737448769418416,0.3054499923644787,0.2656966098716207,0.2238604234517289,0.16493272057827496,0.14304359586771404,2.5628644104690714e-09
3,0.37594899977436813,0.34737574991289305,0.30545064613458284,0.2656967025946939,0.22386461187572554,0.16494153267002912,0.14304642074992194,1.911570593361279e-09
4,0.3759506799338771,0.3473773874502787,0.30545152487987287,0.2656967669647694,0.2238703811533569,0.1649535169576926,0.1430502511296306,1.3772610294661963e-09
5,0.37595277695053286,0.34737940235248005,0.3054526294921252,0.2656968053193732,0.22387772998068078,0.1649686694570454,0.14305508404643877,1.1332449271398176e-09
6,0.3759552906431616,0.3473817971858291,0.30545396111717754,0.26569682063820654,0.22388665675736724,0.1649869852926522,0.1430609158536722,2.0792803834393028e-09
7,0.37595822080046964,0.3473845750328739,0.3054555211542948,0.26569681654004573,0.22389715958453793,0.16500845870079228,0.14306774222001337,4.485911516349302e-09
8,0.3759615671812898,0.34738773948762464,0.30545731125544223,0.2656967972790663,0.2239092362621351,0.16503308303291472,0.14307555813140316,3.5224696553941515e-09
9,0.37596532951488304,0.3473912946500374,0.30545933332446146,0.2656967677406015,0.22392288428583687,0.16506085075961996,0.14308435789322593,3.2288568049120724e-09
10,0.37596950750128694,0.3473952451197283,0.305461589516153,0.26569673343632283,0.2239381008435204,0.16509175347515642,0.14309413513276903,3.851933921387331e-09
11,0.3759741008117177,0.3473995959889274,0.30546408223525784,0.26569670049885197,0.22395488281129042,0.16512578190243205,0.14310488280197198,1.155812715644992e-09
12,0.37597910908902193,0.3474043528346775,0.30546681413534793,0.265696675675802,0.22397322674908182,0.16516292589853387,0.14311659318046016,3.291008006698966e-09
13,0.3759845319481793,0.3474095217102808,0.3054697881176184,0.26569666632324784,0.2239931288958525,0.16520317446074867,0.14312925787887057,2.223713430004583e-09
14,0.37599036897685817,0.3474151091360032,0.3054730073295839,0.26569668039862804,0.22401458516438166,0.16524651573308147,0.1431428678424747,1.734299575616494e-09
15,0.37599661973601733,0.3474211220890354,0.30547647516367804,0.2656967264530764,0.22403759113568764,0.16529293701325856,0.14315741335510013,3.389376585926517e-10
