step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9
0,0.3570357027346275,0.3556366308252529,0.2979379317493162,0.2389497307954831,0.22967836030682823,0.2269895589868824,0.16255798257903417,0.07399830463843411,1.969944875803803e-09
1,0.3570373750794793,0.3556370895680158,0.29793848000887874,0.23895026530267627,0.22968549796404594,0.22698525100474928,0.16255688790072062,0.07399691376734539,3.3513369526757866e-09
2,0.3570407267244926,0.3556374076360605,0.29794025609886143,0.23895154508963845,0.22970532924570602,0.22697196552453955,0.1625540896792149,0.07399328711498894,2.2202637859486977e-09
3,0.35704575010243866,0.35563759458298855,0.29794325966112906,0.23895357264893943,0.2297374364119853,0.2269501172432394,0.16254959021886464,0.07398742352370577,1.285693290879602e-09
4,0.35705243326406005,0.3556376655003933,0.2979474903193066,0.2389563520933891,0.2297811825979253,0.22692033861994956,0.16254339296163703,0.07397932107905761,1.995663076770401e-09
5,0.35706076014436955,0.3556376407459173,0.2979529476779866,0.23895988916975003,0.22983577474272784,0.2268834169287571,0.16253550248469514,0.07396897710849687,2.8120005355966874e-09
6,0.35707071091026643,0.3556375455882425,0.29795963132165887,0.23896419127801205,0.22990033036378527,0.22684022745995344,0.1625259244973273,0.0739563881793691,3.106169606324685e-09
7,0.3570822623739138,0.35563740978458513,0.2979675408133707,0.23896926749629466,0.2299739373230739,0.22679167372192172,0.162514665837221,0.07394155009625251,2.0011162984625085e-09
8,0.35709538845440664,0.3556372671081529,0.29797667569310565,0.2389751286114455,0.2300557003806537,0.22673864084886963,0.16250173446606983,0.07392445789764712,2.1476634506754574e-09
9,0.3571100606696496,0.35563715484367603,0.29798703547589517,0.23898178715543802,0.23014477289024915,0.22668196385936915,0.16248713946450677,0.07390510585201895,4.285280283239677e-09
10,0.35712624864088127,0.35563711326858033,0.2979986196496588,0.2389892574476642,0.23024037511736278,0.22662240928515473,0.1624708910263447,0.07388348745320972,3.663778170274861e-09
11,0.3571439205937834,0.3556371851358692,0.29801142767277633,0.2389975556432358,0.2303418021281624,0.2265606672218458,0.16245300045211522,0.07385959541522506,3.0247675475349804e-09
12,0.357163043842347,0.35563741517256603,0.2980254589713932,0.23900669978740305,0.2304484244291159,0.22649735062152856,0.16243348014188277,0.0738334216664098,1.8827008752058104e-09
13,0.3571835852443074,0.35563784960491984,0.29804071293646517,0.23901670987620438,0.23055968409791083,0.22643299908657574,0.16241234358732415,0.07380495734303519,3.640134748905629e-09
14,0.3572055116197785,0.3556385357187564,0.29805718892054106,0.23902760792343297,0.2306750884745598,0.22636808509572512,0.1623896053630462,0.07377419278230082,3.057830756770494e-09
15,0.3572287901274707,0.3556395214606111,0.2980748862342889,0.2390394180340007,0.2307942028300202,0.22630302124504165,0.162365281117127,0.07374111751477468,3.4867845939933077e-09
16,0.35725338859539585,0.3556408550827653,0.2980938041427699,0.239052166483732,0.2309166429037041,0.22623816761238014,0.16233938756085767,0.07370572025629211,2.0596713792063456e-09
17,0.3572792758051276,0.3556425848331339,0.29811394186146317,0.23906588180557906,0.2310420678204839,0.22617383873477614,0.16231194245766245,0.07366798889932734,2.2024251139388647e-09
18,0.3573064217304474,0.3556447586891983,0.2981352985520427,0.23908059488217887,0.23117017364292436,0.22611030994314418,0.162282964611175,0.07362791050386269,2.9435101251870904e-09
19,0.3573347977325576,0.3556474241338295,0.2981578733179141,0.23909633904458347,0.23130068765487624,0.2260478229583433,0.16225247385244831,0.07358547128777859,2.421095288154596e-09
20,0.3573643767149846,0.3556506279699068,0.2981816651995163,0.23911315017688617,0.2314333633792841,0.2259865907460778,0.16222049102627656,0.07354065661678237,2.4641667924510476e-09
21,0.35739513324189337,0.3556544161700285,0.29820667316938654,0.23913106682630833,0.23156797628319395,0.22592680167809673,0.16218703797660286,0.07349345099390799,2.1650640329331063e-09
22,0.3574270436238466,0.35565883375732654,0.29823289612700254,0.23915013031814467,0.23170432010009945,0.22586862307020938,0.16215213753099378,0.07344383804860459,1.6799733286042432e-09
23,0.35746008597510326,0.3556639247133101,0.29826033289340004,0.23917038487473172,0.23184220369285807,0.22581220417474737,0.16211581348415918,0.07339180052545209,3.4421251877565405e-09
24,0.35749424024644827,0.3556697319087789,0.2982889822055741,0.2391918777373282,0.23198144838236928,0.2257576787034252,0.16207809058049247,0.0733373202725212,2.694663517305937e-09
25,0.35752948823732217,0.3556762970540787,0.29831884271067105,0.23921465928947486,0.23212188567365408,0.22570516695044165,0.16203899449561662,0.07328037822941379,2.0641383177170438e-09
26,0.35756581359070344,0.35568366066527446,0.29834991295997243,0.2392387831799941,0.2322633553193068,0.22565477757771593,0.16199855181691294,0.07322095441501382,2.6351210197918184e-09
27,0.35760320177384897,0.35569186204317177,0.2983821914026822,0.2392643064433341,0.2324057036690693,0.2256066091158527,0.16195679002301797,0.07315902791497615,2.3699371552238934e-09
28,0.3576416400476363,0.35570093926249763,0.2984156763795227,0.23929128961441576,0.23254878226271997,0.22556075122653002,0.16191373746227444,0.07309457686899357,2.1705121048436e-09
